"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"575","alpha-Muricholic Acid",407.2798,205.6,0.0012,375.2899,202.828731403206,201.086760484685,204.570702321728,194.903536335996,210.753926470417,3.07087451478839,7.28970794320549
"749","beta-Muricholic Acid",407.2798,201.2,0.0024,385.242209090909,202.828731403206,201.086760484685,204.570702321728,194.903536335996,210.753926470417,3.07087451478839,7.28970794320549
"838","Chenodeoxycholic Acid 3-Sulfate",471.2417,205.9,0.0012,395.194518181818,202.828731403206,201.086760484685,204.570702321728,194.903536335996,210.753926470417,3.07087451478839,7.28970794320549
"839","Cholate",407.2805,203.1,6e-04,405.146827272727,202.828731403206,201.086760484685,204.570702321728,194.903536335996,210.753926470417,3.07087451478839,7.28970794320549
"840","Cholate",431.2749,197.7,0.0022,415.099136363636,202.828731403206,201.086760484685,204.570702321728,194.903536335996,210.753926470417,3.07087451478839,7.28970794320549
"1181","Deoxycholate",391.2844,202.1,0.0016,425.051445454545,202.828731403206,201.086760484685,204.570702321728,194.903536335996,210.753926470417,3.07087451478839,7.28970794320549
"1468","Glycochenodeoxycholate",448.3102,200.6,0.0012,435.003754545455,202.828731403207,201.086760484685,204.570702321729,194.903536335997,210.753926470418,3.07087451478839,7.28970794320549
"1469","Glycochenodeoxycholate",450.3205,196.9,0.0012,444.956063636364,202.828731403265,201.086760484748,204.570702321783,194.903536336056,210.753926470475,3.07087451478839,7.28970794320549
"1470","Glycochenodeoxycholate",472.3056,203.8,0.0022,454.908372727273,202.828731407682,201.086760489468,204.570702325895,194.903536340539,210.753926474824,3.07087451478839,7.28970794320549
"1471","Glycodeoxycholic Acid 3-Sulfate",528.2631,218.2,7e-04,464.860681818182,202.828731743169,201.086760848079,204.570702638258,194.903536681109,210.753926805229,3.07087451478839,7.28970794320549
"1472","Glycolithocholic Acid Sulfate",512.2682,218.2,0.001,474.812990909091,202.82875722867,201.086788090205,204.570726367136,194.903562552719,210.753951904622,3.07087451478839,7.28970794320549
"1601","Hyocholic Acid",407.2798,204.2,0.0013,484.7653,202.830693033403,201.088857292088,204.572528774719,194.905527677268,210.755858389538,3.07087451478839,7.28970794320549
"1838","Lithocholic Acid",375.2899,201.4,0.0087,494.717609090909,202.97647806449,201.244512182291,204.708443946689,195.053476108825,210.899480020154,3.07087451478839,7.28970794320549
"1839","Lithocholyltaurine",482.2954,206.5,8e-04,504.669918181818,209.641285663017,207.928226427992,211.354344898041,201.722395203169,217.560176122864,3.07087451478839,7.28970794320549
"1840","Lithocholyltaurine",506.2897,213.3,0.0022,514.622227272727,219.600814485944,216.716877889134,222.484751082754,211.349066521616,227.852562450271,3.07087451478839,7.28970794320549
"2014","N-Glycocholate",464.306,202.2,6e-04,524.574536363636,219.929921393104,216.996149041653,222.863693744556,211.660624301906,228.199218484303,3.07087451478839,7.28970794320549
"2015","N-Glycocholate",466.3162,199.7,8e-04,534.526845454545,219.934339847384,216.999895868737,222.868783826032,211.664804453169,228.2038752416,3.07087451478839,7.28970794320549
"2016","N-Glycocholate",488.2993,202.5,0.0024,544.479154545455,219.934398026335,216.999945203752,222.868850848918,211.664859493846,228.203936558824,3.07087451478839,7.28970794320549
"2017","N-Glycocholate",504.2694,208.4,0.0042,554.431463636364,219.934398792195,216.999945853192,222.868851731198,211.664860218394,228.203937365996,3.07087451478839,7.28970794320549
"2952","Sulfolithocholic Acid",455.2467,211.5,3e-04,564.383772727273,219.934398802276,216.999945861741,222.868851742812,211.664860227931,228.203937376622,3.07087451478839,7.28970794320549
"2971","Taurocholic Acid 3-Sulfate",594.2407,221.2,0.0023,574.336081818182,219.934398802409,216.999945861853,222.868851742965,211.664860228057,228.203937376761,3.07087451478839,7.28970794320549
"2972","Taurodeoxycholic Acid 3-Sulfate",578.2458,221,0.0024,584.288390909091,219.934398802411,216.999945861855,222.868851742967,211.664860228059,228.203937376763,3.07087451478839,7.28970794320549
"3204","Ursocholic Acid",407.2798,203.3,0.0031,594.2407,219.934398802411,216.999945861855,222.868851742967,211.664860228059,228.203937376763,3.07087451478839,7.28970794320549
