"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"148","2,2,3,4,4,5-Hexachlorobiphenyl",338.8661,167.4,0.0012,203.0264,146.178755630209,145.284962411839,147.072548848579,142.69605334488,149.661457915537,1.39309184969463,11.5073810305307
"149","2,2,4,5,5-Pentachlorobiphenyl",304.9061,162,7e-04,209.200938636364,147.055260021091,146.190605582839,147.919914459343,143.579921737037,150.530598305146,1.39309184969463,11.5073810305307
"150","2,2',3,3',4,4',5,5'-Octachlorobiphenyl ",406.7925,179.7,3e-04,215.375477272727,147.953149677464,147.117835382649,148.788463972278,144.484994712335,151.421304642593,1.39309184969463,11.5073810305307
"151","2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl ",440.7536,182.8,3e-04,221.550015909091,148.871481135752,148.065583260316,149.677379011187,145.410293438348,152.332668833155,1.39309184969463,11.5073810305307
"152","2,2',3,3',4,4',5,6-Octachlorobiphenyl ",406.7925,177.4,3e-04,227.724554545455,149.80918957667,149.032641258951,150.585737894388,146.35471766612,153.263661487219,1.39309184969463,11.5073810305307
"153","2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",440.7536,181.1,0.0011,233.899093181818,150.765091048457,150.017662447687,151.512519649226,147.317048356686,154.213133740227,1.39309184969463,11.5073810305307
"154","2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",440.7536,181.4,8e-04,240.073631818182,151.737886115848,151.019162763836,152.45660946786,148.295951754511,155.179820477185,1.39309184969463,11.5073810305307
"155","2,2',3,3',5,5',6,6'-Octachlorobiphenyl ",406.7925,176.3,6e-04,246.248170454545,152.726164960738,152.035524431258,153.416805490218,149.289984925876,156.1623449956,1.39309184969463,11.5073810305307
"156","2,2',4,5',6-Pentachlorobiphenyl",304.9095,160.2,0.0014,252.422709090909,153.728413931903,153.065001186611,154.391826677195,150.297602750616,157.159225113189,1.39309184969463,11.5073810305307
"157","2,2',5,5'-Tetrachlorobiphenyl",270.9461,156.2,0.0035,258.597247727273,154.743023510682,154.105725644465,155.3803213769,151.317166324326,158.168880697039,1.39309184969463,11.5073810305307
