"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"128","D-(+)-Gluconolactone",195.0518,132.8,0.0033,105.0225,115.275750210221,113.398766844318,117.152733576124,89.7752224533732,140.776277967069,10.8615245322274,61.6604708827468
"179","2-Phospho-DL-glycerate",206.9682,133.3,0.0022,110.6259544,116.730337792656,114.863383830698,118.597291754613,91.2305462951168,142.230129290195,10.8615245322274,61.6604708827468
"215","Cytidine-5'-triphosphate",503.9591,185,0.0014,116.2294088,118.177120584526,116.31999293589,120.034248233163,92.6780466322193,143.676194536834,10.8615245322274,61.6604708827468
"216","D-(-)-3-Phosphoglycerate",206.9677,133.1,0.0018,121.8328632,119.616514071225,117.769012455024,121.464015687426,94.1181393868699,145.11488875558,10.8615245322274,61.6604708827468
"217","D-(-)-3-Phosphoglycerate",206.9677,141.7,0.0013,127.4363176,121.048893544863,119.210820102076,122.88696698765,95.5512002510962,146.546586838629,10.8615245322274,61.6604708827468
"220","D-Fructose-6-phosphate",281.0038,154.8,0.0019,133.039772,122.474599588455,120.645758547494,124.303440629416,96.9775701756975,147.971629001212,10.8615245322274,61.6604708827468
"221","D-Glucose-6-phosphate",281.0056,157,0.002,138.6432264,123.893942612272,122.074139999113,125.713745225431,98.3975599105481,149.390325313996,10.8615245322274,61.6604708827468
"230","Fructose Bisphosphate",360.9747,197.1,0.0059,144.2466808,125.307206637884,123.496250023698,127.118163252071,99.8114537919618,150.802959483807,10.8615245322274,61.6604708827468
"231","Fructose-6-phosphate",281.0038,154.8,0.0019,149.8501352,126.71465247906,124.912350759668,128.516954198453,101.2195129264,152.209792031721,10.8615245322274,61.6604708827468
"232","Galactarate",231.0116,137.5,0.004,155.4535896,128.116520434628,126.322683637192,129.910357232064,102.621977885727,153.611062983529,10.8615245322274,61.6604708827468
"253","Mannose-6-phosphate",281.0044,156.7,0.0014,161.057044,129.513032583072,127.727471696265,131.29859346988,104.019071003859,155.006994162286,10.8615245322274,61.6604708827468
"255","N-Acetylneuraminate",330.0859,171.3,0.0011,166.6604984,130.904394749592,129.126921574149,132.681867925035,105.410998345595,156.397791153589,10.8615245322274,61.6604708827468
"266","Saccharate",231.0125,137.5,0.0025,172.2639528,132.2907982018,130.521225218904,134.060371184697,106.797951403851,157.783644999749,10.8615245322274,61.6604708827468
"292","1-Kestose",503.1612,204.1,0.0084,177.8674072,133.672421119126,131.910561374462,135.43428086379,108.180108570403,159.164733667848,10.8615245322274,61.6604708827468
"325","2-Acetamindo-2-deoxy-beta-D-glycosylamine",219.0988,155.3,0.0011,183.4708616,135.049429872285,133.295096873992,136.803762870578,109.557636416532,160.541223328039,10.8615245322274,61.6604708827468
"337","2-Keto-D-gluconic Acid",193.0348,133,0.0023,189.074316,136.421980142434,134.674987771413,138.168972513455,110.930690813208,161.91326947166,10.8615245322274,61.6604708827468
"343","2-Phospho-DL-glycerate",184.9861,124.4,0.003,194.6777704,137.790217904234,136.050380335528,139.53005547294,112.299417915074,163.281017893394,10.8615245322274,61.6604708827468
"437","6-Phosphogluconic Acid",275.0168,145.2,4e-04,200.2812248,139.154280292833,137.421411926972,140.887148658693,113.663955028229,164.644605557436,10.8615245322274,61.6604708827468
"470","alpha-D-Glucose-1-phosphate",259.0228,149.7,0.0064,205.8846792,140.514296371318,138.788211774684,142.240380967952,115.02443137841,166.004161364225,10.8615245322274,61.6604708827468
"480","Arabitol",151.061,125.2,0.0049,211.4881336,141.87038781248,140.150901665856,143.589873959104,116.380968793398,167.359806831562,10.8615245322274,61.6604708827468
"486","beta-Gentiobiose",341.1084,180.2,0.0043,217.091588,143.222669506459,141.509596561067,144.935742451851,117.733682311238,168.71165670168,10.8615245322274,61.6604708827468
