"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"361","3-Dehydroshikimate",171.0298,132.2,0.0028,121.0305,115.651513791543,103.072365840592,128.230661742493,90.7756717680704,140.527355815015,7.89563243113389,17.4863499878458
"368","3-Hydroxybenzaldehyde",121.0305,118,0.0013,132.374033333333,120.875612911743,109.923604194146,131.827621629339,96.781650013225,144.96957581026,7.89563243113389,17.4863499878458
"403","4-Hydroxybenzoate",121.0305,121.6,0.0068,143.717566666667,125.877332476211,116.392008978021,135.362655974402,102.413660234421,149.341004718002,7.89563243113389,17.4863499878458
"765","N-(3-Phenylpropionyl)-glycine",206.0817,160.2,0.0092,155.0611,130.682654247465,122.477088395341,138.888220099588,107.706495644287,153.658812850642,7.89563243113389,17.4863499878458
"1284","3-Dehydroshikimate",173.045,131.9,0.0025,166.404633333333,135.312870255466,128.155694545937,142.470045964996,112.689923556552,157.935816954381,7.89563243113389,17.4863499878458
"1503","DL-Kynurenine",209.0913,149.6,0.0034,177.748166666667,139.785688054627,133.383577509681,146.187798599572,117.390162326604,162.18121378265,7.89563243113389,17.4863499878458
"1672","L-Kynurenine",209.0908,149.8,0.002,189.0917,144.116022146898,138.111329547368,150.120714746427,121.830850251225,166.40119404257,7.89563243113389,17.4863499878458
"1747","N-(3-Phenylpropionyl)-glycine",208.0974,148.5,0.0034,200.435233333333,148.316574046523,142.32024173683,154.312906356216,126.03365335885,170.599494734195,7.89563243113389,17.4863499878458
"2297","3-Dehydroshikimate",195.0245,149.2,0.0017,211.778766666667,152.398266123321,146.051930894483,158.74460135216,130.018620816891,174.777911429752,7.89563243113389,17.4863499878458
"2491","DL-Kynurenine",231.0737,152.7,0.0023,223.1223,156.370571891361,149.394844658719,163.346299124003,133.804373194436,178.936770588285,7.89563243113389,17.4863499878458
"2620","L-Kynurenine",231.0737,153.3,0.0027,234.465833333333,160.241771434927,152.444344437081,168.039198432773,137.408190441321,183.075352428533,7.89563243113389,17.4863499878458
"2684","N-(3-Phenylpropionyl)-glycine",230.0793,149.7,0.0098,245.809366666667,164.019151717866,155.277291934927,172.761011500805,140.846049515757,187.192253919975,7.89563243113389,17.4863499878458
"3493","3,5-ditert-butyl-4-hydroxybenzaldehyde",257.1529,185.3,0.00049,257.1529,167.709165648056,157.948031697208,177.470299598903,144.132645777404,191.285685518707,7.89563243113389,17.4863499878458
