"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3389","Cer (d18:1/17:0)",610.5403,262,0.001,534.5278,241.318028223954,237.957348254205,244.678708193703,223.192805085218,259.44325136269,7.24828781055682,35.3501355965369
"3390","Cer (d18:1/17:0)",586.2025,251.7,0.001,553.608935483871,248.586853732307,245.302055452873,251.871652011741,230.475546664442,266.698160800171,7.24828781055682,35.3501355965369
"3391","Cer (d18:1/17:0)",596.5346,259.2,0.001,572.690070967742,255.817214805412,252.592080508365,259.04234910246,237.716633731759,273.917795879066,7.24828781055682,35.3501355965369
"3392","Cer (d18:1/17:0)",550.526,250.4,0.001,591.771206451613,263.010587027865,259.828276891586,266.192897164144,244.917587227572,281.103586828157,7.24828781055682,35.3501355965369
"3393","Cer (d18:1/17:0)",1126.043,463.5,2e-04,610.852341935484,270.168343704207,267.011608806667,273.325078601747,252.079824716096,288.256862692319,7.24828781055682,35.3501355965369
"3394","Cer (d18:1/17:0)",552.5329,260.5,3e-04,629.933477419355,277.291765917795,274.143199175492,280.440332660099,259.204670614772,295.378861220819,7.24828781055682,35.3501355965369
"3395","Cer (d18:1/17:0)",534.5278,257.9,2e-04,649.014612903226,284.38205132597,281.224358471356,287.539744180584,266.293365134485,302.470737517454,7.24828781055682,35.3501355965369
"3396","Cer (d18:1/17:0)",574.5187,255.5,2e-04,668.095748387097,291.440321882757,288.256590924831,294.624052840684,273.347072125393,309.533571640122,7.24828781055682,35.3501355965369
"3397","Cer 36:00",568.5668,264,NA,687.176883870968,298.467630646754,295.241578385191,301.693682908316,280.366885989026,316.568375304481,7.24828781055682,35.3501355965369
"3398","Cer 38:00",596.5981,269.5,NA,706.258019354839,305.464967804926,302.181145877752,308.748789732101,287.353837789952,323.576097819901,7.24828781055682,35.3501355965369
"3399","Cer 40:00",624.6294,276.2,NA,725.33915483871,312.433266021377,309.077215496678,315.789316546076,294.308900678164,330.55763136459,7.24828781055682,35.3501355965369
"3400","Cer 40:00 OH",640.6244,278.6,NA,744.420290322581,319.373405202461,315.931756082162,322.81505432276,301.232994715452,337.51381568947,7.24828781055682,35.3501355965369
"3401","Cer 40:02",620.5981,274.4,NA,763.501425806452,326.286216755266,322.746735244252,329.825698266279,308.126991184313,344.445442326218,7.24828781055682,35.3501355965369
"3402","Cer 42:00",652.6607,282.3,NA,782.582561290322,333.172487404625,329.524078342894,336.820896466357,314.991716445955,351.353258363296,7.24828781055682,35.3501355965369
"3403","Cer 42:00 OH",668.6556,284.3,NA,801.663696774193,340.032962624075,336.265636793431,343.800288454719,321.827955403968,358.237969844182,7.24828781055682,35.3501355965369
"3404","Cer 42:01",650.6451,279.8,NA,820.744832258064,346.868349728041,342.973166139647,350.763533316435,328.636454622013,365.100244834069,7.24828781055682,35.3501355965369
"3405","Cer 42:01 OH",666.64,280.2,NA,839.825967741935,353.679320665813,349.648313013719,357.710328317906,335.417925136961,371.940716194664,7.24828781055682,35.3501355965369
"3406","Cer 42:02",648.6294,279,NA,858.907103225806,360.466514552172,356.292609405913,364.640419698431,342.173045003181,378.759984101164,7.24828781055682,35.3501355965369
"3407","Cer 42:03",646.6138,277.4,NA,877.988238709677,367.230539964795,362.907472463498,371.553607466093,348.902461598783,385.558618330808,7.24828781055682,35.3501355965369
"3408","Cer 36:01",548.5406,259.3,NA,897.069374193548,373.971977034518,369.494208149778,378.449745919257,355.606793720566,392.337160348469,7.24828781055682,35.3501355965369
"3409","Cer 38:01",576.5719,266,NA,916.150509677419,380.691379351148,376.05401736282,385.328741339477,362.28663349089,399.096125211407,7.24828781055682,35.3501355965369
"3410","Cer 40:01",604.6032,271.5,NA,935.23164516129,387.389275704605,382.588003428667,392.190547980543,368.942548096771,405.836003312439,7.24828781055682,35.3501355965369
"3411","Cer 40:02",602.5876,269.6,NA,954.312780645161,394.066171678666,389.097180181124,399.035163176207,375.575081378941,412.55726197839,7.24828781055682,35.3501355965369
"3412","Cer 41:01",618.6189,274.3,NA,973.393916129032,400.722551112513,395.582480089747,405.862622135279,382.184755286445,419.260346938581,7.24828781055682,35.3501355965369
"3413","Cer 42:01",632.6345,277.2,NA,992.475051612903,407.358877443409,402.044762091796,412.672992795023,388.772071210488,425.945683676331,7.24828781055682,35.3501355965369
"3414","Cer 42:02",630.6189,275.4,NA,1011.55618709677,413.975594942267,408.484818926527,419.466370958006,395.337511209626,432.613678674908,7.24828781055682,35.3501355965369
"3415","Cer 42:03",628.6032,273.6,NA,1030.63732258065,420.573129852516,414.90338386993,426.242875835102,401.881539136984,439.264720568048,7.24828781055682,35.3501355965369
"3416","Cer 43:02",644.6345,277.7,NA,1049.71845806452,427.151891441492,421.301136834688,433.002646048296,408.404601678997,445.899181203987,7.24828781055682,35.3501355965369
"3417","Cer 44:02",658.6502,281.9,NA,1068.79959354839,433.71227297252,427.678709842465,439.745836102575,414.907129314087,452.517416630952,7.24828781055682,35.3501355965369
"3418","Cer 42:01",614.624,276,NA,1087.88072903226,440.254652604992,434.03669190074,446.472613309245,421.389537198784,459.1197680112,7.24828781055682,35.3501355965369
"3419","Cer 42:02",612.6083,273.5,NA,1106.96186451613,446.779394228942,440.375633329906,453.183155127977,427.852225987973,465.70656246991,7.24828781055682,35.3501355965369
"3420","Cer 42:00",674.6427,284.1,NA,1126.043,453.286848239917,446.696049592102,459.877646887733,434.295582595259,472.278113884575,7.24828781055682,35.3501355965369
