"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"125","Adenosine-2',3'-Cyclic Phosphate",346.0556,173.6,7e-04,328.0452,171.437956271828,164.478483280301,178.397429263355,154.109585948214,188.766326595441,5.91921717610914,6.48140620341191
"209","Cyclic-GMP",366.0227,169.8,0.0017,331.121369230769,172.156683940636,165.992194631188,178.321173250085,155.132022939641,189.181344941631,5.91921717610914,6.48140620341191
"458","Adenosine-2',3'-Cyclic Phosphate",328.0456,169.4,3e-04,334.197538461538,172.87173674608,167.4141620876,178.329311404561,156.090101697451,189.65337179471,5.91921717610914,6.48140620341191
"517","Cyclic-AMP",328.0452,171.9,9e-04,337.273707692308,173.583167046463,168.70944202594,178.456892066986,156.982222816445,190.184111276481,5.91921717610914,6.48140620341191
"518","Cyclic-GMP",344.0401,167.8,0.0011,340.349876923077,174.291025984521,169.833189450911,178.748862518131,157.807383780418,190.774668188624,5.91921717610914,6.48140620341191
"1344","Adenosine-2',3'-Cyclic Phosphate",330.06,168,8e-04,343.426046153846,174.995363526349,170.739733772712,179.250993279986,158.565252803882,191.425474248817,5.91921717610914,6.48140620341191
"1447","Cyclic-AMP",330.0609,172.7,0.0016,346.502215384615,175.696228498745,171.40249925211,179.98995774538,159.256208285987,192.136248711504,5.91921717610914,6.48140620341191
"1448","Cyclic-AMP",330.0609,177,0.0026,349.578384615385,176.393668625047,171.830896099354,180.95644115074,159.881338478344,192.90599877175,5.91921717610914,6.48140620341191
"1449","Cyclic-GMP",346.0545,172.4,0.001,352.654553846154,177.087730559539,172.064898396284,182.110562722793,160.442400983567,193.733060135511,5.91921717610914,6.48140620341191
"2345","Adenosine-2',3'-Cyclic Phosphate",352.0406,174.9,0.003,355.730723076923,177.778459920494,172.153804073438,183.403115767551,160.941746846075,194.615172994914,5.91921717610914,6.48140620341191
"2346","Adenosine-2',3'-Cyclic Phosphate",352.0406,181.3,0.0033,358.806892307692,178.465901321922,172.140233138001,184.791569505843,161.382218120529,195.549584523315,5.91921717610914,6.48140620341191
"2424","Cyclic-AMP",352.0403,181.3,0.0033,361.883061538462,179.150098404074,172.055529343739,186.244667464408,161.767030093089,196.533166715058,5.91921717610914,6.48140620341191
"2425","Cyclic-AMP",352.0437,189,0.0027,364.959230769231,179.831093862778,171.921228892569,187.740958832988,162.09964954486,197.562538180697,5.91921717610914,6.48140620341191
"2426","Cyclic-GMP",368.0354,184.2,5e-04,368.0354,180.508929477649,171.751843513965,189.266015441333,162.383678904819,198.634180050478,5.91921717610914,6.48140620341191
