"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"478","Actinomycin",628.3195,193.1,0.002,553.5599,179.10960778969,171.722186462087,186.497029117292,147.335254040221,210.883961539158,12.7899215782325,79.0776004244495
"479","Actinomycin",639.2402,190,4e-04,578.675931818182,179.764079151325,172.407042106873,187.121116195777,147.996775891554,211.531382411097,12.7899215782325,79.0776004244495
"480","Actinomycin",639.3104,181.3,0.0045,603.791963636364,180.647145313309,173.330977090461,187.963313536157,148.889282038367,212.40500858825,12.7899215782325,79.0776004244495
"481","Actinomycin",647.2224,184.3,0.0064,628.907995454545,181.835151117645,174.5737282757,189.096573959589,150.089855024926,213.580447210363,12.7899215782325,79.0776004244495
"482","Actinomycin",647.2224,198.2,0.0016,654.024027272727,183.427090063399,176.238591685285,190.615588441513,151.698395302079,215.155784824719,12.7899215782325,79.0776004244495
"483","Actinomycin",647.2262,181,0.0024,679.140059090909,185.549036247219,178.456942344425,192.641130150014,153.842043986033,217.256028508405,12.7899215782325,79.0776004244495
"484","Actinomycin",647.2262,190.3,0.0076,704.256090909091,188.357568555264,181.391608825589,195.323528284939,156.678550936652,220.036586173876,12.7899215782325,79.0776004244495
"485","Actinomycin",650.2304,188.2,0.0059,729.372122727273,192.040343222816,185.237111119555,198.843575326078,160.396709907792,223.683976537841,12.7899215782325,79.0776004244495
"486","Actinomycin",650.2304,192.5,0.0029,754.488154545455,196.810896169003,190.213614051232,203.408178286774,165.210901016055,228.410891321951,12.7899215782325,79.0776004244495
"487","Actinomycin",658.2176,190.5,0.0017,779.604186363636,202.893735643178,196.550347219973,209.237124066383,171.345769955791,234.441701330565,12.7899215782325,79.0776004244495
"488","Actinomycin",1255.6363,344.4,0.0017,804.720218181818,210.495614511585,204.454057960882,216.537171062288,179.006950394474,241.984278628696,12.7899215782325,79.0776004244495
"489","Actinomycin",1277.6182,354.1,0.0018,829.83625,219.760950888542,214.060347378326,225.461554398759,188.335921967226,251.185979809858,12.7899215782325,79.0776004244495
