"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"196","2,2',3,3',4,4'-Hexabromodiphenyl Ether",574.6128,183.9,8e-04,262.9708,153.535991072967,152.321212079044,154.75077006689,149.757535314256,157.314446831678,1.45020304957098,11.2925954786169
"198","2,2',3,3',4,4',5,5',6-Nonabromodiphenyl ether",808.3443,202.1,6e-04,284.463355172414,155.708961600461,154.568066916944,156.849856283978,151.953608009208,159.464315191714,1.45020304957098,11.2925954786169
"204","2,2',3,4,4'-Pentabromodiphenyl ether",496.7023,176.4,7e-04,305.955910344828,157.869668605305,156.799986509775,158.939350700836,154.135333362995,161.604003847615,1.45020304957098,11.2925954786169
"205","2,2',3,4,4',5,5'6-Octabromodiphenyl Ether",730.4338,195,5e-04,327.448465517241,160.015878226249,159.014230403202,161.017526049297,156.300459235358,163.731297217141,1.45020304957098,11.2925954786169
"206","2,2',3,4,4',5'-Hexabromodiphenyl ether",574.6128,184.2,8e-04,348.941020689655,162.145417882721,161.208036474831,163.082799290612,158.446806816345,165.844028949097,1.45020304957098,11.2925954786169
"207","2,2',3,4,4',5',6-Heptabromodiphenyl Ether",652.5233,189.2,0.002,370.433575862069,164.256184686169,163.378619136896,165.133750235443,160.57227898573,167.940090386609,1.45020304957098,11.2925954786169
"208","2,2',4-Tribromodiphenyl ether",340.8813,160.1,7e-04,391.926131034483,166.346153242683,165.523173172275,167.16913331309,162.674867893824,170.017438591541,1.45020304957098,11.2925954786169
"209","2,2',4,4'-Tetrabromodiphenyl ether",418.7918,169.2,3e-04,413.418686206897,168.413382790593,167.638890122989,169.187875458197,164.752661712904,172.074103868281,1.45020304957098,11.2925954786169
"210","2,2',4,4',5,5'-Hexabromodiphenyl Ether",574.6128,182.9,0.0051,434.91124137931,170.456023626331,169.722996708577,171.189050544086,166.803850522738,174.108196729925,1.45020304957098,11.2925954786169
"211","2,2',4,4',5,6-Hexabromodiphenyl Ether",574.6128,182.9,0.0011,456.403796551724,172.472322781762,171.772824906169,173.171820657355,168.826731307883,176.11791425564,1.45020304957098,11.2925954786169
"212","2,2',4,4',6-Pentabromodiphenyl Ether",496.7023,174.8,3e-04,477.896351724138,174.460628926364,173.785917340472,175.135340512257,170.819712058239,178.101545794489,1.45020304957098,11.2925954786169
"223","2,3,3',4,4',5,6-Heptabromodiphenyl ether",652.5233,190.4,3e-04,499.388906896552,176.419396477788,175.760156697261,177.078636258315,172.781314977232,180.057477978344,1.45020304957098,11.2925954786169
"227","2,3,4,5,6-Pentabromodiphenyl ether",496.7023,171.4,0,520.881462068965,178.347188914223,177.693887640903,179.000490187544,174.710178813855,181.984199014592,1.45020304957098,11.2925954786169
"228","2,3',4,4'-Tetrabromodiphenyl ether",418.7918,169.7,0.001,542.374017241379,180.242681291623,179.585987883194,180.899374700051,176.605060345299,183.880302237946,1.45020304957098,11.2925954786169
"259","2'-Hydroxy-2,3',4,5'-tetrabromodiphenyl ether",496.7023,175.5,0.0014,563.866572413793,182.104661977824,181.435856940531,182.773467015118,178.464835045899,185.74448890975,1.45020304957098,11.2925954786169
"260","2'-Hydroxy-2,4,4'-tribromodiphenyl ether",418.7918,168.6,3e-04,585.359127586207,183.932033624009,183.243325181604,184.620742066414,180.288496985645,187.575570262373,1.45020304957098,11.2925954786169
