"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"383","Bisphenol A",227.1072,163.5,0.000111,199.0765,150.837641688761,136.041312031462,165.63397134606,117.789920143194,183.885363234328,10.4734911156673,37.9226797096887
"384","Bisphenol A bis(diphenyl phosphate)",693.1797,246.3,0.000636,250.68506,165.006531346575,153.086356748746,176.926705944405,133.142584785162,196.870477907989,10.4734911156673,37.9226797096887
"385","Bisphenol A bis(diphenyl phosphate)",715.1621,256.6,0.000469,302.29362,177.487187327692,167.510695161293,187.463679494091,146.298232167698,208.676142487685,10.4734911156673,37.9226797096887
"386","Bisphenol AF",671.1097,230.1,0.000352,353.90218,188.724969630155,179.705919687699,197.744019572612,157.828953869375,219.620985390936,10.4734911156673,37.9226797096887
"387","Bisphenol AF",335.0501,166.1,0.000178,405.51074,199.001232093209,189.978316783652,208.024147402767,168.104087747667,229.898376438752,10.4734911156673,37.9226797096887
"388","Bisphenol B",241.1235,167.2,0.000264,457.1193,208.506654874221,198.724957409343,218.288352339098,177.379462046722,239.633847701719,10.4734911156673,37.9226797096887
"389","Bisphenol C",278.9991,165.3,0.000216,508.72786,217.377268892441,206.3631470294,228.391390755483,185.841076851553,248.91346093333,10.4734911156673,37.9226797096887
"390","Bisphenol F",199.0765,155.1,0.000283,560.33642,225.713997129479,213.214632439528,238.213361819431,193.628881488761,257.799112770197,10.4734911156673,37.9226797096887
"391","Bisphenol P",345.1864,180.6,0.000136,611.94498,233.594069628641,219.490961703196,247.697177554086,200.850853824713,266.337285432569,10.4734911156673,37.9226797096887
"392","Bisphenol Z",267.1389,174.2,0.000301,663.55354,241.078087203247,225.326804068474,256.829370338021,207.59191918692,274.564255219574,10.4734911156673,37.9226797096887
"393","Terfenadine",472.3215,227,0.004,715.1621,248.214599385772,230.81042497622,265.618773795323,213.919908617317,282.509290154227,10.4734911156673,37.9226797096887
