"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"312","11-beta-Prostaglandin F2alpha",353.2328,193.5,6e-04,319.2235,183.159110190487,181.672821528669,184.645398852306,174.955081701342,191.363138679633,3.34489445449188,12.1417697100907
"313","11(12)-EET",319.2235,184.4,0.0019,323.571913043478,184.414349394326,182.974059784296,185.854639004356,176.218529507017,192.610169281636,3.34489445449188,12.1417697100907
"315","12(R)-HETE",319.2235,183.5,9e-04,327.920326086957,185.661262547958,184.263912693185,187.05861240273,177.472879552452,193.849645543463,3.34489445449188,12.1417697100907
"316","12(S)-HETE",319.2235,184.2,0.0057,332.268739130435,186.900014202614,185.542346926596,188.257681478633,178.718309618799,195.08171878643,3.34489445449188,12.1417697100907
"321","15(R)-Prostaglandin F2alpha",353.2328,192.7,6e-04,336.617152173913,188.130763553095,186.809320086625,189.452207019564,179.954991889237,196.306535216952,3.34489445449188,12.1417697100907
"422","5-iPF2alpha-VI",353.2328,194.3,0.0021,340.965565217391,189.353664678863,188.064785772938,190.642543584789,181.183093199548,197.524236158178,3.34489445449188,12.1417697100907
"430","5(S)-HETE",319.2235,186.6,5e-04,345.31397826087,190.568866771371,189.30869976819,191.829033774551,182.402775274188,198.734958268554,3.34489445449188,12.1417697100907
"435","6-keto-Prostaglandin F1alpha",369.2277,196,5e-04,349.662391304348,191.776514348545,190.541027190478,193.012001506612,183.614194948876,199.938833748213,3.34489445449188,12.1417697100907
"444","8-iso-15(R)-Prostaglandin F2alpha",353.2328,197.7,0.001,354.010804347826,192.976747457325,191.761750288462,194.191744626188,184.817504380617,201.135990534033,3.34489445449188,12.1417697100907
"445","8-iso-Prostaglandin F2alpha",353.2328,196.6,9e-04,358.359217391304,194.169701865049,192.970876374476,195.368527355621,186.012851246011,202.326552484087,3.34489445449188,12.1417697100907
"448","8(S)-HETE",319.2235,184.4,0.0014,362.707630434783,195.355509240428,194.168445241366,196.54257323949,187.200378928635,203.510639552221,3.34489445449188,12.1417697100907
"725","Leukotriene B4",335.2222,186.8,8e-04,367.056043478261,196.534297324798,195.354535335567,197.714059314029,188.380226696229,204.688367953367,3.34489445449188,12.1417697100907
"727","Leukotriene D4",495.2529,225.5,9e-04,371.404456521739,197.706190094278,196.529268000199,198.883112188357,189.552529868344,205.859850320213,3.34489445449188,12.1417697100907
"728","Leukotriene E4",438.2314,213.2,0.0019,375.752869565217,198.871307913414,197.692809272518,200.049806554311,190.717419975072,207.025195851757,3.34489445449188,12.1417697100907
"734","Lipoxin A4",351.2171,193.3,0.0067,380.101282608696,200.029767680857,198.845368999634,201.214166362079,191.875024907443,208.18451045427,3.34489445449188,12.1417697100907
"887","Prostaglandin D2",351.2171,189.4,0.0011,384.449695652174,201.181682967565,199.987197370582,202.376168564547,193.025469060006,209.337896875124,3.34489445449188,12.1417697100907
