"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"786","Carnitine (16:0)",400.3427,214.7,0.002,204.1222,140.646616449175,126.316297922114,154.976934976236,101.902068222129,179.391164676221,13.4267060340125,39.2037562676653
"787","Carnitine (16:0)",422.3246,228.9,0.0034,245.776523076923,156.704013017505,144.31968936461,169.088336670401,118.636264718315,194.771761316696,13.4267060340125,39.2037562676653
"788","Carnitine (18:1/delta9-cis)",426.3583,217.3,0.003,287.430846153846,171.65739520201,160.735597055176,182.579193348844,134.04001008567,209.27478031835,13.4267060340125,39.2037562676653
"789","Carnitine (18:1/delta9-cis)",448.3403,227.2,0.0028,329.085169230769,185.728519412703,175.737089742406,195.719949082999,148.370646680341,223.086392145065,13.4267060340125,39.2037562676653
"1456","Glutarylcarnitine",274.1299,165.5,0.0023,370.739492307692,199.07247430524,189.44546507496,208.699483535521,161.810411896528,236.334536713953,13.4267060340125,39.2037562676653
"1457","Glutarylcarnitine",276.1415,161.1,9e-04,412.393815384615,211.802919965597,201.999152065211,221.606687865984,174.494799491959,249.111040439236,13.4267060340125,39.2037562676653
"1458","Glutarylcarnitine",298.1242,167.5,0.0047,454.048138461538,224.006193619743,213.57514946138,234.437237778106,186.528351226343,261.484036013144,13.4267060340125,39.2037562676653
"1467","Glyceryl Trimyristate",745.6284,291.2,0.0012,495.702461538462,235.749763761214,224.360748707578,247.13877881485,197.994080055011,273.505447467417,13.4267060340125,39.2037562676653
"1801","Lauroyl-L-carnitine",344.2782,199.5,0.0041,537.356784615385,247.087580984673,234.518754811893,259.656407157452,208.959410564465,285.215751404881,13.4267060340125,39.2037562676653
"1802","Lauroyl-L-carnitine",366.2599,209.7,0.0028,579.011107692308,258.063616332438,244.174559998136,271.952672666739,219.48009816615,296.647134498725,13.4267060340125,39.2037562676653
"1918","Methyl Behenate",353.3419,155.6,0.004,620.665430769231,268.714286911674,253.419934109051,284.008639714296,229.602917517571,307.825656305776,13.4267060340125,39.2037562676653
"2118","O-Acetylcarnitine",204.1222,143.5,0.001,662.319753846154,279.070169631826,262.321606003126,295.818733260525,239.367570575146,318.772768688505,13.4267060340125,39.2037562676653
"2177","Palmitoylcarnitine",400.3385,213.8,0.0016,703.974076923077,289.15724344021,270.92889086397,307.38559601645,248.808082037839,329.506404842581,13.4267060340125,39.2037562676653
"2178","Palmitoylcarnitine",422.3201,219.5,0.0026,745.6284,298.997809884867,279.279166691437,318.716453078297,257.953847142209,340.041772627525,13.4267060340125,39.2037562676653
