"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"131","14(15)-EET",319.2235,187,9e-04,129.0188,118.800796500175,116.667405637798,120.934187362551,104.162366145764,133.439226854585,6.14003082268948,33.8327132011659
"132","14(15)-EET",321.2391,181.3,0.0041,134.123511864407,121.446529942646,119.373030563716,123.520029321576,106.816708127474,136.076351757818,6.14003082268948,33.8327132011659
"133","14(15)-EET",343.2211,185.9,0.004,139.228223728814,124.008490510027,121.99186301254,126.025118007513,109.386620823394,138.630360196659,6.14003082268948,33.8327132011659
"134","14(S)-HDHA",343.2273,189.6,3e-04,144.33293559322,126.492260999711,124.529622770591,128.454899228831,111.877739608723,141.1067823907,6.14003082268948,33.8327132011659
"135","14(S)-HDHA",367.2249,188.9,0.0022,149.437647457627,128.902870452314,126.991459883929,130.814281020698,114.295140408594,143.510600496033,6.14003082268948,33.8327132011659
"141","17(S)-HDHA",343.2273,194.2,0.0015,154.542359322034,131.244865891538,129.38202860425,133.107703178826,116.643412216367,145.846319566709,6.14003082268948,33.8327132011659
"142","17(S)-HDHA",367.2249,190.3,0.0056,159.647071186441,133.522372733521,131.705549697907,135.339195769135,118.92671815375,148.118027313292,6.14003082268948,33.8327132011659
"165","2-Hydroxy-4-(methylthio)butanoate",149.029,167.3,0.0039,164.751783050847,135.739145956581,133.9658632691,137.512428644062,121.148847187914,150.329444725248,6.14003082268948,33.8327132011659
"177","2-Methylglutarate",145.0502,126.3,0.0052,169.856494915254,137.89861368421,136.166473797022,139.630753571397,123.313258177468,152.483969190951,6.14003082268948,33.8327132011659
"178","2-Methylglutarate",167.0322,133,0.0051,174.961206779661,140.003914498156,138.310588740453,141.69724025586,125.423117579231,154.584711417082,6.14003082268948,33.8327132011659
"179","2-Methylglutarate",169.0466,137.2,0.003,180.065918644068,142.057929538473,140.401151795069,143.714707281877,127.481331884689,156.634527192257,6.14003082268948,33.8327132011659
"182","2-Methylmaleate",129.0188,118.6,0.0065,185.170630508475,144.063310244596,142.440871679328,145.685748809864,129.490575649904,158.636044839288,6.14003082268948,33.8327132011659
"283","3-Hydroxymethylglutarate",161.045,126.9,0.0056,190.275342372881,146.022502432134,144.43224715989,147.612757704378,131.453315821339,160.591689042928,6.14003082268948,33.8327132011659
"284","3-Hydroxymethylglutarate",185.0403,135.9,0.0013,195.380054237288,147.93776727381,146.377588896865,149.497945650755,133.371832932439,162.503701615182,6.14003082268948,33.8327132011659
"291","3-Methyglutarate",145.0509,126.3,0.0052,200.484766101695,149.811199652409,148.279038584831,151.343360719987,135.24823964401,164.374159660809,6.14003082268948,33.8327132011659
"292","3-Methyglutarate",167.0322,133,0.0051,205.589477966102,151.644744272853,150.138585781815,153.150902763891,137.084497019822,166.204991525883,6.14003082268948,33.8327132011659
"293","3-Methyglutarate",169.0472,137.5,0.0043,210.694189830508,153.440209855388,151.958082750867,154.922336959908,138.88242886297,167.997990847806,6.14003082268948,33.8327132011659
"417","6-Aminocaproic Acid",132.1024,130.2,0.0069,215.798901694915,155.199281678991,153.739257584123,156.65930577386,140.643734385027,169.754828972956,6.14003082268948,33.8327132011659
"418","6-Carboxyhexanoate",159.0677,131.2,0.0046,220.903613559322,156.923532700928,155.483725834794,158.363339567062,142.369999436424,171.477065965432,6.14003082268948,33.8327132011659
"419","6-Carboxyhexanoate",181.0497,134.7,0.0039,226.008325423729,158.614433442987,157.193000846382,160.035866039593,144.062706490631,173.166160395344,6.14003082268948,33.8327132011659
"420","6-Carboxyhexanoate",183.0626,140.2,0.0028,231.113037288136,160.273360805749,158.868502939008,161.67821867249,145.723243545225,174.823478066273,6.14003082268948,33.8327132011659
"439","7(R)-Maresin-1",359.2222,192.9,3e-04,236.217749152542,161.901605948032,160.511567588848,163.291644307215,147.352912078503,176.45029981756,6.14003082268948,33.8327132011659
"440","7(R)-Maresin-1",383.2198,193.3,0.0016,241.322461016949,163.500381348578,162.123452717228,164.877309979929,148.952934179914,178.047828517243,6.14003082268948,33.8327132011659
"441","7(S)-Maresin-1",359.2222,192.8,0.001,246.427172881356,165.070827150223,163.705345190228,166.436309110218,150.524458955642,179.617195344805,6.14003082268948,33.8327132011659
"442","7(S)-Maresin-1",383.2198,194.7,0.0025,251.531884745763,166.614016872686,165.258366616835,167.969667128538,152.068568296398,181.159465448974,6.14003082268948,33.8327132011659
