"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"779","Astilbin",449.1084,197.34,0.0034,449.1084,203.925142783086,183.571355223905,224.278930342268,130.228534302176,277.621751263996,26.4193309237533,36.6333537448239
"780","Astilbin",451.124,204.84,0.0032,524.052746153846,208.10559323988,188.37233222616,227.8388542536,134.577945216706,281.633241263055,26.4193309237533,36.6333537448239
"781","Astilbin",473.106,211.58,9e-04,598.997092307692,212.902854562583,193.672424165516,232.13328495965,139.508557189827,286.29715193534,26.4193309237533,36.6333537448239
"2337","Melittin",949.2592,240.36,7e-04,673.941438461538,218.313681071794,199.361274338492,237.266087805096,144.991739236019,291.635622907569,26.4193309237533,36.6333537448239
"2338","Melittin",712.1963,189.2,7e-04,748.885784615385,224.335226378662,205.31706305833,243.353389698995,150.996260135177,297.674192622148,26.4193309237533,36.6333537448239
"2339","Melittin",569.9586,161.72,7e-04,823.830130769231,230.96495696236,211.423319815912,250.506594108807,157.488504843687,304.441409081033,26.4193309237533,36.6333537448239
"2340","Melittin",569.9586,168.88,3e-04,898.774476923077,238.200591007736,217.590857253668,258.810324761804,164.432884258795,311.968297756677,26.4193309237533,36.6333537448239
"2341","Melittin",1423.3849,306.68,2e-04,973.718823076923,246.040053534578,223.773638428699,268.306468640456,171.792449699494,320.287657369661,26.4193309237533,36.6333537448239
"2517","Naringin",603.169,238.36,0.0014,1048.66316923077,254.481442507355,229.969216390295,278.993668624415,179.529706951745,329.433178062965,26.4193309237533,36.6333537448239
"2518","Naringin",581.187,231.82,0.0013,1123.60751538462,263.523002615866,236.20569698131,290.840308250423,187.607598245501,339.438406986231,26.4193309237533,36.6333537448239
"2519","Naringin",579.1714,216.25,3e-04,1198.55186153846,273.163104576627,242.525158356496,303.801050796758,195.990588859101,350.335620294154,26.4193309237533,36.6333537448239
"3164","Rutin",633.1431,249.25,0.0012,1273.49620769231,283.400228508698,248.971287874331,317.829169143065,204.64576586188,362.154691155516,26.4193309237533,36.6333537448239
"3165","Rutin",609.1456,234.32,9e-04,1348.44055384615,294.232950381939,255.582992487006,332.882908276871,213.543839103748,374.92206166013,26.4193309237533,36.6333537448239
"3166","Rutin",611.1612,233.98,5e-04,1423.3849,305.659930825715,262.392326480821,348.92753517061,222.659936733363,388.659924918068,26.4193309237533,36.6333537448239
