"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"746","beta-Glycerophosphate",171.0071,126.5,0.0019,171.0069,130.607983254033,127.088006524721,134.127959983345,122.330961409072,138.885005098994,2.99666047905279,57.2731298254251
"747","beta-Glycerophosphate",192.9889,147.3,0.0019,197.027095833333,140.325561286999,137.043291784006,143.607830789993,132.146799306274,148.504323267724,2.99666047905279,57.2731298254251
"748","beta-Glycerophosphate",195.0032,140.6,9e-04,223.047291666667,149.428056060166,146.364409528636,152.491702591697,141.334553448983,157.521558671349,2.99666047905279,57.2731298254251
"1136","d7-PA (15:0-18:1)",690.5034,266.8,0,249.0674875,158.020087045704,155.158394182851,160.881779908556,150.000851390832,166.039322700576,2.99666047905279,57.2731298254251
"1464","Glycerol-3-phosphate",171.0069,127.4,0.0024,275.087683333333,166.179565899706,163.504794501682,168.85433729773,158.225117051498,174.134014747914,2.99666047905279,57.2731298254251
"1465","Glycerol-3-phosphate",195.0043,137.2,0.0016,301.107879166667,173.966371220494,171.464570208241,176.468172232747,166.068405485447,181.864336955541,2.99666047905279,57.2731298254251
"2149","PA 35:01",733.476,272.9,0.0056,327.128075,181.427704483842,179.085581548109,183.769827419575,173.578857798299,189.276551169384,2.99666047905279,57.2731298254251
"2150","PA 35:02",731.4603,271.1,0.0055,353.148270833333,188.601558752802,186.406142937994,190.79697456761,180.795234070406,196.407883435197,2.99666047905279,57.2731298254251
"2151","PA 36:01",725.5097,274.5,0.0056,379.168466666667,195.519054519045,193.457417474262,197.580691563828,187.74929250522,203.288816532871,2.99666047905279,57.2731298254251
"2152","PA 36:01",747.4916,275.7,0.0056,405.1886625,202.206064599577,200.265088882375,204.147040316779,194.467444491196,209.944684707958,2.99666047905279,57.2731298254251
"2153","PA 36:02",723.494,273.3,0.0056,431.208858333333,208.684375973106,206.850569939515,210.518182006697,200.971938030672,216.396813915541,2.99666047905279,57.2731298254251
"2154","PA 36:02",745.476,274.2,0.0056,457.229054166667,214.972540332215,213.231908361336,216.713172303094,207.281724113821,222.663356550609,2.99666047905279,57.2731298254251
"2155","PA 36:03",721.4784,272,0.0056,483.24925,221.08650961338,219.424493356296,222.748525870464,213.413104079598,228.759915147162,2.99666047905279,57.2731298254251
"2156","PA 36:03",743.4604,272.8,0.0056,509.269445833333,227.040119443166,225.441628479756,228.638610406576,219.380222067406,234.700016818926,2.99666047905279,57.2731298254251
"2157","PA 36:04",719.4628,269.5,0.0056,535.289641666667,232.845462757892,231.295008610574,234.39591690521,225.195445600395,240.495479915389,2.99666047905279,57.2731298254251
"2158","PA 36:04",741.4447,271.1,0.0056,561.3098375,238.513182639636,236.995116586001,240.031248693272,230.869663882528,246.156701396745,2.99666047905279,57.2731298254251
"2159","PA 36:05",739.4291,270.4,0.0056,587.330033333333,244.052704747837,242.551538954248,245.553870541426,236.412524567572,251.692884928101,2.99666047905279,57.2731298254251
"2160","PA 38:02",751.5253,280.8,0.0056,613.350229166667,249.472423914216,247.973193863705,250.971653964726,241.832623838859,257.112223989572,2.99666047905279,57.2731298254251
"2161","PA 38:03",749.5097,278.5,0.0056,639.370425,254.779855489684,253.268469204584,256.291241774784,247.137660585741,262.422050393627,2.99666047905279,57.2731298254251
"2162","PA 38:03",771.4916,280.9,0.0056,665.390620833333,259.981759256639,258.445282211411,261.518236301867,252.334562635813,267.628955877465,2.99666047905279,57.2731298254251
"2163","PA 38:04",747.4941,277.6,0.0056,691.410816666667,265.084241751825,263.511084502858,266.657399000792,257.429590997085,272.738892506565,2.99666047905279,57.2731298254251
"2164","PA 38:04",769.476,277.2,0.0056,717.4310125,270.09284142758,268.472841462304,271.712841392856,262.428426620528,277.757256234633,2.99666047905279,57.2731298254251
"2165","PA 40:05",773.5097,282.9,0.0056,743.451208333333,275.012600044322,273.337010330499,276.688189758144,267.336243139114,282.68895694953,2.99666047905279,57.2731298254251
"2166","PA 40:05",795.4916,284.2,0.0056,769.471404166667,279.848122921694,278.109531428747,281.58671441464,272.157768259754,287.538477583633,2.99666047905279,57.2731298254251
"2167","PA 40:06",793.476,281.7,0.0056,795.4916,284.603630102954,282.795837006274,286.411423199633,276.897335900974,292.309924304933,2.99666047905279,57.2731298254251
