"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"44","1,2-Diacyl-sn-glycero-3-phosphocholine",312.0848,188.4,8e-04,312.0848,182.239537589502,180.199707572536,184.279367606468,171.771840281796,192.707234897208,4.36175453133585,29.2598998482639
"45","1,2-Diacyl-sn-glycero-3-phosphocholine",334.0668,188,0.0011,317.19161884058,183.710460937019,181.697272337556,185.723649536482,173.247922585135,194.172999288903,4.36175453133585,29.2598998482639
"49","1,2-Diarachidoyl-sn-glycero-3-phosphocholine",846.6951,308,0,322.298437681159,185.169479320874,183.182636580742,187.156322061006,174.711978448215,195.626980193533,4.36175453133585,29.2598998482639
"50","1,2-Diarachidoyl-sn-glycero-3-phosphocholine",868.6771,310.7,0,327.405256521739,186.616875474156,184.656086895285,188.577664053027,176.164293387482,197.069457560831,4.36175453133585,29.2598998482639
"51","1,2-Diarachidoyl-sn-glycero-3-phosphocholine",904.7006,310.3,0.0092,332.512075362319,188.0529211262,186.117898588501,189.987943663899,177.605141809568,198.500700442832,4.36175453133585,29.2598998482639
"52","1,2-Dibehenoyl-sn-glycero-3-phosphocholine",902.7577,318.7,0,337.618894202899,189.47787759267,187.568336281124,191.387418904216,179.034787607032,199.920967578308,4.36175453133585,29.2598998482639
"53","1,2-Dibehenoyl-sn-glycero-3-phosphocholine",924.7397,323.9,0,342.725713043478,190.891996325589,189.007654465665,192.776338185513,180.453484713644,201.330507937533,4.36175453133585,29.2598998482639
"54","1,2-Dibehenoyl-sn-glycero-3-phosphocholine",960.7632,320.5,0.0038,347.832531884058,192.295519426573,190.436098027152,194.154940825995,181.861477622542,202.729561230605,4.36175453133585,29.2598998482639
"64","1,2-Dihexanoyl-sn-glycero-3-phosphocholine",454.257,215.4,0,352.939350724638,193.688680126251,191.853902729292,195.52345752321,183.259001870234,204.118358382268,4.36175453133585,29.2598998482639
"65","1,2-Dihexanoyl-sn-glycero-3-phosphocholine",476.2389,220.6,0,358.046169565217,195.071703232534,193.261295668782,196.882110796286,184.646284489168,205.4971219759,4.36175453133585,29.2598998482639
"66","1,2-Dihexanoyl-sn-glycero-3-phosphocholine",512.2624,233.8,0.0067,363.152988405797,196.444805550193,194.658495700256,198.231115400129,186.023544431325,206.86606666906,4.36175453133585,29.2598998482639
"70","1,2-Dilauroyl-sn-glycero-3-phosphocholine",622.4448,260.6,0,368.259807246377,197.808196273937,196.045713834127,199.570678713748,187.39099296507,208.225399582805,4.36175453133585,29.2598998482639
"71","1,2-Dilauroyl-sn-glycero-3-phosphocholine",644.4267,263.7,0,373.366626086957,199.162077357031,197.423153609381,200.901001104682,188.748834047294,209.575320666768,4.36175453133585,29.2598998482639
"72","1,2-Dilauroyl-sn-glycero-3-phosphocholine",680.4502,267.1,0.0033,378.473444927536,200.506643857263,198.791011443198,202.222276271328,190.097264672709,210.916023041817,4.36175453133585,29.2598998482639
