"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"47","1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",716.523,267.5,0.0017,410.1944,200.450407577164,198.004363214668,202.896451939659,187.844953685731,213.055861468596,5.25559095332956,19.5700930666647
"48","1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",718.5387,275.8,0,413.315598601399,201.29627320654,198.873978756085,203.718567656995,188.695406363722,213.897140049358,5.25559095332956,19.5700930666647
"49","1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",740.5206,281.7,0,416.436797202797,202.142201666326,199.743607535892,204.54079579676,189.545869319636,214.738534013016,5.25559095332956,19.5700930666647
"55","1,2-Diarachidonoyl-sn-glycero-3-phosphoethanolamine",786.5074,277.3,0.0024,419.557995804196,202.98810133912,200.61315382933,205.36304884891,190.396250384634,215.579952293606,5.25559095332956,19.5700930666647
"56","1,2-Diarachidonoyl-sn-glycero-3-phosphoethanolamine",788.523,282.3,0,422.679194405594,203.833880619989,201.482521889357,206.18523935062,191.246457425949,216.421303814028,5.25559095332956,19.5700930666647
"57","1,2-Diarachidonoyl-sn-glycero-3-phosphoethanolamine",810.5049,285.7,0,425.800393006993,204.679447956145,202.351615986607,207.007279925683,192.096398386818,217.262497525472,5.25559095332956,19.5700930666647
"67","1,2-Didecanoyl-sn-glycero-3-phosphoethanolamine",522.3196,225.9,0.0022,428.921591608392,205.524711886574,203.22034044928,207.829083323867,192.945981326349,218.103442446799,5.25559095332956,19.5700930666647
"68","1,2-Didecanoyl-sn-glycero-3-phosphoethanolamine",524.3352,235.4,0,432.04279020979,206.369581081574,204.088599702939,208.65056246021,193.795114459271,218.944047703877,5.25559095332956,19.5700930666647
"69","1,2-Didecanoyl-sn-glycero-3-phosphoethanolamine",546.3172,242.9,0,435.163988811189,207.213964382183,204.956298310162,209.471630454203,194.643706195555,219.78422256881,5.25559095332956,19.5700930666647
"70","1,2-Diheptadecanoyl-sn-glycero-3-phosphoethanolamine",718.5387,268.6,0.0021,438.285187412587,208.057770839437,205.823341010038,210.292200668836,195.491665179837,220.623876499038,5.25559095332956,19.5700930666647
"71","1,2-Diheptadecanoyl-sn-glycero-3-phosphoethanolamine",720.5543,279.3,0,441.406386013986,208.90090975345,206.689632757445,211.112186749455,196.338900330639,221.462919176261,5.25559095332956,19.5700930666647
"72","1,2-Diheptadecanoyl-sn-glycero-3-phosphoethanolamine",742.5362,282.1,0,444.527584615385,209.743290712252,207.555078762094,211.931502662409,197.185320879331,222.301260545172,5.25559095332956,19.5700930666647
"76","1,2-Dihexanoyl-sn-glycero-3-phosphoethanolamine",410.1944,201.8,0.0023,447.648783216783,210.584823630372,208.419584527302,212.750062733442,198.030836408808,223.138810851936,5.25559095332956,19.5700930666647
"77","1,2-Dihexanoyl-sn-glycero-3-phosphoethanolamine",412.21,202.9,0,450.769981818182,211.425418787122,209.283055888453,213.56778168579,198.875356891843,223.9754806824,5.25559095332956,19.5700930666647
"78","1,2-Dihexanoyl-sn-glycero-3-phosphoethanolamine",434.192,208.4,0,453.89118041958,212.264986864543,210.145399051126,214.38457467796,199.718792729088,224.811180999997,5.25559095332956,19.5700930666647
"82","1,2-Dilauroyl-sn-glycero-3-phosphoethanolamine",578.3822,238.5,0.0031,457.012379020979,213.103438984994,211.006520628854,215.200357341133,200.561054786683,225.645823183305,5.25559095332956,19.5700930666647
"83","1,2-Dilauroyl-sn-glycero-3-phosphoethanolamine",580.3978,248.8,0,460.133577622378,213.94068674833,211.86632768048,216.01504581618,201.402054433436,226.479319063224,5.25559095332956,19.5700930666647
"84","1,2-Dilauroyl-sn-glycero-3-phosphoethanolamine",602.3798,253.7,0,463.254776223776,214.776642268658,212.724727747085,216.828556790232,202.241703577561,227.311580959756,5.25559095332956,19.5700930666647
"93","1,2-Dimyristoyl-sn-glycero-3-phosphoethanolamine",634.4448,250.8,0.0015,466.375974825175,215.611218210624,213.581628888466,217.640807532782,203.079914702914,228.142521718334,5.25559095332956,19.5700930666647
"94","1,2-Dimyristoyl-sn-glycero-3-phosphoethanolamine",636.4604,261.2,0,469.497173426573,216.444327825203,214.436939719126,218.451715931281,203.916600904722,228.972054745684,5.25559095332956,19.5700930666647
"95","1,2-Dimyristoyl-sn-glycero-3-phosphoethanolamine",658.4424,263.3,0,472.618372027972,217.275884984968,215.290569443753,219.261200526182,204.751675924755,229.80009404518,5.25559095332956,19.5700930666647
"99","1,2-Dioctanoyl-sn-glycero-3-phosphoethanolamine",466.257,213.4,0.0017,475.739570629371,218.105804218798,216.14242789218,220.069180545416,205.585054185926,230.62655425167,5.25559095332956,19.5700930666647
"100","1,2-Dioctanoyl-sn-glycero-3-phosphoethanolamine",468.2726,220.3,0,478.860769230769,218.934000746009,216.992425553774,220.875575938243,206.416650826284,231.451350665733,5.25559095332956,19.5700930666647
"101","1,2-Dioctanoyl-sn-glycero-3-phosphoethanolamine",490.2546,227.5,0,481.981967832168,219.760390509863,217.840473611266,221.680307408459,207.246381732367,232.274399287359,5.25559095332956,19.5700930666647
"102","1,2-Dioleoyl-sn-glycero-3-phosphoethanolamine",742.5387,272.3,0.0019,485.103166433566,220.584890210447,218.686483973978,222.483296446916,208.074163571902,233.095616848992,5.25559095332956,19.5700930666647
"103","1,2-Dioleoyl-sn-glycero-3-phosphoethanolamine",744.5543,279.8,0,488.224365034965,221.407417336881,219.530369310442,223.28446536332,208.899913825817,233.914920847945,5.25559095332956,19.5700930666647
"104","1,2-Dioleoyl-sn-glycero-3-phosphoethanolamine",766.5362,285.9,0,491.345563636364,222.227890198838,220.372043080396,224.083737317281,209.723550819537,234.73222957814,5.25559095332956,19.5700930666647
"105","1,2-Dipalmitoleoyl-sn-glycero-3-phosphoethanolamine",686.4761,289.5,0.0011,494.466762237762,223.046227957348,221.211419566133,224.881036348564,210.544993753551,235.547462161146,5.25559095332956,19.5700930666647
"106","1,2-Dipalmitoleoyl-sn-glycero-3-phosphoethanolamine",688.4917,284.6,0,497.587960839161,223.862350654866,222.048413903206,225.676287406526,211.364162733221,236.360538576511,5.25559095332956,19.5700930666647
"107","1,2-Dipalmitoleoyl-sn-glycero-3-phosphoethanolamine",710.4736,286.2,0,500.709159440559,224.676179244579,222.882942110468,226.469416378689,212.180978797812,237.171379691345,5.25559095332956,19.5700930666647
"111","1,2-Dipalmitoyl-sn-glycero-3-phosphoethanolamine",690.5074,262.5,0.0022,503.830358041958,225.487635618935,223.714921119449,227.260350118421,212.995363948722,237.979907289148,5.25559095332956,19.5700930666647
"112","1,2-Dipalmitoyl-sn-glycero-3-phosphoethanolamine",692.523,274.1,0,506.951556643357,226.296642637372,224.544268803049,228.049016471695,213.807241176896,238.786044097849,5.25559095332956,19.5700930666647
"113","1,2-Dipalmitoyl-sn-glycero-3-phosphoethanolamine",714.5049,277.3,0,510.072755244755,227.103124153226,225.370904003568,228.835344302883,214.616534489406,239.589713817045,5.25559095332956,19.5700930666647
"114","1,2-Dipentadecanoyl-sn-glycero-3-phosphoethanolamine",662.4761,256.3,0.0024,513.193953846154,227.907005039803,226.194746560047,229.619263519559,215.423168935175,240.390841144431,5.25559095332956,19.5700930666647
"115","1,2-Dipentadecanoyl-sn-glycero-3-phosphoethanolamine",664.4917,267.3,0,516.315152447552,228.708211215606,227.015717334939,230.400705096273,216.227070629833,241.189351801379,5.25559095332956,19.5700930666647
"116","1,2-Dipentadecanoyl-sn-glycero-3-phosphoethanolamine",686.4736,270.3,0,519.436351048951,229.506669668684,227.833738240103,231.179601097265,217.028166779697,241.985172557671,5.25559095332956,19.5700930666647
"120","1,2-Distearoyl-sn-glycero-3-phosphoethanolamine",746.5699,274.6,0.0012,522.55754965035,230.302308480111,228.648732262136,231.955884698085,217.826385704845,242.778231255376,5.25559095332956,19.5700930666647
"121","1,2-Distearoyl-sn-glycero-3-phosphoethanolamine",748.5856,286.1,0,525.678748251748,231.09505684656,229.460623487039,232.729490206082,218.621656861294,243.568456831827,5.25559095332956,19.5700930666647
"122","1,2-Distearoyl-sn-glycero-3-phosphoethanolamine",770.5675,289.8,0,528.799946853147,231.884845101986,230.269337124237,233.500353079735,219.413910862247,244.355779341725,5.25559095332956,19.5700930666647
"1144","d7-LysoPE (18:1)",469.3403,217.7,5e-04,531.921145454545,232.67160473838,231.074799529963,234.268409946797,220.203079498426,245.140129978333,5.25559095332956,19.5700930666647
"1145","d7-LysoPE (18:1)",485.3431,203.4,5e-04,535.042344055944,233.455268425606,231.876938230009,235.033598621204,220.989095757459,245.921441093754,5.25559095332956,19.5700930666647
"1146","d7-LysoPE (18:1)",487.3523,217.8,2e-04,538.163542657343,234.235770030309,232.675681941883,235.795858118734,221.771893842325,246.699646218292,5.25559095332956,19.5700930666647
"1147","d7-LysoPE (18:1)",509.3329,224.3,5e-04,541.284741258741,235.013044633873,233.470960596359,236.555128671386,222.551409188856,247.474680078889,5.25559095332956,19.5700930666647
"1154","d7-PE (15:0-18:1)",709.5584,249.6,2e-04,544.40593986014,235.787028549449,234.262705358468,237.311351740429,223.327578482279,248.246478616618,5.25559095332956,19.5700930666647
"1155","d7-PE (15:0-18:1)",711.5655,273.5,3e-04,547.527138461538,236.557659338025,235.050848647927,238.064470028124,224.100339672803,249.014979003247,5.25559095332956,19.5700930666647
"1156","d7-PE (15:0-18:1)",733.5473,279.9,4e-04,550.648337062937,237.324875823548,235.835324159037,238.814427488058,224.869631990247,249.780119656848,5.25559095332956,19.5700930666647
"1232","Dipalmitoyl-Phosphoethanolamine",690.5053,261.8,0.0033,553.769535664336,238.088618107091,236.61606688008,239.561169334102,225.635395957707,250.541840256475,5.25559095332956,19.5700930666647
"2286","PE (18:1/18:1) (del9-cis)",742.5387,274,0.0011,556.890734265734,238.848827580071,237.393013112212,240.304642047929,226.397573404264,251.300081755878,5.25559095332956,19.5700930666647
"2287","PE (18:1/18:1) (del9-cis)",744.5543,278.8,0.0025,560.011932867133,239.605446936506,238.166100487902,241.044793385109,227.156107476726,252.054786396286,5.25559095332956,19.5700930666647
"2288","PE (18:1/18:1) (del9-cis)",766.5362,285.7,0.0027,563.133131468531,240.358420184327,238.935267988917,241.781572379737,227.910942650424,252.80589771823,5.25559095332956,19.5700930666647
"2289","PE (O-32:01)",720.492,269.4,0.0056,566.25433006993,241.107692655737,239.700455963883,242.514929347591,228.662024739043,253.553360572431,5.25559095332956,19.5700930666647
"2290","PE (O-34:01)",700.5296,263.8,0.0012,569.375528671329,241.853211016623,240.461606145438,243.244815887808,229.40930090351,254.297121129736,5.25559095332956,19.5700930666647
"2291","PE (O-34:01)",726.5413,276.9,0.0056,572.496727272727,242.59492327503,241.218661666997,243.971184883064,230.152719659936,255.037126890125,5.25559095332956,19.5700930666647
"2292","PE (O-34:01)",748.5233,277.3,0.0056,575.617925874126,243.332778788699,241.971567079132,244.693990498267,230.892230886618,255.773326690781,5.25559095332956,19.5700930666647
"2293","PE (O-34:02)",724.5257,274.7,0.0056,578.739124475524,244.066728271674,242.720268365591,245.413188177758,231.627785830115,256.505670713233,5.25559095332956,19.5700930666647
"2294","PE (O-34:02)",746.5076,274.6,0.0056,581.860323076923,244.796723799991,243.464712958952,246.12873464103,232.359337110402,257.23411048958,5.25559095332956,19.5700930666647
"2295","PE (O-34:03)",722.51,271.9,0.0056,584.981521678322,245.522718816451,244.204849755921,246.840587876982,233.086838725101,257.958598907801,5.25559095332956,19.5700930666647
"2296","PE (O-34:03)",744.492,272.7,0.0056,588.10272027972,246.244668134497,244.940629132262,247.548707136731,233.810246052829,258.679090216165,5.25559095332956,19.5700930666647
"2297","PE (O-36:00)",730.5708,271.7,0.0023,591.223918881119,246.962527941189,245.672002957364,248.253052925014,234.529515855632,259.395540026746,5.25559095332956,19.5700930666647
"2298","PE (O-36:01)",728.5597,270.1,0.0022,594.345117482517,247.676255799307,246.398924608408,248.953586990205,235.244606280559,260.107905318054,5.25559095332956,19.5700930666647
"2299","PE (O-36:01)",732.5907,278.2,0.0056,597.466316083916,248.385810648577,247.121348984134,249.650272313021,235.955476860357,260.816144436798,5.25559095332956,19.5700930666647
"2300","PE (O-36:01)",754.5726,282.8,0.0056,600.587514685315,249.091152806049,247.839232518158,250.343073093941,236.662088513313,261.520217098785,5.25559095332956,19.5700930666647
"2301","PE (O-36:01)",776.5546,284.3,0.0056,603.708713286713,249.792243965623,248.55253319182,251.031954739427,237.364403542267,262.22008438898,5.25559095332956,19.5700930666647
"2302","PE (O-36:02)",726.5481,269,0.0049,606.829911888112,250.489047196754,249.261210546494,251.716883847014,238.062385632784,262.915708760724,5.25559095332956,19.5700930666647
"2303","PE (O-36:02)",730.575,276.1,0.0056,609.95111048951,251.181526942339,249.965225695328,252.397828189351,238.755999850533,263.607054034146,5.25559095332956,19.5700930666647
"2304","PE (O-36:02)",752.557,281.5,0.0056,613.072309090909,251.86964901581,250.664541334331,253.074756697289,239.445212637861,264.294085393758,5.25559095332956,19.5700930666647
"2305","PE (O-36:02)",774.5389,282,0.0056,616.193507692308,252.553380597438,251.359121752751,253.747639442126,240.129991809598,264.976769385279,5.25559095332956,19.5700930666647
"2306","PE (O-36:03)",728.5594,273.5,0.0055,619.314706293706,253.232690229883,252.048932842653,254.416447617113,240.810306548095,265.655073911671,5.25559095332956,19.5700930666647
"2307","PE (O-36:03)",750.5413,279,0.0056,622.435904895105,253.907547812982,252.733942107619,255.081153518345,241.486127397531,266.328968228434,5.25559095332956,19.5700930666647
"2308","PE (O-36:03)",772.5233,280.6,0.0056,625.557103496503,254.577924597824,253.414118670472,255.741730525175,242.157426257488,266.998422938159,5.25559095332956,19.5700930666647
"2309","PE (O-36:04)",770.5076,279.2,0.0056,628.678302097902,255.243793180092,254.089433279918,256.398153080266,242.824176375824,267.66340998436,5.25559095332956,19.5700930666647
"2310","PE (O-38:02)",802.5702,290.5,0.0056,631.799500699301,255.905127492734,254.759858316027,257.050396669442,243.486352340859,268.32390264461,5.25559095332956,19.5700930666647
"2311","PE (O-38:03)",778.5726,284.4,0.0056,634.920699300699,256.561902797943,255.425367794408,257.698437801479,244.143930072897,268.979875522989,5.25559095332956,19.5700930666647
"2312","PE (O-38:03)",800.5546,288.6,0.0056,638.041897902098,257.214095678487,256.085937369011,258.342253987964,244.796886815101,269.631304541874,5.25559095332956,19.5700930666647
"2313","PE (O-38:04)",798.5389,285.8,0.0056,641.163096503496,257.861684028408,256.741544333417,258.981823723398,245.445201123735,270.27816693308,5.25559095332956,19.5700930666647
"2314","PE (O-38:05)",796.5233,283.6,0.0056,644.284295104895,258.504647043097,257.392167620527,259.617126465668,246.088852857812,270.920441228383,5.25559095332956,19.5700930666647
"2315","PE (O-38:06)",794.5076,282,0.0056,647.405493706294,259.142965208784,258.03778780054,260.248142617028,246.727823168137,271.55810724943,5.25559095332956,19.5700930666647
"2316","PE (O-40:04)",826.5702,294.7,0.0056,650.526692307692,259.77662029144,258.678387077136,260.874853505743,247.362094485807,272.191146097073,5.25559095332956,19.5700930666647
"2317","PE (O-40:06)",822.5389,289.3,0.0056,653.647890909091,260.405595325138,259.313949281767,261.497241368508,247.991650510143,272.819540140132,5.25559095332956,19.5700930666647
"2318","PE 32:01",712.4893,269.7,0.0056,656.769089510489,261.029874599868,259.944459865979,262.115289333757,248.616476196116,273.44327300362,5.25559095332956,19.5700930666647
"2319","PE 32:01",734.4712,270,0.0056,659.890288111888,261.64944364885,260.569905891714,262.728981405985,249.236557741261,274.062329556438,5.25559095332956,19.5700930666647
"2320","PE 34:01",716.5274,266.7,0.001,663.011486713287,262.264289235342,261.190276019529,263.338302451155,249.851882572109,274.676695898575,5.25559095332956,19.5700930666647
"2321","PE 34:01",718.5387,271.1,0.0056,666.132685314685,262.874399338989,261.805560494704,263.943238183273,250.462439330159,275.286359347818,5.25559095332956,19.5700930666647
"2322","PE 34:01",740.5206,277.1,0.0056,669.253883916084,263.479763141711,262.415751131226,264.543775152196,251.068217857413,275.891308426009,5.25559095332956,19.5700930666647
"2323","PE 34:01",756.4945,278.7,0.0056,672.375082517482,264.08037101317,263.020841293638,265.139900732703,251.669209181484,276.491532844856,5.25559095332956,19.5700930666647
"2324","PE 34:01",762.5025,276.7,0.0056,675.496281118881,264.67621449582,263.620825876791,265.73160311485,252.265405500316,277.087023491325,5.25559095332956,19.5700930666647
"2325","PE 34:02",714.5113,265.5,5e-04,678.61747972028,265.267286289574,264.215701283523,266.318871295624,252.856800166513,277.677772412634,5.25559095332956,19.5700930666647
"2326","PE 34:02",716.523,269.5,0.0056,681.738678321678,265.853580236099,264.805465400331,266.901695071867,253.443387671329,278.26377280087,5.25559095332956,19.5700930666647
"2327","PE 34:02",738.5049,274.1,0.0056,684.859876923077,266.435091302771,265.390117571109,267.480065034432,254.0251636283,278.845018977241,5.25559095332956,19.5700930666647
"2328","PE 34:02",754.4789,275.9,0.0056,687.981075524476,267.011815566292,265.969658569055,268.05397256353,254.602124756581,279.421506376003,5.25559095332956,19.5700930666647
"2329","PE 34:02",760.4869,274.4,0.0056,691.102274125874,267.583750196014,266.544090566843,268.623409825185,255.174268863973,279.993231528054,5.25559095332956,19.5700930666647
"2330","PE 34:03",712.4947,272.2,0.0056,694.223472727273,268.150893436961,267.113417105204,269.188369768719,255.74159482968,280.560192044243,5.25559095332956,19.5700930666647
"2331","PE 34:03",714.5074,267,0.0056,697.344671328671,268.7132445926,267.677643060041,269.74884612516,256.304102586806,281.122386598395,5.25559095332956,19.5700930666647
"2332","PE 34:03",736.4893,272.8,0.0056,700.46586993007,269.270804007352,268.236774608232,270.304833406471,256.861793104626,281.679814910077,5.25559095332956,19.5700930666647
"2333","PE 34:03",758.4712,263.8,0.0011,703.587068531469,269.823573048877,268.790819192287,270.856326905467,257.414668370622,282.232477727133,5.25559095332956,19.5700930666647
"2334","PE 35:01",754.5362,280.4,0.0056,706.708267132867,270.371554090162,269.339785484018,271.403322696306,257.962731372339,282.780376807985,5.25559095332956,19.5700930666647
"2335","PE 35:01",776.5182,280.7,0.0056,709.829465734266,270.914750491399,269.883683347386,271.945817635411,258.505986079049,283.323514903748,5.25559095332956,19.5700930666647
"2336","PE 35:02",752.5206,276.7,0.0056,712.950664335664,271.453166581707,270.422523800716,272.483809362697,259.044437423258,283.861895740155,5.25559095332956,19.5700930666647
"2337","PE 35:02",768.4945,278.5,0.0056,716.071862937063,271.986807640692,270.956318978425,273.017296302959,259.578091282068,284.395523999316,5.25559095332956,19.5700930666647
"2338","PE 36:00",746.563,274.7,0.0031,719.193061538462,272.515679879875,271.485082092457,273.546277667294,260.106954458417,284.924405301334,5.25559095332956,19.5700930666647
"2339","PE 36:01",744.5554,273.4,0.0013,722.31426013986,273.039790424,272.008827393563,274.070753454436,260.631034662206,285.448546185794,5.25559095332956,19.5700930666647
"2340","PE 36:01",746.5699,278.1,0.0056,725.435458741259,273.559147292234,272.527570132606,274.590724451862,261.150340491337,285.967954093131,5.25559095332956,19.5700930666647
"2341","PE 36:01",768.5519,283.3,0.0056,728.556657342657,274.073759379298,273.041326522019,275.106192236576,261.664881412676,286.482637345919,5.25559095332956,19.5700930666647
"2342","PE 36:01",790.5338,284.9,0.0056,731.677855944056,274.583636436509,273.550113697568,275.61715917545,262.174667742954,286.992605130064,5.25559095332956,19.5700930666647
"2343","PE 36:02",742.5418,272,4e-04,734.799054545455,275.088789052788,274.053949680538,276.123628425038,262.67971062963,287.497867475946,5.25559095332956,19.5700930666647
"2344","PE 36:02",744.5543,276.2,0.0056,737.920253146853,275.589228635618,274.552853340471,276.625603930764,263.180022031724,287.998435239512,5.25559095332956,19.5700930666647
"2345","PE 36:02",766.5362,281,0.0055,741.041451748252,276.084967391983,275.046844358538,277.123090425428,263.675614700634,288.494320083332,5.25559095332956,19.5700930666647
"2346","PE 36:02",782.5102,281.8,0.0056,744.16265034965,276.576018309305,275.53594319166,277.616093426949,264.166502160958,288.985534457651,5.25559095332956,19.5700930666647
"2347","PE 36:02",788.5182,282.4,0.0055,747.283848951049,277.062395136379,276.020171037438,278.10461923532,264.652698691335,289.472091581423,5.25559095332956,19.5700930666647
"2348","PE 36:03",740.5269,269.7,0.0027,750.405047552448,277.544112364338,276.499549799975,278.588674928702,265.134219305307,289.95400542337,5.25559095332956,19.5700930666647
"2349","PE 36:03",742.5387,274.4,0.0056,753.526246153846,278.021185207645,276.97410205662,279.06826835867,265.611079732232,290.431290683059,5.25559095332956,19.5700930666647
"2350","PE 36:03",764.5206,278.7,0.0055,756.647444755245,278.493629585133,277.443851025708,279.543408144558,266.083296398246,290.903962772021,5.25559095332956,19.5700930666647
"2351","PE 36:03",780.4945,280,0.0055,759.768643356643,278.96146210111,277.908820535296,280.014103666925,266.5508864073,291.372037794921,5.25559095332956,19.5700930666647
"2352","PE 36:03",786.5025,280.5,0.0056,762.889841958042,279.424700026531,278.369034992938,280.480365060123,267.013867522267,291.835532530794,5.25559095332956,19.5700930666647
"2353","PE 36:04",738.5102,269.7,6e-04,766.011040559441,279.883361280251,278.824519356504,280.942203203999,267.472258146154,292.294464414349,5.25559095332956,19.5700930666647
"2354","PE 36:04",778.4789,278.3,0.0056,769.132239160839,280.337464410386,279.275299106041,281.399629714731,267.926077303399,292.748851517373,5.25559095332956,19.5700930666647
"2355","PE 36:04",784.4869,278.1,0.0056,772.253437762238,280.78702857576,279.721400216677,281.852656934843,268.3753446213,293.19871253022,5.25559095332956,19.5700930666647
"2356","PE 36:05",776.4632,275.5,0.0056,775.374636363636,281.232073527486,280.162849132557,282.301297922415,268.82008031155,293.644066743422,5.25559095332956,19.5700930666647
"2357","PE 37:01",782.5675,285.5,0.0056,778.495834965035,281.672619590664,280.599672741793,282.745566439535,269.260305151921,294.084934029407,5.25559095332956,19.5700930666647
"2358","PE 37:01",804.5495,287.9,0.0056,781.617033566434,282.108687646214,281.031898352399,283.18547694003,269.696040468074,294.521334824355,5.25559095332956,19.5700930666647
"2359","PE 37:02",780.5519,283.3,0.0056,784.738232167832,282.540299112862,281.459553669197,283.621044556526,270.127308115534,294.953290110189,5.25559095332956,19.5700930666647
"2360","PE 37:02",802.5338,286.3,0.0056,787.859430769231,282.967475929267,281.882666771657,284.052285086877,270.554130461821,295.380821396713,5.25559095332956,19.5700930666647
"2361","PE 37:03",778.5362,281.3,0.0056,790.980629370629,283.390240536326,282.301266092635,284.479214980017,270.976530368744,295.803950703909,5.25559095332956,19.5700930666647
"2362","PE 37:03",800.5182,283.2,0.0056,794.101827972028,283.808615859631,282.715380397978,284.901851321285,271.394531174873,296.222700544389,5.25559095332956,19.5700930666647
"2363","PE 38:01",796.5832,287.1,0.0056,797.223026573427,284.22262529212,283.125038766972,285.320211817267,271.808156678203,296.637093906036,5.25559095332956,19.5700930666647
"2364","PE 38:02",816.5495,289.9,0.0056,800.344225174825,284.632292676898,283.53027057357,285.734314780225,272.217431118993,297.047154234803,5.25559095332956,19.5700930666647
"2365","PE 38:03",768.5501,277.1,0.0028,803.465423776224,285.037642290262,283.931105468391,286.144179112133,272.622379162809,297.452905417714,5.25559095332956,19.5700930666647
"2366","PE 38:03",814.5338,287.6,0.0056,806.586622377622,285.438698824914,284.32757336143,286.549824288399,273.023025883775,297.854371766053,5.25559095332956,19.5700930666647
"2367","PE 38:04",766.543,275.9,0,809.707820979021,285.835487373383,284.719704405463,286.951270341304,273.41939674802,298.251577998746,5.25559095332956,19.5700930666647
"2368","PE 38:04",806.5102,285.6,0.0056,812.82901958042,286.228033411652,285.107528980095,287.348537843209,273.811517597348,298.644549225956,5.25559095332956,19.5700930666647
"2369","PE 38:04",812.5182,286.1,0.0056,815.950218181818,286.616362783002,285.491077676423,287.741647889582,274.199414633122,299.033310932883,5.25559095332956,19.5700930666647
"2370","PE 38:04 HETE",828.5131,287.3,0.0056,819.071416783217,287.000501682075,285.870381282282,288.130622081868,274.583114400374,299.417888963777,5.25559095332956,19.5700930666647
"2371","PE 38:05",804.4945,283.9,0.0056,822.192615384615,287.380476639159,286.245470768042,288.515482510276,274.962643772141,299.798309506177,5.25559095332956,19.5700930666647
"2372","PE 38:05",810.5025,284.7,0.0056,825.313813986014,287.756314504701,286.616377272916,288.896251736487,275.338029934032,300.174599075371,5.25559095332956,19.5700930666647
"2374","PE 38:06",808.4869,282.1,0.0056,828.435012587413,288.128042434054,286.983132091764,289.272952776344,275.70930036903,300.546784499079,5.25559095332956,19.5700930666647
"2375","PE 38:06 HETE",802.4999,282.4,0.0056,831.556211188811,288.495687872453,287.345766662358,289.645609082548,276.076482842535,300.914892902372,5.25559095332956,19.5700930666647
"2376","PE 39:02",830.5651,293,0.0056,834.67740979021,288.859278540238,287.704312553079,290.014244527397,276.439605387646,301.278951692831,5.25559095332956,19.5700930666647
"2378","PE 40:05",816.5519,290.5,0.0056,837.798608391608,289.218842418309,288.058801451028,290.378883385589,276.798696290686,301.638988545931,5.25559095332956,19.5700930666647
"2379","PE 40:05",838.5338,290.7,0.0056,840.919806993007,289.574407733829,288.409265150526,290.739550317131,277.153784076977,301.995031390681,5.25559095332956,19.5700930666647
"2381","PE 40:06",836.5182,280.2,0.0014,844.041005594406,289.926002946173,288.755735541981,291.096270350365,277.504897496857,302.34710839549,5.25559095332956,19.5700930666647
"2382","PE 40:07",834.5025,289,0.0056,847.162204195804,290.273656733126,289.098244601103,291.449068865148,277.852065511957,302.695247954295,5.25559095332956,19.5700930666647
"2383","PE 40:07",856.5258,287.2,0.0056,850.283402797203,290.617397977323,289.436824378452,291.797971576193,278.195317281719,303.039478672926,5.25559095332956,19.5700930666647
