"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1021","PG 32:02",717.4689,263.4,0.0016,483.2703,216.593170657718,215.30350749171,217.882833823726,212.666015399614,220.520325915821,1.51724647452075,24.4040508415917
"1022","PG 32:01",719.4838,265,4e-04,493.865194117647,217.808475595603,216.542038935331,219.074912255875,213.88888643933,221.728064751876,1.51724647452075,24.4040508415917
"1023","PG 32:00",721.4982,266.8,3e-04,504.460088235294,219.120457445052,217.878940318156,220.361974571948,215.208848809737,223.032066080367,1.51724647452075,24.4040508415917
"1024","PG 34:03",743.4835,269.3,2e-04,515.054982352941,220.533069465483,219.318192681166,221.7479462498,216.629834532692,224.436304398274,1.51724647452075,24.4040508415917
"1025","PG 34:02",745.5056,271.3,2e-04,525.649876470588,222.049709744083,220.863200401084,223.236219087082,218.155210834016,225.94420865415,1.51724647452075,24.4040508415917
"1026","PG 34:01",747.5226,273.1,6e-04,536.244770588235,223.673074278038,222.516639371276,224.8295091848,219.787632342676,227.5585162134,1.51724647452075,24.4040508415917
"1027","PG 36:05",767.4842,274.8,9e-04,546.839664705882,225.405003456141,224.280298121097,226.529708791185,221.528886916333,229.281119995948,1.51724647452075,24.4040508415917
"1028","PG 36:04",769.5002,276.6,8e-04,557.434558823529,227.246326775029,226.15491676923,228.337736780829,223.379740019213,231.112913530845,1.51724647452075,24.4040508415917
"1029","PG 36:03",771.5147,277.5,6e-04,568.029452941176,229.196711849739,228.140029964882,230.253393734596,225.339783804614,233.053639894865,1.51724647452075,24.4040508415917
"1030","PG 36:02",773.5334,279.5,0.0013,578.624347058824,231.254524881907,230.233821118792,232.275228645022,227.407298151972,235.101751611842,1.51724647452075,24.4040508415917
"1031","PG 36:01",775.5472,281.1,0.0014,589.219241176471,233.416710596361,232.432996135312,234.40042505741,229.579131739794,237.254289452928,1.51724647452075,24.4040508415917
"1032","PG 38:06",793.4992,281.7,0.0012,599.814135294118,235.678700100399,234.732685391879,236.62471480892,231.850611652071,239.506788548728,1.51724647452075,24.4040508415917
"1033","PG 38:05",795.5144,282.8,0.0012,610.409029411765,238.034355016952,237.126382749175,238.942327284729,234.215489874198,241.853220159706,1.51724647452075,24.4040508415917
"1034","PG 38:04",797.5312,283.7,7e-04,621.003923529412,240.475955476374,239.605929824069,241.345981128678,236.66593421985,244.285976732897,1.51724647452075,24.4040508415917
"1035","PG 40:07",819.5154,286.5,0.0013,631.598817647059,242.994238055415,242.161552581435,243.826923529395,239.192569679811,246.795906431019,1.51724647452075,24.4040508415917
"1036","PG 40:06",821.5311,288,5e-04,642.193711764706,245.5784875323,244.78195552465,246.37501953995,241.784573909311,249.372401155289,1.51724647452075,24.4040508415917
"1037","PG 40:05",823.5459,288.9,0.0014,652.788605882353,248.216683478904,247.454476454307,248.978890503501,244.429827673908,252.003539283901,1.51724647452075,24.4040508415917
"1038","PG 18:02",507.2701,217.3,6e-04,663.3835,250.895699423235,250.165301970344,251.626096876125,247.115117751232,254.676281095237,1.51724647452075,24.4040508415917
