"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1710","PI 32:01",807.5033,281.1,0.0025,595.2891,235.626099450803,234.717947444905,236.5342514567,233.05494884427,238.197250057335,0.982336834656141,19.2303125244
"1711","PI 32:00",809.5186,282.3,0.0032,604.9343,237.822556085569,236.945103569086,238.700008602052,235.262087711552,240.383024459585,0.982336834656141,19.2303125244
"1712","PI 34:03",831.5035,285.1,0.0039,614.5795,240.004258126835,239.156999762965,240.851516490706,237.453979296824,242.554536956847,0.982336834656141,19.2303125244
"1713","PI 34:02",833.5186,284.8,0.0016,624.2247,242.171533951597,241.3539422251,242.989125678093,239.630956929168,244.712110974025,0.982336834656141,19.2303125244
"1714","PI 34:01",835.5335,286.4,8e-04,633.8699,244.324699682909,243.536221330799,245.113178035019,241.793341650666,246.856057715152,0.982336834656141,19.2303125244
"1715","PI 36:05",855.5029,289,0.0013,643.5151,246.464059826135,245.704111821936,247.224007830334,243.941442862594,248.986676789675,0.982336834656141,19.2303125244
"1716","PI 36:04",857.5188,289.4,6e-04,653.1603,248.589907863133,247.857872899033,249.321942827233,246.075558928653,251.104256797613,0.982336834656141,19.2303125244
"1717","PI 36:03",859.5337,290.8,2e-04,662.8055,250.70252680776,249.997748218136,251.407305397384,248.195977738612,253.209075876908,0.982336834656141,19.2303125244
"1718","PI 36:02",861.5525,292,3e-04,672.4507,252.802189725721,252.123965798274,253.480413653168,250.302977235471,255.30140221597,0.982336834656141,19.2303125244
"1719","PI 36:01",863.5646,293.3,0.0012,682.0959,254.889160221539,254.23673785058,255.541582592497,252.396825908934,257.381494534143,0.982336834656141,19.2303125244
"1720","PI 38:06",881.5187,294.2,0.001,691.7411,256.963692895156,256.33626054841,257.591125241902,254.47778325774,259.449602532573,0.982336834656141,19.2303125244
"1721","PI 38:05",883.5344,295.4,0.0018,701.3863,259.026033770458,258.422713769759,259.629353771156,256.546100223183,261.505967317733,0.982336834656141,19.2303125244
"1722","PI 38:04",885.5545,296.4,0.0017,711.0315,261.076420697799,260.496260860163,261.656580535436,258.602019595944,263.550821799655,0.982336834656141,19.2303125244
"1723","PI 38:03",887.5678,297.3,0.0022,720.6767,263.115083732458,262.557048486675,263.673118978242,260.645776398165,265.584391066751,0.982336834656141,19.2303125244
"1724","PI 40:08",905.522,299.1,0.0024,730.3219,265.14224549074,264.605206681751,265.679284299728,262.677598242548,267.606892738931,0.982336834656141,19.2303125244
"1725","PI 40:07",907.5337,299.9,0.0017,739.9671,267.158121485338,266.640849208671,267.675393762004,264.697705670101,269.618537300574,0.982336834656141,19.2303125244
"1726","PI 40:06",909.5507,300.8,0.0025,749.6123,269.162920441417,268.664074413819,269.661766469014,266.70631246803,271.619528414803,0.982336834656141,19.2303125244
"1727","PI 40:05",911.5655,301.6,0.0027,759.2575,271.15684459475,270.674966758194,271.638722431306,268.703625969144,273.610063220356,0.982336834656141,19.2303125244
"1728","PI 40:04",913.5807,302.8,0.0027,768.9027,273.140089973152,272.673599228487,273.606580717818,270.689847334042,275.590332612263,0.982336834656141,19.2303125244
"1729","PI 18:02",595.2891,235,0.006,778.5479,275.112846662337,274.66003679975,275.565656524924,272.665171817241,277.560521507432,0.982336834656141,19.2303125244
"1730","PI 18:01",597.304,236.7,9e-04,788.1931,277.075299057242,276.63434103793,277.516257076554,274.629789018323,279.520809096161,0.982336834656141,19.2303125244
"1731","PI 18:00",599.3199,238.4,0.001,797.8383,279.027626099792,278.596575777818,279.458676421766,276.58388311909,281.471369080494,0.982336834656141,19.2303125244
"1732","PI 20:04",619.2878,239.8,0.0015,807.4835,280.970001503972,280.546813593331,281.393189414614,278.527633107647,283.412369900298,0.982336834656141,19.2303125244
"1733","PI 35:03",845.5208,288.1,5e-04,817.1287,282.902593969048,282.485142525269,283.320045412827,280.461212990263,285.343974947832,0.982336834656141,19.2303125244
"1734","PI 35:02",847.5349,288.4,7e-04,826.7739,284.825567381672,284.411672312643,285.239462450702,282.384791991796,287.266342771548,0.982336834656141,19.2303125244
"1735","PI 35:01",849.5497,289.8,0.0011,836.4191,286.739081007598,286.326539273667,287.15162274153,284.298534745408,289.179627269789,0.982336834656141,19.2303125244
"1736","PI 37:04",871.5361,293,0.001,846.0643,288.64328967363,288.229909073363,289.056670273897,286.202601472255,291.083977875006,0.982336834656141,19.2303125244
"1737","PI 37:03",873.5494,293.5,5e-04,855.7095,290.538343940425,290.121976911424,290.954710969425,288.09714815178,292.979539729069,0.982336834656141,19.2303125244
"1738","PI 37:02",875.564,295.1,6e-04,865.3547,292.424390266697,292.002965101081,292.845815432314,289.982326683194,294.8664538502,0.982336834656141,19.2303125244
"1739","PI 37:01",877.5777,296.5,0.0037,874.9999,294.301571165354,293.873118459566,294.730023871142,291.858285038689,296.744857292019,0.982336834656141,19.2303125244
"1740","PI 39:05",897.5537,298.6,0.0015,884.6451,296.170025352024,295.732698258829,296.607352445218,293.725167408891,298.614883295156,0.982336834656141,19.2303125244
"1741","PI 39:04",899.5668,299.6,0.0031,894.2903,298.02988788645,297.581975610579,298.477800162322,295.583114341037,300.476661431863,0.982336834656141,19.2303125244
"1742","PI 39:03",901.58,300.7,0.0036,903.9355,299.881290307149,299.421225082661,300.341355531637,297.4322628703,302.330317743998,0.982336834656141,19.2303125244
"1743","PI 39:02",903.5904,301.7,0.0018,913.5807,301.724360759727,301.250719130008,302.198002389445,299.272746644687,304.175974874766,0.982336834656141,19.2303125244
