"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1744","d7-PS (15:0/18:1)",777.542,265.5,3e-04,777.542,279.574322931962,277.700723422688,281.447922441235,270.876107016926,288.272538846997,3.5781397024507,7.4927583226032
"1745","PS 36:00",790.5539,284.1,0.0032,779.530201234568,279.938426054519,278.100662211799,281.776189897238,271.247858701058,288.628993407979,3.5781397024507,7.4927583226032
"1746","PS 36:01",788.5477,283,6e-04,781.518402469136,280.30207408764,278.499856969208,282.104291206071,271.618954168775,288.985194006505,3.5781397024507,7.4927583226032
"1747","PS 36:02",786.5325,281.8,0.0014,783.506603703704,280.665268755731,278.898295803791,282.43224170767,271.989395405093,289.341142106369,3.5781397024507,7.4927583226032
"1748","PS 38:02",814.5598,287.6,0.001,785.494804938272,281.028011772307,279.295965834722,282.760057709891,272.359184394089,289.696839150524,3.5781397024507,7.4927583226032
"1749","PS 38:03",812.5444,286.4,6e-04,787.48300617284,281.390304840088,279.692853116849,283.087756563327,272.728323119018,290.052286561158,3.5781397024507,7.4927583226032
"1750","PS 38:05",808.5139,283.4,0.0027,789.471207407407,281.752149651097,280.088942561024,283.415356741169,273.096813562423,290.40748573977,3.5781397024507,7.4927583226032
"1751","PS 40:04",838.5602,291.3,8e-04,791.459408641975,282.113547886748,280.484217849303,283.742877924192,273.464657706248,290.762438067248,3.5781397024507,7.4927583226032
"1752","PS 40:05",836.5461,290.2,0.001,793.447609876543,282.474501217946,280.878661345076,284.070341090816,273.831857531939,291.117144903952,3.5781397024507,7.4927583226032
"1753","PS 40:06",834.5323,289.1,0.0017,795.435811111111,282.835011305173,281.272253998284,284.397768612062,274.198415020544,291.471607589802,3.5781397024507,7.4927583226032
"1754","PS 40:07",832.5163,287.8,0.0025,797.424012345679,283.195079798583,281.664975246064,284.725184351102,274.564332152807,291.825827444359,3.5781397024507,7.4927583226032
"1755","PS 42:08",858.5239,292.3,0.0011,799.412213580247,283.554708338089,282.056802909352,285.052613766826,274.929610909256,292.179805766922,3.5781397024507,7.4927583226032
"1756","PS 42:09",856.5124,290.7,0.0019,801.400414814815,283.913898553454,282.447713086276,285.380084020632,275.294253270289,292.533543836619,3.5781397024507,7.4927583226032
"1757","PS 38:04",810.5303,285.3,0.0029,803.388616049383,284.272652064377,282.83768004346,285.707624085294,275.658261216253,292.887042912501,3.5781397024507,7.4927583226032
"1758","PS (O-35:02)",804.5131,284.6,0.0056,805.376817283951,284.630970480581,283.226676106819,286.035264854343,276.021636727519,293.240304233643,3.5781397024507,7.4927583226032
"1759","PS 34:01",806.4924,283,0.0056,807.365018518519,284.988855401898,283.614671553873,286.363039249924,276.384381784553,293.593329019244,3.5781397024507,7.4927583226032
"1760","PS 36:01",834.5237,290.2,0.0056,809.353219753086,285.346308418357,284.001634510239,286.690982326475,276.746498367978,293.946118468736,3.5781397024507,7.4927583226032
"1761","PS 36:02",832.508,288.2,0.0055,811.341420987654,285.703331110262,284.387530853625,287.019131366899,277.10798845864,294.298673761884,3.5781397024507,7.4927583226032
"1762","PS 36:04",828.4767,283.8,0.0055,813.329622222222,286.059925048281,284.772324129478,287.347525967084,277.46885403766,294.650996058902,3.5781397024507,7.4927583226032
"1763","PS 37:01",848.5393,295.8,0.0055,815.31782345679,286.416091793526,285.155975483317,287.676208103735,277.829097086489,295.003086500563,3.5781397024507,7.4927583226032
"1764","PS 37:02",846.5237,291.6,0.0056,817.306024691358,286.771832897633,285.538443615779,288.005222179486,278.18871958695,295.354946208315,3.5781397024507,7.4927583226032
