"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1085","D-glucosyl-beta1-1'-D-erythro-sphingosine",460.329,218.7,7e-04,460.329,219.131986704993,217.174605265517,221.08936814447,209.813205052831,228.450768357155,3.85776169685658,19.2965147319899
"1086","D-glucosyl-beta1-1'-D-erythro-sphingosine",462.3408,221,6e-04,464.388767592593,220.177979093641,218.242148208414,222.113809978869,210.863700238182,229.492257949101,3.85776169685658,19.2965147319899
"1087","D-glucosyl-beta1-1'-D-erythro-sphingosine",484.3227,226.2,8e-04,468.448535185185,221.219794729081,219.305367687949,223.134221770212,211.909940794841,230.52964866332,3.85776169685658,19.2965147319899
"1088","D-glucosyl-beta1-1'-D-erythro-sphingosine",496.3041,224.5,8e-04,472.508302777778,222.257486272087,220.364316129227,224.150656414947,212.951980236901,231.562992307273,3.85776169685658,19.2965147319899
"1089","D-glucosyl-beta1-1'-D-erythro-sphingosine",506.3333,226.8,7e-04,476.56807037037,223.291105273588,221.4190447721,225.163165775076,213.98987095215,232.592339595026,3.85776169685658,19.2965147319899
"1090","D-glucosyl-beta1-1'-D-erythro-sphingosine",520.3537,229.7,6e-04,480.627837962963,224.320702207289,222.469603702637,226.171800711941,215.023664235172,233.617740179406,3.85776169685658,19.2965147319899
"1338","GlcCer 34:00",724.5703,282,0.0056,484.687605555556,225.346326501078,223.516041883269,227.176611118888,216.053410319209,234.639242682948,3.85776169685658,19.2965147319899
"1339","GlcCer 34:01",722.5547,280.1,0.0056,488.747373148148,226.368026567258,224.558407181664,228.177645952851,217.079158406832,235.656894727684,3.85776169685658,19.2965147319899
"1340","GlcCer 36:00",730.6197,285.7,0.0056,492.807140740741,227.385849831657,225.59674639839,229.174953264923,218.100956699477,236.670742963836,3.85776169685658,19.2965147319899
"1341","GlcCer 36:01",710.5934,281,0.0056,496.866908333333,228.39984276168,226.631105293408,230.168580229952,219.118852425906,237.680833097454,3.85776169685658,19.2965147319899
"1342","GlcCer 36:01",728.604,283.5,0.0056,500.926675925926,229.410050893336,227.66152861145,231.158573175222,220.13289186962,238.687209917052,3.85776169685658,19.2965147319899
"1343","GlcCer 36:01",750.586,285.1,0.0056,504.986443518519,230.416518857289,228.688060106327,232.144977608251,221.143120395299,239.689917319279,3.85776169685658,19.2965147319899
"1344","GlcCer 36:01",762.5696,284.2,0.0024,509.046211111111,231.419290403979,229.710742564202,233.127838243757,222.149582474283,240.688998333675,3.85776169685658,19.2965147319899
"1345","GlcCer 36:01",772.6004,287.3,0.0018,513.105978703704,232.418408427855,230.729617825882,234.107199029828,223.15232170916,241.68449514655,3.85776169685658,19.2965147319899
