"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"467","Aldosterone",359.1858,187.7,0.0014,333.243,183.95922812232,176.105018330057,191.813437914582,163.88404613625,204.034410108389,7.23832946790877,10.5725501081562
"485","B-Cortol",367.2484,202,0.0036,336.818294736842,185.608855332487,178.36253647972,192.855174185254,165.763617686419,205.454092978555,7.23832946790877,10.5725501081562
"511","Corticosterone",345.2043,186.8,0.0014,340.393589473684,187.255622882324,180.592385111077,193.918860653571,167.615789433206,206.895456331443,7.23832946790877,10.5725501081562
"512","Cortisol",361.2043,192.1,0.0018,343.968884210526,188.899565688702,182.78795434802,195.011177029384,169.439963598924,208.35916777848,7.23832946790877,10.5725501081562
"514","Cortisone",359.184,191.4,3e-04,347.544178947368,190.540717883927,184.94046928104,196.140966486813,171.235612219179,209.845823548674,7.23832946790877,10.5725501081562
"1272","2,1-Hydroxypregnenolone",333.243,189.3,0.0087,351.119473684211,192.179112841252,187.038462087222,197.319763595282,173.002288013146,211.355937669358,7.23832946790877,10.5725501081562
"1355","Aldosterone",361.2015,194.8,0.0038,354.694768421053,193.814783199312,189.067469786713,198.56209661191,174.739634315217,212.889932083406,7.23832946790877,10.5725501081562
"1438","Cortexolone",347.2205,187.8,9e-04,358.270063157895,195.447760885527,191.010460516813,199.885061254242,176.44739365552,214.448128115535,7.23832946790877,10.5725501081562
"1439","Corticosterone",347.2208,187,0.0023,361.845357894737,197.078077138543,192.849709050951,201.306445226135,178.125414607988,216.030739669098,7.23832946790877,10.5725501081562
"1440","Cortisol",363.2164,188.9,0.0022,365.420652631579,198.705762529739,194.570509792269,202.841015267209,179.77365658466,217.637868474818,7.23832946790877,10.5725501081562
"1442","Cortisone",361.2008,188.4,0.0016,368.995947368421,200.330846983868,196.165715609365,204.49597835837,181.392192341053,219.269501626682,7.23832946790877,10.5725501081562
"2137","Corticosterone",385.1789,209,0.006,372.571242105263,201.953359798863,197.638476121291,206.268243476435,182.98120806365,220.925511534075,7.23832946790877,10.5725501081562
"2138","Cortisol",401.1736,213.2,0.0029,376.146536842105,203.57332966485,199.001107774169,208.145551555532,184.541001028276,222.605658301425,7.23832946790877,10.5725501081562
"2291","2,1-Hydroxypregnenolone",355.2249,209.3,0.0088,379.721831578947,205.190784682413,200.270971092206,210.110598272621,186.071974937156,224.30959442767,7.23832946790877,10.5725501081562
"2355","Aldosterone",383.1834,202.8,0.0024,383.29712631579,206.805752380139,201.46612444951,212.145380310768,187.574633152427,226.036871607852,7.23832946790877,10.5725501081562
"2381","B-Cortol",391.246,203.3,0.002,386.872421052632,208.418259731486,202.602607029442,214.233912433529,189.04957013555,227.786949327422,7.23832946790877,10.5725501081562
"2417","Cortexolone",369.2023,211.4,0.0041,390.447715789474,210.028333170999,203.693459128409,216.36320721359,190.497461468783,229.559204873215,7.23832946790877,10.5725501081562
"2418","Corticosterone",369.2026,212.2,0.0042,394.023010526316,211.635998609914,204.748790983484,218.523206236344,191.919052872745,231.352944347084,7.23832946790877,10.5725501081562
"2419","Cortisol",385.199,211.6,0.0069,397.598305263158,213.241281451166,205.776266489394,220.706296412938,193.315148642906,233.167414259426,7.23832946790877,10.5725501081562
"2421","Cortisone",383.1809,213.5,0.0039,401.1736,214.844206603838,206.78165196483,222.906761242845,194.686599910087,235.001813297588,7.23832946790877,10.5725501081562
