"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"26","(S)-Ursodeoxycholic Acid",391.2854,200.5,0.0035,127.0501,124.38148649892,118.749036754562,130.013936243277,109.122529174638,139.640443823201,5.13117008976338,25.9601486548482
"27","(S)-Ursodeoxycholic Acid",415.2815,199.2,0.0048,153.252954545455,131.051066907076,126.03727524374,136.064858570412,116.009478050015,146.092655764137,5.13117008976338,25.9601486548482
"370","4-Imidazoleacetate",127.0501,124,0.0014,179.455809090909,138.072784886663,133.57237533598,142.573194437346,123.194445778234,152.951123995092,5.13117008976338,25.9601486548482
"576","Allantoin",157.0373,126.7,0.0099,205.658663636364,145.370121292543,141.198146518637,149.54209606645,130.587812203107,160.15243038198,5.13117008976338,25.9601486548482
"577","Allantoin",181.0325,143.3,0.0097,231.861518181818,152.852543260726,148.748563133506,156.956523387947,138.089280024363,167.615806497089,5.13117008976338,25.9601486548482
"1077","D-Desthiobin",213.1239,154.7,0.0168,258.064372727273,160.419646929376,156.095111497192,164.74418236156,145.593558598136,175.245735260616,5.13117008976338,25.9601486548482
"1078","D-Desthiobin",215.1386,144.5,0.0035,284.267227272727,167.966388966981,163.171869460092,172.76090847387,152.996462253618,182.936315680344,5.13117008976338,25.9601486548482
"1079","D-Desthiobin",235.1058,148.9,0.001,310.470081818182,175.388848658785,169.950874077847,180.826823239724,160.200601358835,190.577095958736,5.13117008976338,25.9601486548482
"1080","D-Desthiobin",237.1215,156.5,0.0103,336.672936363636,182.589860534697,176.408886189454,188.77083487994,167.120027556992,198.059693512401,5.13117008976338,25.9601486548482
"1081","D-Desthiobin",253.0943,156.1,0.0039,362.875790909091,189.483882611241,182.516740924844,196.451024297638,173.683491736966,205.284273485515,5.13117008976338,25.9601486548482
"3216","Urocanate",137.0351,121.3,0.0068,389.078645454545,196.00061002688,188.243336141525,203.757883912235,179.836248405278,212.164971648483,5.13117008976338,25.9601486548482
"3217","Urocanate",139.0493,134.8,0.0027,415.2815,202.087067555568,193.561994494415,210.612140616722,185.540522321003,218.633612790134,5.13117008976338,25.9601486548482
