"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1999","INDOLE-3-ACETAMIDE",173.0741,135.5,0.001,158.0606,131.86757102502,130.765393148171,132.969748901868,129.103795410307,134.631346639732,0.898298674683712,11.1953035607875
"2000","INDOLE-3-ACETAMIDE",175.0862,137,0.001,169.36295,134.669721815633,133.705171499278,135.634272131987,131.957892748556,137.38155088271,0.898298674683712,11.1953035607875
"2001","INDOLE-3-ACETAMIDE",197.0692,143.4,0.001,180.6653,138.193841876351,137.361513340531,139.02617041217,135.526178035496,140.861505717206,0.898298674683712,11.1953035607875
"2010","INDOLE-3-ETHANOL",160.0785,132.6,0.004,191.96765,142.198616734531,141.433596618021,142.963636851042,139.551181115875,144.846052353188,0.898298674683712,11.1953035607875
"2011","INDOLE-3-ETHANOL",162.0912,133.6,0,203.27,146.257437448663,145.449567933379,147.065306963948,143.597303480234,148.917571417093,0.898298674683712,11.1953035607875
"2016","INDOLEACETALDEHYDE",160.075,132.34,9e-04,214.57235,149.920822868914,148.990271452963,150.851374284865,147.220899626673,152.620746111155,0.898298674683712,11.1953035607875
"2017","INDOLEACETALDEHYDE",158.0606,130.72,8e-04,225.8747,152.897159036699,151.826789395107,153.96752867829,150.145913728496,155.648404344901,0.898298674683712,11.1953035607875
"2327","MELATONIN",233.1286,153.2,0.001,237.17705,155.11539398452,153.925314275462,156.305473693578,152.31540303986,157.91538492918,0.898298674683712,11.1953035607875
"2328","MELATONIN",231.1144,155.7,0.001,248.4794,156.664573256364,155.385229033126,157.943917479602,153.825492204721,159.503654308007,0.898298674683712,11.1953035607875
"2329","MELATONIN",255.1102,157.2,0.001,259.78175,157.698019365651,156.35706728551,159.038971445792,154.830649131883,160.56538959942,0.898298674683712,11.1953035607875
"2330","MELATONIN",271.0841,158.3,0,271.0841,158.366505982386,156.984947044245,159.748064920527,155.479922417716,161.253089547056,0.898298674683712,11.1953035607875
