"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"317","13-HODE",295.2273,182.5,0.0052,277.2164,173.606764318939,168.864504037719,178.349024600159,160.973741270633,186.239787367245,4.56153216155708,7.21338100318263
"318","13-OxoODE",293.2117,179.8,0.0013,279.550205555556,174.557410023926,170.213558288742,178.901261759111,162.06848346231,187.046336585543,4.56153216155708,7.21338100318263
"449","9-HODE",295.2273,180,9e-04,281.884011111111,175.505293011782,171.53712587739,179.473460146174,163.142017184937,187.868568838627,4.56153216155708,7.21338100318263
"450","9-OxoODE",293.2117,180,3e-04,284.217816666667,176.45044408601,172.828757704653,180.072130467366,164.193982483692,188.706905688328,4.56153216155708,7.21338100318263
"472","alpha-Linolenic acid (PC18:3)",277.2167,173.9,6e-04,286.551622222222,177.392893456891,174.079951870392,180.705835043391,165.224088227135,189.561698686648,4.56153216155708,7.21338100318263
"608","gamma-Linolenate",277.2164,174.5,0.0032,288.885427777778,178.332670757644,175.279953525911,181.385387989376,166.23212030483,190.433221210458,4.56153216155708,7.21338100318263
"731","Linoleic Acid (18:2)",279.2332,174.6,0.0017,291.219233333333,179.269805060009,176.416209201184,182.123400918834,167.217948435833,191.321661684185,4.56153216155708,7.21338100318263
"732","Linoleic Acid (18:2)",279.233,175.4,0.0019,293.553038888889,180.2043248893,177.476078466565,182.932571312035,168.181531232776,192.227118545824,4.56153216155708,7.21338100318263
"733","Linolenic Acid",277.2173,174.6,0.002,295.886844444444,181.136258238931,178.449982916784,183.822533561078,169.12291924136,193.149597236502,4.56153216155708,7.21338100318263
"753","Methyl Linoleate",293.248,182.6,0.001,298.22065,182.065632584442,179.334817487254,184.796447681631,170.042255776772,194.089009392113,4.56153216155708,7.21338100318263
"1258","13-OxoODE",295.2273,178,0.003,300.554455555556,182.992474897059,180.135321761803,185.849628032316,170.939775498066,195.045174296053,4.56153216155708,7.21338100318263
"1327","9-OxoODE",295.2273,183.4,3e-04,302.888261111111,183.916811656784,180.862269907977,186.971353405591,171.815800787464,196.017822526104,4.56153216155708,7.21338100318263
"1729","Methyl Linoleate",295.2637,186,0.0019,305.222066666667,184.838668865055,181.528933454527,188.148404275582,172.670736121491,197.006601608618,4.56153216155708,7.21338100318263
"2271","13-HODE",319.2249,190.6,0.0041,307.555872222222,185.758072056983,182.148079261388,189.368064852578,173.505060723093,198.011083390873,4.56153216155708,7.21338100318263
"2272","13-OxoODE",317.2093,192.1,0.0053,309.889677777778,186.675046313188,182.730463010511,190.619629615865,174.319319859598,199.030772766779,4.56153216155708,7.21338100318263
"2334","9-HODE",319.2249,187.9,0.0019,312.223483333333,187.589616271245,183.284516001319,191.89471654117,175.114115195204,200.065117347286,4.56153216155708,7.21338100318263
"2335","9-OxoODE",317.2093,198.2,0.009,314.557288888889,188.501806136755,183.816613646009,193.186998627502,175.890094617713,201.113517655797,4.56153216155708,7.21338100318263
"2362","alpha-Linolenic acid (PC18:3)",301.2143,170.9,0.0028,316.891094444444,189.411639694073,184.331507649939,194.491771738207,176.647941940286,202.17533744786,4.56153216155708,7.21338100318263
"2640","Linoleic Acid (18:2)",303.2282,176.3,0.0056,319.2249,190.319140316674,184.832733108871,195.805547524478,177.388366835787,203.249913797562,4.56153216155708,7.21338100318263
