"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"366","4,6-Dioxoheptanoic Acid",157.0501,131,0.0016,157.0501,127.781922102075,118.678206165444,136.885638038707,109.470329862803,146.093514341348,5.99487068621591,21.1183896391837
"367","4,6-Dioxoheptanoic Acid",181.0477,138.6,0.006,174.054428571429,134.439704918846,126.334320542988,142.545089294704,116.603393014113,152.276016823579,5.99487068621591,21.1183896391837
"371","5-7-dihydroxy-3-4-5-trimethoxyflavone",343.0818,191,0.0055,191.058757142857,140.775778729794,133.582318772016,147.969238687571,123.334946391667,158.216611067921,5.99487068621591,21.1183896391837
"404","5,7-Dihydroxy-3,4,5-trimethoxyflavone",345.0974,184.4,0.0019,208.063085714286,146.832420170096,140.460865366064,153.203974974127,129.714199552774,163.950640787417,5.99487068621591,21.1183896391837
"405","5,7-Dihydroxy-3,4,5-trimethoxyflavone",367.0794,208.7,0.0019,225.067414285714,152.643396187871,146.994580327384,158.292212048358,135.780837452371,169.505954923371,5.99487068621591,21.1183896391837
"463","Acacetin",283.0606,172.3,0.0041,242.071742857143,158.236183795884,153.195743687179,163.276623904589,141.567566487543,174.904801104226,5.99487068621591,21.1183896391837
"464","Acacetin",285.0763,166,0.0079,259.076071428571,163.633496769807,159.066380878647,168.200612660966,147.101850933841,180.165142605772,5.99487068621591,21.1183896391837
"1513","Hesperetin",301.0712,177.9,7e-04,276.0804,168.854366695506,164.602902342712,173.105831048299,152.40712633046,185.301607060551,5.99487068621591,21.1183896391837
"1514","Hesperetin",303.0869,175.4,0.0047,293.084728571429,173.914927720528,169.804842386062,178.025013054994,157.503664273154,190.326191167901,5.99487068621591,21.1183896391837
"1515","Hesperetin",325.0688,183.3,0.0042,310.089057142857,178.828998590059,174.684961676198,182.97303550392,162.409199309131,195.248797870987,5.99487068621591,21.1183896391837
"1890","Malvidin",331.0818,177.4,0.0018,327.093385714286,183.608522506468,179.273140492846,187.943904520091,167.139390662727,200.07765435021,5.99487068621591,21.1183896391837
"2402","Pinostrobin",269.0814,168.2,0.0098,344.097714285714,188.263905080965,183.610340150157,192.917470011772,171.708167916835,204.819642245095,5.99487068621591,21.1183896391837
"2403","Pinostrobin",271.097,163.2,0.0027,361.102042857143,192.804277824767,187.738543998144,197.870011651391,176.127994495299,209.480561154236,5.99487068621591,21.1183896391837
"2966","Tangeritin",373.1287,186.7,0.0028,378.106371428571,197.237706297117,191.69401698461,202.781395609625,180.410072545573,214.065340048662,5.99487068621591,21.1183896391837
"2967","Tangeritin",395.1107,206.8,0.0035,395.1107,201.571356484772,195.50536892641,207.637344043133,184.564505760999,218.578207208545,5.99487068621591,21.1183896391837
