"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"2149","1H,1H,2H,2H-Perfluoro-dodecanesulfonic acid",1254.9187,288.7,0.000382,124.0085,125.199118276937,118.973318659103,131.424917894771,102.417973712912,147.980262840961,8.66856056565767,42.1356878486182
"2150","1H,1H,2H,2H-Perfluoro-dodecanesulfonic acid",626.956,204.2,0.000215,177.861366666667,130.12846736646,124.147816133466,136.109118599454,107.413094687671,152.843840045249,8.66856056565767,42.1356878486182
"2151","Taurine",124.0085,118.5,0.0032,231.714233333333,135.726260204395,130.005897070464,141.446623338326,113.078025810747,158.374494598042,8.66856056565767,42.1356878486182
"2152","Taurine",126.0219,127.9,0.0064,285.5671,142.022069024487,136.568161125965,147.47597692301,119.439662639624,164.604475409351,8.66856056565767,42.1356878486182
"2153","Taurine",126.0219,134.3,0.0044,339.419966666667,149.026514239507,143.831336717769,154.221691761246,126.505194645666,171.547833833349,8.66856056565767,42.1356878486182
"2154","NVHOS",296.9474,132.9,0.0036,393.272833333333,156.725902476281,151.762179422926,161.689625529637,134.256845679967,179.194959272595,8.66856056565767,42.1356878486182
"2155","10:2 FTS",626.9543,203.6,0.0033,447.1257,165.077749546555,160.293403820464,169.862095272647,142.647637402557,187.507861690554,8.66856056565767,42.1356878486182
"2156","6:2 chlorinated polyfluorinated ether sulfonate",530.8975,171,6.7e-05,500.978566666667,174.008097635921,169.323700651834,178.692494620008,151.599091815268,196.417103456575,8.66856056565767,42.1356878486182
"2157","8:2 Fluorotelomer sulfonic acid",1054.931,263.4,0.000817,554.831433333333,183.411495898241,178.723379996733,188.099611799748,161.001712376941,205.821279419541,8.66856056565767,42.1356878486182
"2158","8:2 Fluorotelomer sulfonic acid",526.9634,186.4,0.000338,608.6843,193.154242710949,188.344825766741,197.963659655156,170.718769502015,215.589715919883,8.66856056565767,42.1356878486182
"2159","4:2 FTS",326.9749,150.4,0.0011,662.537166666667,203.080989039283,198.033968918795,208.128009159771,180.593384034255,225.568594044312,8.66856056565767,42.1356878486182
"2160","8:2 FTS",526.9623,185.8,0.0015,716.390033333333,213.02416663736,207.638986236799,218.409347037921,190.45826016959,235.59007310513,8.66856056565767,42.1356878486182
"2161","6:2 FTS",426.9674,168.1,8e-04,770.2429,222.815099617766,217.01597773063,228.614221504903,200.146844690943,245.483354544589,8.66856056565767,42.1356878486182
"2162","Nafion Byproduct 1",442.9272,156.2,0.0037,824.095766666667,232.295271667691,226.03384399169,238.556699343693,209.504364636435,255.086178698947,8.66856056565767,42.1356878486182
"2163","N_AP_FHxSA",483.0428,182.8,0.0015,877.948633333333,241.326184595022,234.57955479062,248.072814399424,218.397229527614,264.25513966243,8.66856056565767,42.1356878486182
"2164","N_AP_FHxSA",483.0428,182.7,0.0017,931.8015,249.79656969504,242.563059701495,257.030079688585,226.719662762085,272.873476627995,8.66856056565767,42.1356878486182
"2165","9Cl_PF3ONS",530.8964,170.2,0.0016,985.654366666667,257.626290338407,249.920512753984,265.332067922829,234.397020549062,280.855560127751,8.66856056565767,42.1356878486182
"2166","Nafion Byproduct 2",462.9326,155.2,0.0014,1039.50723333333,264.766918722545,256.615052492148,272.918784952942,241.385881752302,288.147955692788,8.66856056565767,42.1356878486182
"2167","11C1_PF3OUdS",630.8924,186.5,0.0026,1093.3601,271.199504894847,262.635175039247,279.763834750447,247.671485160048,294.727524629646,8.66856056565767,42.1356878486182
"2168","Nafion Byproduct 4",440.9319,151.3,0.0018,1147.21296666667,276.930373892988,267.991277266665,285.869470519311,253.263362774972,300.597385011004,8.66856056565767,42.1356878486182
"2169","Sodium 1H,1H,2H,2H-perfluorooctane sulfonate",854.945,236.2,0.000442,1201.06583333333,281.985868294887,272.71115393715,291.260582652623,258.190064186112,305.781672403661,8.66856056565767,42.1356878486182
"2170","Sodium 1H,1H,2H,2H-perfluorooctane sulfonate",426.9679,168.5,0.000376,1254.9187,286.406849255866,276.835192308495,295.978506203236,262.493744407609,310.319954104122,8.66856056565767,42.1356878486182
