"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"2038","2-Ethylhexyl diphenyl phosphate",725.3399,269,0.000651,140.0126,120.106513408475,114.794608628727,125.418418188222,84.1528881472089,156.06013866974,15.0607222639521,43.6203220752953
"2039","O-Phosphoethanolamine",140.0126,123.4,0.005,149.492553636364,123.835572111924,118.664734362317,129.00640986153,87.902517690247,159.7686265336,15.0607222639521,43.6203220752953
"2040","2-Ethylhexyl diphenyl phosphate",747.3211,278.6,0.000262,158.972507272727,127.440524272466,122.40339613784,132.477652407093,91.5264671794134,163.354581365519,15.0607222639521,43.6203220752953
"2041","2-Ethylhexyl diphenyl phosphate",385.1554,202.7,0.000199,168.452460909091,130.932552423684,126.022245513406,135.842859333962,95.0360630272051,166.829041820164,15.0607222639521,43.6203220752953
"2042","3-Hydroxyphenyl diphenyl phosphate",685.1419,246.6,0.000867,177.932414545455,134.32126616908,129.531286086029,139.111246252131,98.4410383794682,170.201493958692,15.0607222639521,43.6203220752953
"2043","3-Hydroxyphenyl diphenyl phosphate",707.1228,252.8,0.000334,187.412368181818,137.614994631695,132.939179940498,142.290809322892,101.749829358622,173.480159904768,15.0607222639521,43.6203220752953
"2044","3-Hydroxyphenyl diphenyl phosphate",343.0744,180.4,6.8e-05,196.892321818182,140.8210126078,136.253484729078,145.388540486523,104.969804148931,176.67222106667,15.0607222639521,43.6203220752953
"2045","3-Hydroxyphenyl diphenyl phosphate",365.0564,189.1,0.000371,206.372275454545,143.945717899803,139.480839679731,148.410596119875,108.107442626591,179.783993173015,15.0607222639521,43.6203220752953
"2046","3-Hydroxyphenyl diphenyl phosphate",341.0594,180.4,0.000547,215.852229090909,146.994772110703,142.627113393256,151.36243082815,111.168478976881,182.821065244524,15.0607222639521,43.6203220752953
"2047","3-Hydroxyphenyl diphenyl phosphate",683.1252,242,0.000192,225.332182727273,149.973213691884,145.697522634294,154.248904749474,114.158016204527,185.788411179241,15.0607222639521,43.6203220752953
"2048","4-Hydroxyphenyl diphenyl phosphate",685.1391,249,0.000323,234.812136363636,152.885549641837,148.696728813369,157.074370470306,117.080619018089,188.690480265586,15.0607222639521,43.6203220752953
"2049","4-Hydroxyphenyl diphenyl phosphate",707.1205,254.8,0.000122,244.29209,155.735830581065,151.628917104798,159.842744057331,119.94038987502,191.53127128711,15.0607222639521,43.6203220752953
"2050","4-Hydroxyphenyl diphenyl phosphate",343.0743,178.1,7.3e-05,253.772043636364,158.527712740832,154.497861900345,162.557563581319,122.741031771021,194.314393710642,15.0607222639521,43.6203220752953
"2051","4-Hydroxyphenyl diphenyl phosphate",365.0549,188.5,0.000196,263.251997272727,161.26450954732,157.306981400361,165.22203769428,125.485900490058,197.043118604583,15.0607222639521,43.6203220752953
"2052","4-Hydroxyphenyl diphenyl phosphate",341.0593,181.9,0.000374,272.731950909091,163.949234857003,160.05938348718,167.839086226826,128.178048397539,199.720421316467,15.0607222639521,43.6203220752953
"2053","4-Hydroxyphenyl diphenyl phosphate",683.1265,251.3,0.000847,282.211904545455,166.584639435917,162.757904538688,170.411374333146,130.820261389988,202.349017481845,15.0607222639521,43.6203220752953
"2054","4-Hydroxyphenyl phenyl phosphate",267.0421,162.4,0.000101,291.691858181818,169.173241928676,165.405142475089,172.941341382264,133.415090263209,204.931393594143,15.0607222639521,43.6203220752953
"2055","4-Hydroxyphenyl phenyl phosphate",289.0238,169,0.000705,301.171811818182,171.717355300539,168.003485055374,175.431225545705,135.964877494989,207.469833106089,15.0607222639521,43.6203220752953
"2056","4-Hydroxyphenyl phenyl phosphate",265.0273,157.6,0.000387,310.651765454545,174.219109535081,170.555134228525,177.883084841638,138.471780235041,209.966438835121,15.0607222639521,43.6203220752953
"2057","5-Hydroxy-2-ethylhexyl diphenyl phosphate",779.3105,268.4,0.000309,320.131719090909,176.680471215153,173.062127181499,180.298815248806,140.937790137983,212.423152292323,15.0607222639521,43.6203220752953
"2058","5-Hydroxy-2-ethylhexyl diphenyl phosphate",379.1682,186.7,0.00029,329.611672727273,179.103260494186,175.526354599481,182.680166388891,143.364750552975,214.841770435396,15.0607222639521,43.6203220752953
"2059","5-Hydroxy-2-ethylhexyl diphenyl phosphate",401.1503,195,0.000266,339.091626363636,181.48916587029,177.949576555207,185.028755185373,145.754371487814,217.223960252767,15.0607222639521,43.6203220752953
"2060","Antiblaze V6",1182.8075,304.7,0.000579,348.57158,183.839757100745,180.33343636693,187.34607783456,148.108242689419,219.571271512071,15.0607222639521,43.6203220752953
"2061","Antiblaze V6",580.9166,211.4,0.000256,358.051533636364,186.156496534892,182.679472704,189.633520365784,150.427845122349,221.885147947435,15.0607222639521,43.6203220752953
"2062","Antiblaze V6",602.8987,216.6,0.000358,367.531487272727,188.440749095654,184.98913017154,191.892368019768,152.714561078518,224.16693711279,15.0607222639521,43.6203220752953
"2063","Bis(1,3-dichloro-2-propyl) phosphate",634.8232,220.1,0.000403,377.011440909091,190.693791101333,187.26376856837,194.123813634295,154.969683112258,226.417899090407,15.0607222639521,43.6203220752953
"2064","Bis(1,3-dichloro-2-propyl) phosphate",318.9227,178.7,0.000229,386.491394545455,192.916818088072,189.504670983136,196.328965193008,157.194421963174,228.639214212971,15.0607222639521,43.6203220752953
