"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"31","Hexakis(1H,1H,4H-hexafluorobutyloxy)phosphazene",1333.9684,285.4,8e-04,601.9784,192.61659598635,189.392044261327,195.841147711372,179.96108053322,205.272111439479,5.12017252416213,65.4593703133413
"32","Hexakis(1H,1H,5H-octafluoropentoxy) phosphazene",1633.9492,320.3,8e-04,638.566829508197,198.765415742822,195.657444280498,201.873387205146,186.139100992759,211.391730492886,5.12017252416213,65.4593703133413
"33","Hexakis(1H,1H,6H-decafluorohexyloxy)phosphazene",1933.9301,353.1,8e-04,675.155259016393,204.751627965225,201.755769190127,207.747486740324,192.152441191572,217.350814738878,5.12017252416213,65.4593703133413
"34","Hexakis(1H,1H,7H-perfluoroheptoxy)phosphazene",2233.9109,381.3,8e-04,711.74368852459,210.588014203876,207.699993638058,213.476034769694,198.014033118092,223.16199528966,5.12017252416213,65.4593703133413
"35","Hexakis(1H,1H,8H-tetradecafluoroctyoxy)phosphazene",2533.8918,413.6,7e-04,748.332118032787,216.285752044894,213.50144665671,219.070057433077,203.735186557565,228.836317532222,5.12017252416213,65.4593703133413
"36","Hexakis(1H,1H,9H-perfluorononyloxy) phosphazene",2833.8726,433.3,8e-04,784.920547540984,221.854684358925,219.170086062345,224.539282655504,209.325861366678,234.383507351171,5.12017252416213,65.4593703133413
"37","Hexakis(2,2,3,3-tetrafluoropropoxy)phosphazene",1033.9876,255.5,8e-04,821.50897704918,227.303532991616,224.71471611714,229.892349866093,214.794883569451,239.812182413781,5.12017252416213,65.4593703133413
"1081","Hexakis(2,2-difluoroethoxy)phosphazene",601.9784,180.9,7e-04,858.097406557377,232.640070310093,230.143162177556,235.136978442629,220.150118837834,245.130021782352,5.12017252416213,65.4593703133413
"1592","Hexakis(1H,1H,4H-hexafluorobutyloxy)phosphazene",1221.9912,281.8,0.001,894.685836065574,237.871258349695,235.462412312728,240.280104386663,225.398613209755,250.343903489635,5.12017252416213,65.4593703133413
"1593","Hexakis(1H,1H,4H-hexafluorobutyloxy)phosphazene",1221.9912,283.1,0.0045,931.27426557377,243.003362747775,240.67873327476,245.32799222079,230.546708311536,255.460017184014,5.12017252416213,65.4593703133413
"1594","Hexakis(1H,1H,5H-octafluoropentoxy) phosphazene",1521.972,316.5,0.001,967.862695081967,248.042046838766,245.797766363495,250.286327314037,235.600136518854,260.483957158678,5.12017252416213,65.4593703133413
"1595","Hexakis(1H,1H,5H-octafluoropentoxy) phosphazene",1521.972,318.9,0.0059,1004.45112459016,252.992449980334,250.824607409216,255.160292551453,240.564100171522,265.420799789147,5.12017252416213,65.4593703133413
"1596","Hexakis(1H,1H,6H-decafluorohexyloxy)phosphazene",1821.9529,351.2,0.0018,1041.03955409836,257.859253228357,255.763874138076,259.954632318638,245.443337994713,270.275168462001,5.12017252416213,65.4593703133413
"1597","Hexakis(1H,1H,6H-decafluorohexyloxy)phosphazene",1821.9529,352.2,0.0058,1077.62798360656,262.646734774643,260.619763478822,264.673706070464,250.242181167554,275.051288381732,5.12017252416213,65.4593703133413
"1598","Hexakis(1H,1H,7H-perfluoroheptoxy)phosphazene",2121.9337,383,0.0017,1114.21641311475,267.358817034788,265.396100840934,269.321533228643,254.96460094765,279.753033121926,5.12017252416213,65.4593703133413
"1599","Hexakis(1H,1H,7H-perfluoroheptoxy)phosphazene",2121.9337,382.7,0.0042,1150.80484262295,271.999106875309,270.096382990325,273.901830760293,259.614249357374,284.383964393243,5.12017252416213,65.4593703133413
"1600","Hexakis(1H,1H,8H-tetradecafluoroctyoxy)phosphazene",2421.9145,412.9,0.0014,1187.39327213115,276.570930164927,274.723815829929,278.418044499925,264.194494130122,288.947366199732,5.12017252416213,65.4593703133413
"1601","Hexakis(1H,1H,8H-tetradecafluoroctyoxy)phosphazene",2421.9145,411.2,0.005,1223.98170163934,281.077361600214,279.281348129418,282.87337507101,268.708448877411,293.446274323018,5.12017252416213,65.4593703133413
"1602","Hexakis(1H,1H,9H-perfluorononyloxy) phosphazene",2721.8954,441.2,0.0013,1260.57013114754,285.52125057319,283.771702018513,287.270799127866,273.158999253053,297.883501893326,5.12017252416213,65.4593703133413
"1603","Hexakis(1H,1H,9H-perfluorononyloxy) phosphazene",2721.8954,439.8,0.0052,1297.15856065574,289.905243705227,288.19740084633,291.613086564123,277.548825745812,302.261661664641,5.12017252416213,65.4593703133413
"1604","Hexakis(2,2-difluoroethoxy)phosphazene",622.0295,203,0.0036,1333.74699016393,294.231804558377,292.560794806088,295.902814310666,281.880423617393,306.583185499361,5.12017252416213,65.4593703133413
"1605","Hexakis(2,2-difluoroethoxy)phosphazene",622.0295,202.8,0.0012,1370.33541967213,298.503230945045,296.864084529539,300.14237736055,286.156120411461,310.850341478628,5.12017252416213,65.4593703133413
"1606","Hexakis(2,2,3,3-tetrafluoropropoxy)phosphazene",922.0103,243.5,0.0011,1406.92384918033,302.721670184656,301.109342676157,304.333997693155,290.37809138628,315.065248983032,5.12017252416213,65.4593703133413
"1607","Hexakis(2,2,3,3-tetrafluoropropoxy)phosphazene",922.0103,243.9,0.0038,1443.51227868852,306.88913259764,305.298533393491,308.479731801788,294.548373164554,319.229892030725,5.12017252416213,65.4593703133413
"2019","UltraMark 1021",1022.004,257.2,0.0054,1480.10070819672,311.007503479696,309.433529426383,312.581477533009,298.668875846221,323.346131113171,5.12017252416213,65.4593703133413
"2020","UltraMark 1121",1121.9976,270.7,0.0042,1516.68913770492,315.078553760685,313.516126621635,316.640980899736,302.741393790826,327.415713730545,5.12017252416213,65.4593703133413
"2021","UltraMark 1321",1321.9848,296.4,0.0038,1553.27756721311,319.103949520737,317.548055620388,320.659843421085,306.767615244048,331.440283797425,5.12017252416213,65.4593703133413
