"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1146","d9-SM (18:1)",738.6453,287.8,0.0012,703.5754,282.216667061865,280.480902886211,283.95243123752,274.524381303713,289.908952820017,3.14655864270624,8.26875114348213
"1147","d9-SM (18:1)",760.6267,288.8,2e-04,705.891662857143,282.333718817608,280.607715326542,284.059722308675,274.643629678804,290.023807956412,3.14655864270624,8.26875114348213
"1148","d9-SM (18:1)",782.6393,290.2,9e-04,708.207925714286,282.45909462689,280.743523848356,284.174665405423,274.771340337909,290.14684891587,3.14655864270624,8.26875114348213
"1149","d9-SM (18:1)",796.6521,293.1,0.001,710.524188571429,282.593294381522,280.888864779472,284.297723983573,274.908018642817,290.278570120227,3.14655864270624,8.26875114348213
"1150","d9-SM (18:1)",772.6111,288.2,9e-04,712.840451428571,282.736833705031,281.044290545778,284.429376864285,275.054185381861,290.419482028202,3.14655864270624,8.26875114348213
"2833","SM 34:01",703.5754,281.2,0.0056,715.156714285714,282.890242087696,281.210367500956,284.570116674436,275.210374801163,290.570109374229,3.14655864270624,8.26875114348213
"2834","SM 34:01",725.5573,279.9,0.0056,717.472977142857,283.054060561815,281.387673236822,284.720447886808,275.377132163785,290.730988959845,3.14655864270624,8.26875114348213
"2835","SM 34:01",737.5404,284.3,0.0027,719.78924,283.228838870703,281.576793321332,284.880884420074,275.555010790222,290.902666951184,3.14655864270624,8.26875114348213
"2836","SM 34:01",747.5688,284.7,0.0022,722.105502857143,283.415132086556,281.778317412836,285.051946760276,275.744568535702,291.08569563741,3.14655864270624,8.26875114348213
"2837","SM 35:01",739.573,281.7,0.0056,724.421765714286,283.613496635658,281.99283470256,285.234158568756,275.946363663486,291.28062960783,3.14655864270624,8.26875114348213
"2838","SM 36:01",731.6067,288.4,3e-04,726.738028571429,283.824485694841,282.220928642994,285.428042746687,276.160950079336,291.488021310345,3.14655864270624,8.26875114348213
"2839","SM 36:01",735.578,290.3,0.0014,729.054291428571,284.048643930934,282.463170928141,285.634116933727,276.388871900765,291.708415961104,3.14655864270624,8.26875114348213
"2840","SM 36:01",753.5886,284.1,0.02,731.370554285714,284.286501565559,282.720114702987,285.85288842813,276.630657345956,291.942345785161,3.14655864270624,8.26875114348213
"2841","SM 36:01",769.5626,288.3,0.0118,733.686817142857,284.538567761208,282.992286994193,286.084848528223,276.886811941658,292.190323580758,3.14655864270624,8.26875114348213
"2842","SM 36:01",775.6009,288.7,0.0031,736.00308,284.805323341462,283.28018037239,286.330466310534,277.157811067023,292.452835615901,3.14655864270624,8.26875114348213
"2843","SM 36:01",765.5717,288.7,0.0031,738.319342857143,285.087212878382,283.584243878572,286.590181878192,277.444091871491,292.730333885272,3.14655864270624,8.26875114348213
