"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3657","Pregnenolone",317.248,176.1,0.0078,315.2324,186.87825126512,173.979769370524,199.776733159716,152.153736626295,221.602765903945,12.0253928124998,13.4770154357315
"3658","Pregnenolone",339.23,214.8,0.0047,325.0749,188.679155048617,177.309290278021,200.049019819214,154.492974995584,222.865335101651,12.0253928124998,13.4770154357315
"3659","17alpha-Hydroxypregnenolone",333.243,189.2,0.0046,334.9174,190.442921279134,180.335735065217,200.55010749305,156.655700397866,224.230142160401,12.0253928124998,13.4770154357315
"3660","17alpha-Hydroxypregnenolone",355.2249,209.2,0.0072,344.7599,192.171374321784,182.983067725351,201.359680918216,158.647560997121,225.695187646446,12.0253928124998,13.4770154357315
"3661","Cortisol-21-acetate",403.2149,196.5,0.002,354.6024,193.86619985304,185.174721296763,202.557678409317,160.475139953555,227.257259752525,12.0253928124998,13.4770154357315
"3662","Cortisol-21-acetate",405.2286,198.7,0.0017,364.4449,195.528958929406,186.868250575254,204.189667283559,162.145895095893,228.91202276292,12.0253928124998,13.4770154357315
"3663","Cortisol-21-acetate",443.1849,207,0.0025,374.2874,197.161100290418,188.085618189607,206.236582391228,163.66803448451,230.654166096326,12.0253928124998,13.4770154357315
"3664","Cortisol-21-acetate",427.2089,202.9,0.0016,384.1299,198.76397115784,188.905596153241,208.622346162439,165.050344247523,232.477598068157,12.0253928124998,13.4770154357315
"3665","Deoxycorticosterone Acetate",373.2357,197.1,0.0026,393.9724,200.338826748444,189.426207930825,211.251445566064,166.301988893329,234.37566460356,12.0253928124998,13.4770154357315
"3666","Progesterone",315.2324,185.5,0.0046,403.8149,201.88683868168,189.733903435976,214.039773927384,167.432304628772,236.341372734588,12.0253928124998,13.4770154357315
"3667","Progesterone",337.2143,168,0.003,413.6574,203.409102434264,189.893349924685,216.924854943842,168.450603501716,238.367601366811,12.0253928124998,13.4770154357315
"3668","17-alpha-Hydroxyprogesterone",329.2117,187,0.0069,423.4999,204.906643969676,189.949499075248,219.863788864104,169.366001528808,240.447286410545,12.0253928124998,13.4770154357315
"3669","17-alpha-Hydroxyprogesterone",331.2273,186.4,0.0049,433.3424,206.380425650826,189.932848038644,222.828003263008,170.187278633393,242.573572668259,12.0253928124998,13.4770154357315
"3670","17-alpha-Hydroxyprogesterone",353.2093,208.9,0.0079,443.1849,207.831351527804,189.864101678601,225.798601377007,170.922773272059,244.739929783549,12.0253928124998,13.4770154357315
