"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"177","2-Deoxyadenosine-5-monophosphate",352.0448,170,0.0028,330.0603,168.316733780272,162.494323608609,174.139143951936,153.731149563112,182.902317997433,5.20974158805943,10.1283026524627
"181","2'-Deoxyguanosine 5'-monophosphate",368.0383,170.4,0.0012,341.055294444444,169.920073132655,164.645075394408,175.195070870903,155.544245925593,184.295900339717,5.20974158805943,10.1283026524627
"182","2'-Deoxyguanosine-5'-diphosphate",448.0036,177.4,0.0013,352.050288888889,171.487087293212,166.720140401935,176.254034184488,157.28981327976,185.684361306664,5.20974158805943,10.1283026524627
"183","2'-Deoxyguanosine-5'-diphosphate",448.0036,185.7,0.0014,363.045283333333,173.019696252517,168.714720391489,177.324672113545,158.970795088624,187.068597416409,5.20974158805943,10.1283026524627
"184","2'-Deoxyguanosine-5'-diphosphate",527.9702,182.8,0.001,374.040277777778,174.51966400072,170.621456302305,178.417871699136,160.590025455202,188.449302546238,5.20974158805943,10.1283026524627
"222","Deoxyadenosine Triphosphate",511.9722,185.7,0.0023,385.035272222222,175.988615375246,172.430301234778,179.546929515714,162.150248192987,189.826982557506,5.20974158805943,10.1283026524627
"328","2-Deoxyadenosine-5-monophosphate",330.0603,164.9,0.001,396.030266666667,177.428050663771,174.12925017709,180.726851150452,163.654129965593,191.20197136195,5.20974158805943,10.1283026524627
"352","2'-Deoxyguanosine 5'-monophosphate",346.0559,169.4,0.0074,407.025261111111,178.839358315098,175.706645403815,181.972071226381,165.104268328742,192.574448301454,5.20974158805943,10.1283026524627
"353","2'-Deoxyguanosine-5'-diphosphate",426.0233,180.8,7e-04,418.020255555556,180.223826047195,177.155130176948,183.292521917443,166.503195555383,193.944456539008,5.20974158805943,10.1283026524627
"354","2'-Deoxyguanosine-5'-diphosphate",505.9881,191.9,0.0047,429.01525,181.582650591059,178.475547815529,184.689753366588,167.853379146204,195.311922035913,5.20974158805943,10.1283026524627
"564","Deoxyadenosine Triphosphate",489.9938,186.4,0.0018,440.010244444444,182.916946268342,179.677924403624,186.155968133059,169.157219912454,196.676672624229,5.20974158805943,10.1283026524627
"1265","2-Deoxyadenosine-5-monophosphate",332.076,168.6,0.0038,451.005238888889,184.227752567795,180.778587289821,187.676917845769,170.41704846324,198.03845667235,5.20974158805943,10.1283026524627
"1279","2'-Deoxyguanosine 5'-monophosphate",348.0709,177.3,0.0042,462.000233333333,185.516040858758,181.795673426641,189.236408290875,171.635120839583,199.396960877933,5.20974158805943,10.1283026524627
"1280","2'-Deoxyguanosine-5'-diphosphate",428.0351,188.5,7e-04,472.995227777778,186.782720358062,182.74575022111,190.819690495015,172.81361392152,200.751826794604,5.20974158805943,10.1283026524627
"1491","Deoxyadenosine Triphosphate",492.0092,195,0.0024,483.990222222222,188.028643448667,183.642381007134,192.414905890201,173.954621104121,202.102665793214,5.20974158805943,10.1283026524627
"2284","2-Deoxyadenosine-5-monophosphate",354.0579,173.9,0.0095,494.985216666667,189.254610433504,184.496045539772,194.013175327236,175.060148605149,203.44907226186,5.20974158805943,10.1283026524627
"2295","2'-Deoxyguanosine 5'-monophosphate",370.0493,171.5,0.0075,505.980211111111,190.461373795626,185.314635170565,195.608112420686,176.132112641488,204.790634949763,5.20974158805943,10.1283026524627
"2296","2'-Deoxyguanosine-5'-diphosphate",450.0164,185.1,9e-04,516.975205555555,191.649642025484,186.104054891855,197.195229159113,177.172337600783,206.126946450184,5.20974158805943,10.1283026524627
"2477","Deoxyadenosine Triphosphate",513.9909,202,8e-04,527.9702,192.820083067532,186.86874590287,198.771420232194,178.182555243604,207.45761089146,5.20974158805943,10.1283026524627
