"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"515","Adenosine Diphosphate Ribose",576.0745,204.2,0.0035,362.0504,167.306938009952,154.395688157066,180.218187862839,140.05207736487,194.561798655035,9.14562816157775,15.2732650405864
"516","Adenosine Diphosphate Ribose",558.0655,202.1,0.0018,379.784566666667,171.320352946049,159.326749502158,183.31395638994,144.488029535868,198.152676356229,9.14562816157775,15.2732650405864
"517","Adenosine Diphosphate Ribose",558.0655,206.8,0.004,397.518733333333,175.240321726596,164.120815005175,186.359828448018,148.787146383229,201.693497069964,9.14562816157775,15.2732650405864
"518","Adenosine Diphosphate Ribose",560.0791,212.5,6e-04,415.2529,179.073049640323,168.781583559188,189.364515721458,152.957128631897,205.18897064875,9.14562816157775,15.2732650405864
"519","Adenosine Diphosphate Ribose",580.0461,187.8,9e-04,432.987066666667,182.8240848451,173.310883611045,192.337286079156,157.004943617344,208.643226072857,9.14562816157775,15.2732650405864
"520","Adenosine Diphosphate Ribose",582.0605,217.6,0.0016,450.721233333333,186.498411813538,177.708552335755,195.288271291322,160.936943043955,212.059880583122,9.14562816157775,15.2732650405864
"534","Adenosine-5'-diphosphoglucose",588.0744,217.8,0.0044,468.4554,190.100528361386,181.972300621753,198.228756101019,164.758958911043,215.442097811729,9.14562816157775,15.2732650405864
"535","Adenosine-5'-diphosphoglucose",590.0901,216.5,0.0027,486.189566666667,193.634509651646,186.097644082722,201.171375220569,168.476381767734,218.792637535557,9.14562816157775,15.2732650405864
"536","Adenosine-5'-diphosphoglucose",612.072,225.6,0.0056,503.923733333333,197.10406176858,190.078045626346,204.130077910813,172.094224527003,222.113899010156,9.14562816157775,15.2732650405864
"537","Adenosine-5'-diphosphoglucose",610.0563,218.3,8e-04,521.6579,200.512566866418,193.905486563911,207.119647168926,175.617174398273,225.407959334564,9.14562816157775,15.2732650405864
"538","Adenosine-5'-diphosphoglucose",628.0336,225.9,0.0025,539.392066666667,203.863121457545,197.571694454364,210.154548460726,179.049635008528,228.676607906562,9.14562816157775,15.2732650405864
"1495","Guanosine Diphosphate Mannose",606.0812,227.7,0.0024,557.126233333333,207.158569072665,201.070085153604,213.247052991726,182.395760418317,231.921377727014,9.14562816157775,15.2732650405864
"1496","Guanosine Diphosphate Mannose",626.0524,205.8,0.0105,574.8604,210.401528272063,204.398048045315,216.405008498812,185.659482462305,235.143574081821,9.14562816157775,15.2732650405864
"1497","Guanosine Diphosphate Mannose",626.0524,217.2,0.0014,592.594566666667,213.594416791919,207.558713835288,219.630119748551,188.844532626536,238.344300957303,9.14562816157775,15.2732650405864
"1498","Guanosine Diphosphate Mannose",628.0629,222.5,0.0017,610.328733333333,216.739472458052,210.561300280657,222.917644635447,191.954459497137,241.524485418967,9.14562816157775,15.2732650405864
"1501","Guanosine-5'-monophosphate",362.0504,169.4,0.0014,628.0629,219.838771380713,213.41981070647,226.257732054956,194.992642665022,244.684900096404,9.14562816157775,15.2732650405864
