"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"197","Adenosine-5'-diphosphate (From Bacterial Source)",448.0035,187.8,9e-04,346.0558,167.050583384452,163.077911366892,171.023255402012,147.378919224005,186.722247544899,7.94213095174585,21.7327506593048
"199","Adenosine-5'-monophosphate",368.0372,179.7,0.0017,357.15703,169.402327390063,165.59521892605,173.209435854077,149.76342918423,189.041225595896,7.94213095174585,21.7327506593048
"200","Adenosine-5'-triphosphate",527.9701,193.5,9e-04,368.25826,171.713679908498,168.058359977116,175.36899983988,152.103641364857,191.323718452138,7.94213095174585,21.7327506593048
"207","Coenzyme A",788.091,245.9,0.002,379.35949,173.986521807468,170.468524647269,177.504518967667,154.401615580951,193.571428033986,7.94213095174585,21.7327506593048
"237","Guanosine Diphosphate",463.9985,186.6,0.0023,390.46072,176.22259428933,172.826744620137,179.618443958524,156.659260144608,195.785928434053,7.94213095174585,21.7327506593048
"240","Guanosine Triphosphate",543.9645,184.1,0.0013,401.56195,178.423512911808,175.133944283646,181.71308153997,158.878347022471,197.968678801145,7.94213095174585,21.7327506593048
"241","Guanosine-5'-monophosphate",384.0332,172.2,0.0015,412.66318,180.590779854864,177.39099814308,183.790561566649,161.060525097556,200.121034612173,7.94213095174585,21.7327506593048
"245","Inosine Triphosphate",528.954,182.7,0.0017,423.76441,182.725794694124,179.598792102697,185.852797285551,163.207331816912,202.244257571336,7.94213095174585,21.7327506593048
"246","Inosine-5'-diphosphate",448.988,180.1,0.0019,434.86564,184.829863896814,181.758284086472,187.901443707157,165.320203458621,204.339524335008,7.94213095174585,21.7327506593048
"247","Inosine-5'-monophosphate",369.0228,166.6,0.0016,445.96687,186.904209220276,183.870557742909,189.937860697643,167.400484212769,206.407934227782,7.94213095174585,21.7327506593048
"284","Xanthosine Monophosphate",385.0171,171,0.0014,457.0681,188.949975163883,185.936862410972,191.963087916793,169.449434239486,208.450516088279,7.94213095174585,21.7327506593048
"460","Adenosine-5'-diphosphate (From Bacterial Source)",426.0216,184.8,0.0084,468.16933,190.968235601348,187.958633674278,193.977837528417,171.468236841303,210.468234361392,7.94213095174585,21.7327506593048
"462","Adenosine-5'-monophosphate",346.0558,174.1,0.0072,479.27056,192.959999700752,189.937491692995,195.98250770851,173.458004865883,212.461994535622,7.94213095174585,21.7327506593048
"463","Adenosine-5'-triphosphate",505.9893,188.3,0.0012,490.37179,194.926217223441,191.875218351092,197.977216095789,175.419786437636,214.432648009245,7.94213095174585,21.7327506593048
