"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"25","1-Methyladenine",148.0623,130.5,0.0027,119.0401,117.722022805484,114.810460607734,120.633585003235,105.069572091337,130.374473519631,5.07002236885784,10.110933089914
"26","1-Methyladenine",150.078,127.5,0.0039,123.220751282051,119.304572893461,116.535407117946,122.073738668976,106.684129409382,131.92501637754,5.07002236885784,10.110933089914
"298","3-Methyladenine",150.0769,126.5,0.0025,127.401402564103,120.854534071782,118.21820325045,123.490864893113,108.262570172451,133.446497971112,5.07002236885784,10.110933089914
"436","7-Methylguanine",164.0572,136.1,0,131.582053846154,122.373614799497,119.86009669071,124.887132908283,109.806789905127,134.940439693866,5.07002236885784,10.110933089914
"437","7-Methylguanine",166.0729,133.4,0.0028,135.762705128205,123.86338299855,121.462126894901,126.264639102199,111.318529650748,136.408236346352,5.07002236885784,10.110933089914
"438","7-Methylguanine",188.0548,148.8,0.0016,139.943356410256,125.32528155215,123.025157485781,127.625405618519,112.799392946417,137.851170157884,5.07002236885784,10.110933089914
"508","Adenine",134.0486,120.6,0.0107,144.124007692308,126.760641685371,124.549915289675,128.971368081067,114.250860478684,139.270422892058,5.07002236885784,10.110933089914
"509","Adenine",136.0614,125.6,0.0114,148.304658974359,128.170694569987,126.037037437064,130.304351702909,115.674302794621,140.667086345352,5.07002236885784,10.110933089914
"510","Adenine",158.0434,137,0.0033,152.48531025641,129.556581432309,127.487126318386,131.626036546232,117.070991373722,142.042171490896,5.07002236885784,10.110933089914
"773","Caffeine",195.0861,140.2,0.005,156.665961538462,130.919362392617,128.9008097495,132.937915035734,118.442108311066,143.396616474168,5.07002236885784,10.110933089914
"774","Caffeine",217.0701,142,0.0024,160.846612820513,132.260024224742,130.278800874156,134.241247575328,119.788754818324,144.731293631159,5.07002236885784,10.110933089914
"1484","Guanine",174.038,137.7,0.0026,165.027264102564,133.579487192188,131.621950036929,135.537024347448,121.111958713907,146.04701567047,5.07002236885784,10.110933089914
"1485","Guanine",190.0121,136.2,0.0046,169.207915384615,134.878611091168,132.931280284215,136.82594189812,122.412681045068,147.344541137267,5.07002236885784,10.110933089914
"1486","Guanosine",282.0855,163,0.0061,173.388566666667,136.15820060975,134.208000118228,138.108401101273,123.691821961575,148.624579257926,5.07002236885784,10.110933089914
"1604","Hypoxanthine",135.0317,121,0.0386,177.569217948718,137.41901009507,135.453491429992,139.384528760148,124.95022594162,149.887794248519,5.07002236885784,10.110933089914
"1605","Hypoxanthine",137.0461,130.5,0.0317,181.749869230769,138.66174780627,136.669275766658,140.654219845882,126.188686455055,151.134809157486,5.07002236885784,10.110933089914
"1606","Hypoxanthine",159.0272,135.9,0.0148,185.930520512821,139.887079719167,137.856966297067,141.917193141267,127.407950136174,152.36620930216,5.07002236885784,10.110933089914
"1607","Hypoxanthine",157.0137,135,0.0093,190.111171794872,141.095632938829,139.018214607448,143.17305127021,128.608720527584,153.582545350074,5.07002236885784,10.110933089914
"2033","N6-(delta2-Isopentenyl)-adenine",202.111,150.8,0.0044,194.291823076923,142.287998768181,140.154660590111,144.421336946251,129.791661447807,154.784336088554,5.07002236885784,10.110933089914
"2034","N6-(delta2-Isopentenyl)-adenine",204.124,145.4,0.002,198.472474358974,143.464735473901,141.267891073641,145.661579874161,130.957400027792,155.97207092001,5.07002236885784,10.110933089914
"2182","Paraxanthine",181.07,134.5,0.004,202.653125641026,144.626370785208,142.359409761251,146.893331809165,132.106529455275,157.14621211514,5.07002236885784,10.110933089914
"2183","Paraxanthine",181.07,139,0.0035,206.833776923077,145.773404156263,143.430618486456,148.116189826069,133.239611460626,158.307196851899,5.07002236885784,10.110933089914
"2184","Paraxanthine",203.053,149.4,0.0015,211.014428205128,146.906308818864,144.48280819441,149.329809443318,134.357178573334,159.455439064394,5.07002236885784,10.110933089914
"2726","Purine",119.0401,114.6,0.0044,215.195079487179,148.025533648615,145.517157377467,150.533909919762,135.459736174511,160.591331122719,5.07002236885784,10.110933089914
"2727","Purine",121.0519,121.7,0.0029,219.375730769231,149.131504864793,146.534735668213,151.728274061373,136.547764367515,161.715245362072,5.07002236885784,10.110933089914
