"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3250","Pyridoxal-5'-phosphate",246.0173,150.1,0.0053,166.0504,130.997598274009,124.370899842125,137.624296705892,119.171853817724,142.823342730294,3.38159282582937,11.1173338130647
"3251","Pyridoxal-5'-phosphate",248.0319,151.7,0.0021,177.602,134.419126707391,128.78600985653,140.052243558252,123.120139792907,145.718113621875,3.38159282582937,11.1173338130647
"3252","Pyridoxal-5'-phosphate",270.0138,161.4,0.0011,189.1536,137.706024030741,132.958947609631,142.453100451851,126.821639142927,148.590408918556,3.38159282582937,11.1173338130647
"3253","Pyridoxal",166.0504,129.2,0.0033,200.7052,140.871351230987,136.871671364488,144.871031097485,130.291533705495,151.451168756478,3.38159282582937,11.1173338130647
"3254","Pyridoxal",168.0654,131.3,8e-04,212.2568,143.926233810679,140.484345384678,147.368122236681,133.544437445153,154.308030176206,3.38159282582937,11.1173338130647
"3255","Pyridoxal",190.0465,142.7,0.0018,223.8084,146.88023709332,143.741925987585,150.018548199055,136.595097500946,157.165376685693,3.38159282582937,11.1173338130647
"3256","Pyridoxal-5'-phosphate",267.9997,153.2,8e-04,235.36,149.741653332865,146.610501970365,152.872804695364,139.458696136946,160.024610528784,3.38159282582937,11.1173338130647
"3257","Pyridoxal-5'-phosphate",246.0174,149.4,9e-04,246.9116,152.517724627722,149.120934846626,155.914514408818,142.150792552359,162.884656703084,3.38159282582937,11.1173338130647
"3258","Pyridoxal-5'-phosphate",248.0313,152.4,0.0095,258.4632,155.214818299366,151.354814713734,159.074821884999,144.687010953137,165.742625645595,3.38159282582937,11.1173338130647
"3259","Pyridoxal-5'-phosphate",270.0148,162.4,0.0113,270.0148,157.838566526127,153.393864213804,162.283268838451,147.082615685621,168.594517366634,3.38159282582937,11.1173338130647
