"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3260","Picloram",238.9182,136.4,0.003,122.0271,124.070443890132,117.813884325557,130.327003454707,108.207820321423,139.933067458841,5.49997601219241,10.1081202623482
"3261","Picloram",240.9338,141.9,4e-04,132.090578571429,126.467834616277,121.045802917067,131.889866315488,110.915448412073,142.020220820482,5.49997601219241,10.1081202623482
"3262","Picloram",262.9158,155.4,0.0048,142.154057142857,128.730440638956,123.997609254561,133.463272023352,113.404711233456,144.056170044456,5.49997601219241,10.1081202623482
"3263","1-Methylnicotinamide",137.0712,126.1,0.0013,152.217535714286,130.874626081317,126.662936885852,135.086315276782,115.701735296213,146.047516866421,5.49997601219241,10.1081202623482
"3264","6-Hydroxynicotinate",140.0349,129.1,0.0036,162.281014285714,132.913838520465,129.029934880635,136.797742160296,117.828647226319,147.999029814611,5.49997601219241,10.1081202623482
"3265","Nicotinate",122.0271,121.3,0.006,172.344492857143,134.859274507327,131.094945852259,138.623603162395,119.804426148049,149.914122866605,5.49997601219241,10.1081202623482
"3266","Nicotinate",124.0407,123.9,0.0014,182.407971428571,136.720363761521,132.876788214221,140.563939308822,121.645505159024,151.795222364019,5.49997601219241,10.1081202623482
"3267","4-Pyridoxate",182.0452,130.9,0.0045,192.47145,138.505128605757,134.417511210853,142.59274600066,123.366208404349,153.644048807165,5.49997601219241,10.1081202623482
"3268","4-Pyridoxate",222.015,147.6,0.0035,202.534928571429,140.220455553592,135.768348811497,144.672562295688,124.979079521865,155.461831585319,5.49997601219241,10.1081202623482
"3269","4-Pyridoxate",184.0586,136,0.0045,212.598407142857,141.872303769207,136.975472508062,146.769135030351,126.495137408085,157.249470130328,5.49997601219241,10.1081202623482
"3270","4-Pyridoxate",206.0401,150.6,0.0035,222.661885714286,143.465867333112,138.074319067035,148.857415599188,127.924082313272,159.007652352951,5.49997601219241,10.1081202623482
"3271","Quinolinic Acid",166.015,128,0.0118,232.725364285714,145.005703152675,139.090172199869,150.92123410548,129.274466858248,160.736939447101,5.49997601219241,10.1081202623482
"3272","Quinolinic Acid",168.0277,134.9,0.0228,242.788842857143,146.495832946391,140.040694480165,152.950971412617,130.553841178872,162.43782471391,5.49997601219241,10.1081202623482
"3273","Nicotinamide",145.0368,136.4,0.0035,252.852321428571,147.939825402488,140.938307723539,154.941343081436,131.76887803673,164.110772768246,5.49997601219241,10.1081202623482
"3274","Nicotinamide",123.0557,126.7,0.0137,262.9158,149.34086299355,141.79192567896,156.889800308139,132.925481685853,165.756244301247,5.49997601219241,10.1081202623482
