"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3303","Deoxyuridine Triphosphate",488.947,188.9,9e-04,306.0509,162.620051575493,158.874504806228,166.365598344758,149.940801314919,175.299301836066,4.61551511340564,9.14966074052293
"3304","Deoxyuridine Triphosphate",466.9659,178.5,0.0012,318.378286666667,164.443304865893,161.020540833692,167.866068898093,151.855629139627,177.030980592159,4.61551511340564,9.14966074052293
"3305","Deoxyuridine Triphosphate",490.9617,185.1,0.0024,330.705673333333,166.216575686348,163.026511409035,169.40663996366,153.690172504951,178.742978867744,4.61551511340564,9.14966074052293
"3306","2'-Deoxycytidine-5-monophosphate",308.0648,164.5,0.004,343.03306,167.943023328598,164.884841632316,171.00120502488,155.449555361017,180.436491296179,4.61551511340564,9.14966074052293
"3307","2'-Deoxycytidine-5-monophosphate",330.0446,156.6,0.0059,355.360446666667,169.625502306298,166.594108035399,172.656896577197,157.138564419244,182.112440193352,4.61551511340564,9.14966074052293
"3308","2'-Deoxycytidine-5-monophosphate",306.0509,163.7,0.0082,367.687833333333,171.266601202034,168.161959962621,174.371242441446,158.761679619114,183.771522784953,4.61551511340564,9.14966074052293
"3309","2'-Deoxycytidine-5-monophosphate",330.0446,164.9,0.0052,380.01522,172.868675438611,169.604127979404,176.133222897818,160.323097066813,185.414253810409,4.61551511340564,9.14966074052293
"3310","Thymidine-5'-monophosphate",323.0644,162.8,0.0026,392.342606666667,174.433875089436,170.940249788001,177.927500390871,161.826746775806,187.041003403066,4.61551511340564,9.14966074052293
"3311","Thymidine-5'-monophosphate",343.0309,167.7,0.0018,404.669993333333,175.964168609965,172.189573915682,179.738763304248,163.27630702199,188.65203019794,4.61551511340564,9.14966074052293
"3312","Thymidine-5'-monophosphate",343.0318,176.2,7e-04,416.99738,177.461363193482,173.36853085904,181.554195527924,164.675216663454,190.24750972351,4.61551511340564,9.14966074052293
"3313","Thymidine-5'-monophosphate",345.0467,173.5,9e-04,429.324766666667,178.927122316187,174.490120977716,183.364123654658,166.026686375991,191.827558256383,4.61551511340564,9.14966074052293
"3314","Thymidine-5'-monophosphate",321.0488,163.8,0.0076,441.652153333333,180.362980928611,175.564267631316,185.161694225906,167.333709426369,193.392252430853,4.61551511340564,9.14966074052293
"3315","Deoxyuridine Monophosphate",329.0154,162.1,0.0018,453.97954,181.770358665481,176.598461846033,186.942255484929,168.59907234711,194.941644983853,4.61551511340564,9.14966074052293
"3316","Deoxyuridine Monophosphate",329.0154,171.9,0.0012,466.306926666667,183.150571378896,177.598379000129,188.702763757662,169.825365685161,196.47577707263,4.61551511340564,9.14966074052293
"3317","Deoxyuridine Monophosphate",307.033,159.2,9e-04,478.634313333333,184.504841245992,178.568370170216,190.441312321768,171.014994864249,197.994687627735,4.61551511340564,9.14966074052293
"3318","Deoxyuridine Monophosphate",331.0292,168.1,8e-04,490.9617,185.834305659214,179.511825160283,192.156786158144,172.170191116776,199.498420201651,4.61551511340564,9.14966074052293
