"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"1205","Deoxythymidine-diphosphate-D-Glucose",563.0677,209.5,0.0011,563.0677,208.693623063121,204.867208080499,212.520038045743,196.089676853847,221.297569272395,4.78768994830625,6.82680140265588
"1206","Deoxythymidine-diphosphate-D-Glucose",585.0511,218.5,0.0028,566.674865217391,209.137355102215,205.451889641775,212.822820562654,196.575481671586,221.699228532843,4.78768994830625,6.82680140265588
"1207","Deoxythymidine-diphosphate-D-Glucose",587.0586,209.5,0.0042,570.282030434783,209.612772592369,206.073691137631,213.151854047107,197.093063890874,222.132481293865,4.78768994830625,6.82680140265588
"3182","Uridine Diphosphate Glucose",565.0496,207.3,0.0015,573.889195652174,210.121233921061,206.732723102306,213.509744739816,197.643252754388,222.599215087734,4.78768994830625,6.82680140265588
"3183","Uridine Diphosphate Glucose",587.0294,215.7,8e-04,577.496360869565,210.664003536963,207.428440647348,213.899566426578,198.226685673385,223.101321400542,4.78768994830625,6.82680140265588
"3184","Uridine Diphosphate Glucose",589.0422,210.5,9e-04,581.103526086956,211.242222503283,208.159441153525,214.32500385304,198.843773032585,223.640671973981,4.78768994830625,6.82680140265588
"3185","Uridine Diphosphate Glucose",605.0069,216.4,8e-04,584.710691304348,211.85687673882,208.923223616463,214.790529861177,199.494662977954,224.219090499686,4.78768994830625,6.82680140265588
"3186","Uridine Diphosphate Glucuronic Acid",579.0291,211.9,0.0012,588.317856521739,212.508763423608,209.715926004876,215.301600842341,200.179207499954,224.838319347262,4.78768994830625,6.82680140265588
"3187","Uridine Diphosphate Glucuronic Acid",601.0086,204.3,0.0022,591.92502173913,213.198456219653,210.532090635938,215.864821803368,200.896931360797,225.499981078509,4.78768994830625,6.82680140265588
"3188","Uridine Diphosphate Glucuronic Acid",603.0207,210.9,7e-04,595.532186956522,213.926270139093,211.36456578483,216.487974493356,201.647005599811,226.205534678376,4.78768994830625,6.82680140265588
"3189","Uridine Diphosphate Glucuronic Acid",618.9852,218.4,0.0016,599.139352173913,214.692227072296,212.204722643431,217.179731501161,202.42822745102,226.956226693572,4.78768994830625,6.82680140265588
"3190","Uridine Diphosphate-N-acetylgalactosamine",606.0748,223.9,0.0011,602.746517391304,215.496023154559,213.04318801812,217.948858290999,203.239008484029,227.753037825089,4.78768994830625,6.82680140265588
"3191","Uridine Diphosphate-N-acetylgalactosamine",608.0861,216.2,2e-04,606.353682608696,216.336999287617,213.871144851977,218.802853723258,204.077372599793,228.596625975441,4.78768994830625,6.82680140265588
"3192","Uridine Diphosphate-N-acetylgalactosamine",628.0567,228.4,0.0017,609.960847826087,217.214116224841,214.681878326726,219.746354122955,204.940965154325,229.487267295356,4.78768994830625,6.82680140265588
"3193","Uridine Diphosphate-N-acetylgalactosamine",630.0673,218.2,0.001,613.568013043478,218.125935660686,215.471883831693,220.779987489679,205.827073943518,230.424797377854,4.78768994830625,6.82680140265588
"3194","Uridine Diphosphate-N-acetylgalactosamine",646.0325,227.2,0.001,617.17517826087,219.070608720631,216.240958790517,221.900258650745,206.732662086202,231.40855535506,4.78768994830625,6.82680140265588
"3195","Uridine Diphosphate-N-acetylglucosamine",606.074,223.9,0.0017,620.782343478261,220.045873116073,216.991319303739,223.100426928407,207.654412047278,232.437334184869,4.78768994830625,6.82680140265588
"3196","Uridine Diphosphate-N-acetylglucosamine",608.0864,210.4,0.0019,624.389508695652,221.049060003333,217.72632191282,224.371798093845,208.588779234217,233.509340772448,4.78768994830625,6.82680140265588
"3197","Uridine Diphosphate-N-acetylglucosamine",628.0566,227.9,0.0012,627.996673913043,222.077111268036,218.449373478611,225.70484905746,209.532052882526,234.622169653546,4.78768994830625,6.82680140265588
"3198","Uridine Diphosphate-N-acetylglucosamine",630.0679,217.9,0.0024,631.603839130435,223.126607555359,219.163273695747,227.089941414971,210.480421422387,235.772793688331,4.78768994830625,6.82680140265588
"3199","Uridine Diphosphogalactose",565.0467,207.3,0.0015,635.211004347826,224.193806901452,219.869948008169,228.517665794734,211.430039269751,236.957574533152,4.78768994830625,6.82680140265588
"3200","Uridine Diphosphogalactose",587.0295,215.7,8e-04,638.818169565217,225.27469331887,220.570428217382,229.978958420358,212.377092046846,238.172294590894,4.78768994830625,6.82680140265588
"3201","Uridine Diphosphogalactose",589.0419,210.5,9e-04,642.425334782609,226.365034182733,221.264954910073,231.465113455393,213.317857591054,239.412210774412,4.78768994830625,6.82680140265588
"3202","Uridine Diphosphogalactose",605.0065,216.4,8e-04,646.0325,227.460444792035,221.953123441061,232.967766143009,214.24876068705,240.672128897021,4.78768994830625,6.82680140265588
