"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"3343","Uridine-5'-triphosphate",504.9426,190.2,5e-04,322.0439,161.110338714442,154.491017492841,167.729659936043,142.86791663092,179.352760797964,6.89021828010621,14.8581681549086
"3344","Uridine-5'-triphosphate",482.9623,180.1,0.0019,328.562975862069,162.594643063988,156.328119288677,168.861166839299,144.477251688153,180.712034439823,6.89021828010621,14.8581681549086
"3345","Uridine-5'-triphosphate",484.9755,186.9,0.0013,335.082051724138,164.063058141959,158.13929682156,169.986819462357,146.061349939133,182.064766344785,6.89021828010621,14.8581681549086
"3346","Uridine-5'-triphosphate",506.9545,188.5,0.0042,341.601127586207,165.516058298378,159.924207198149,171.107909398607,147.620825727501,183.411290869255,6.89021828010621,14.8581681549086
"3347","Uridine-5'-diphosphate",424.9773,178.7,0.0012,348.120203448276,166.954094983286,161.682288928594,172.225901037979,149.156272388459,184.751917578113,6.89021828010621,14.8581681549086
"3348","Uridine-5'-diphosphate",402.9956,172.9,0.0011,354.639279310345,168.377598258471,163.412725201679,173.342471315263,150.668264151603,186.08693236534,6.89021828010621,14.8581681549086
"3349","Uridine-5'-diphosphate",405.0095,176.5,0.0041,361.158355172414,169.786978183568,165.114402495704,174.459553871432,152.157357836055,187.416598531082,6.89021828010621,14.8581681549086
"3350","Uridine-5'-diphosphate",426.9909,178.1,0.0044,367.677431034483,171.182626089036,166.785867434579,175.579384743493,153.624094353604,188.741157824469,6.89021828010621,14.8581681549086
"3351","Uridine-5'-diphosphate",426.9909,181.7,0.0015,374.196506896552,172.564915747081,168.425288156988,176.704543337174,155.069000034455,190.060831459707,6.89021828010621,14.8581681549086
"3352","Cytidine Diphosphate Ethanolamine",467.0351,185.9,0.0015,380.715582758621,173.934204450332,170.030431696954,177.83797720371,156.492587789349,191.375821111314,6.89021828010621,14.8581681549086
"3353","Cytidine Diphosphate Ethanolamine",445.0534,188.1,0.0015,387.23465862069,175.290834006989,171.598675931018,178.982992082961,157.895358121098,192.68630989288,6.89021828010621,14.8581681549086
"3354","Citicoline",509.0831,210.4,0.0022,393.753734482759,176.635131660204,173.127082003852,180.143181316556,159.277799998048,193.99246332236,6.89021828010621,14.8581681549086
"3355","Citicoline",487.1,205.9,6e-04,400.272810344828,177.967410938611,174.6125563858,181.322265491422,160.640391601484,195.294430275738,6.89021828010621,14.8581681549086
"3356","Citicoline",489.1105,198.5,0.0022,406.791886206897,179.287972444204,176.052122868997,182.523822019411,161.983600958593,196.592343929814,6.89021828010621,14.8581681549086
"3357","Citicoline",511.0926,208.1,0.0027,413.310962068966,180.597104583098,177.443295323219,183.750913842977,163.307886472196,197.886322694,6.89021828010621,14.8581681549086
"3358","Cytidine Diphosphate",423.9928,176.3,0.0016,419.830037931034,181.895084244146,178.784492231727,185.005676256566,164.613697358066,199.176471130226,6.89021828010621,14.8581681549086
"3359","Cytidine Diphosphate",402.0119,174.2,0.0014,426.349113793103,183.182177429888,180.075384713296,186.288970146481,165.901474000267,200.462880859509,6.89021828010621,14.8581681549086
"3360","Cytidine Diphosphate",404.0233,175.6,0.0011,432.868189655172,184.458639843845,181.317059212382,187.600220475308,167.171648234469,201.745631453221,6.89021828010621,14.8581681549086
"3361","Cytidine Diphosphate",426.0052,179.9,5e-04,439.387265517241,185.724717437798,182.511929577565,188.937505298031,168.424643568779,203.024791306817,6.89021828010621,14.8581681549086
"3362","Uridine-5'-monophosphate",345.0122,164.1,0.006,445.90634137931,186.980646922326,183.663428623581,190.297865221071,169.660875351079,204.300418493573,6.89021828010621,14.8581681549086
"3363","Uridine-5'-monophosphate",323.0317,162.3,0.0066,452.425417241379,188.226656243565,184.775586489158,191.677725997973,170.880750891338,205.572561595793,6.89021828010621,14.8581681549086
"3364","Uridine-5'-monophosphate",325.0437,167,0.0101,458.944493103448,189.462965028885,185.852618255432,193.073311802337,172.084669546783,206.841260510986,6.89021828010621,14.8581681549086
"3365","Uridine-5'-monophosphate",347.0256,172.8,0.0071,465.463568965517,190.689785003908,186.898603601912,194.480966405904,173.273022777206,208.10654723061,6.89021828010621,14.8581681549086
"3366","Cytidine-5'-monophosphate",344.0266,163.3,0.0014,471.982644827586,191.907320383105,187.91728550289,195.897355263319,174.446194177044,209.368446589165,6.89021828010621,14.8581681549086
"3367","Cytidine-5'-monophosphate",322.0439,165.1,0.007,478.501720689655,193.115768235962,188.911974509244,197.319561962681,175.604559490263,210.626976981661,6.89021828010621,14.8581681549086
"3368","Cytidine-5'-monophosphate",324.0578,167.1,0.0027,485.020796551724,194.31531883058,189.885528304101,198.745109357058,176.748486613383,211.882151047776,6.89021828010621,14.8581681549086
"3369","Cytidine-5'-monophosphate",346.0393,168.7,0.0069,491.539872413793,195.506155956354,190.840376195068,200.171935717641,177.878335591389,213.13397632132,6.89021828010621,14.8581681549086
"3370","Cytidine-5'-diphosphocholine",487.0995,207.7,0.0022,498.058948275862,196.6884572273,191.778565476124,201.598348978477,178.994458610625,214.382455843976,6.89021828010621,14.8581681549086
"3371","Cytidine-5'-diphosphocholine",489.1152,197.6,0.0034,504.578024137931,197.862394367389,192.701814831068,203.022973903711,180.097199992169,215.627588742609,6.89021828010621,14.8581681549086
"3372","Cytidine-5'-diphosphocholine",511.0971,207.7,0.0041,511.0971,199.028133479209,193.611566483418,204.444700474999,181.186896188636,216.869370769782,6.89021828010621,14.8581681549086
