"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"398","5-Hydroxymethyluracil",141.03,124.1,9e-04,111.0201,115.968586111043,108.212767827707,123.724404394379,90.1666601292878,141.770512092798,9.81080001770396,26.5056994144519
"399","5-Hydroxymethyluracil",165.0276,141.2,0.0065,125.629073913043,123.878483932881,117.264545602527,130.492422263235,98.3965129070445,149.360454958717,9.81080001770396,26.5056994144519
"405","5-Methylcytosine",126.0671,121.1,0.0017,140.238047826087,130.556413812611,124.733074924088,136.379752701135,105.268117252059,155.844710373163,9.81080001770396,26.5056994144519
"406","5-Methylcytosine",126.0671,125.7,0.0041,154.84702173913,136.295247460293,130.965925564448,141.624569356139,111.116122396197,161.474372524389,9.81080001770396,26.5056994144519
"407","5-Methylcytosine",148.0475,135.7,0.003,169.455995652174,141.2984573088,136.217498427186,146.379416190415,116.170727401774,166.426187215827,9.81080001770396,26.5056994144519
"1038","Cytosine",112.0509,117.4,0.0029,184.064969565217,145.712463693759,140.687482598109,150.737444789408,120.595992959687,170.82893442783,9.81080001770396,26.5056994144519
"1039","Cytosine",112.0509,122.6,0.0071,198.673943478261,149.645722361566,144.536790220158,154.754654502974,124.512321184062,174.77912353907,9.81080001770396,26.5056994144519
"2158","Orotic Acid",155.0112,121.7,0.0037,213.282917391304,153.180536292062,147.893276993794,158.467795590329,128.010280472723,178.3507921114,9.81080001770396,26.5056994144519
"2159","Orotic Acid",157.0249,138,0.0042,227.891891304348,156.380660035778,150.855907477753,161.905412593804,131.159447575802,181.601872495754,9.81080001770396,26.5056994144519
"2160","Orotic Acid",179.0069,180.7,0.0025,242.500865217391,159.296361768004,153.499957307,165.092766229008,134.014254027561,184.578469508447,9.81080001770396,26.5056994144519
"3019","Thiamine",265.1124,163,0.0023,257.109839130435,161.967890948345,155.882488113467,168.053293783223,136.617964029583,187.317817867107,9.81080001770396,26.5056994144519
"3020","Thiamine Monophosphate",345.0786,171.1,0.0021,271.718813043478,164.427913518105,158.047080876865,170.808746159345,139.005449193824,189.850377842386,9.81080001770396,26.5056994144519
"3021","Thiamine Monophosphate",365.0458,174,0.0036,286.327786956522,166.703259640227,160.027477304893,173.379041975561,141.205166830909,192.201352449545,9.81080001770396,26.5056994144519
"3022","Thiamine Monophosphate",365.0458,179.9,0.004,300.936760869565,168.816202372325,161.850222690685,175.782182053965,143.240597979685,194.391806764966,9.81080001770396,26.5056994144519
"3023","Thiamine Monophosphate",367.0581,177.4,0.0052,315.545734782609,170.785409283251,163.536540768632,178.034277797869,145.131310938813,196.439507627688,9.81080001770396,26.5056994144519
"3024","Thiamine Pyrophosphate",423.0306,178.1,0.0022,330.154708695652,172.626661586421,165.103660162382,180.149663010459,146.893760126424,198.359563046418,9.81080001770396,26.5056994144519
"3025","Thiamine Pyrophosphate",425.0434,182,0.0024,344.763682608696,174.353405128921,166.565760507396,182.141049750445,148.541894598249,200.164915659593,9.81080001770396,26.5056994144519
"3026","Thiamine Pyrophosphate",447.0265,187,0.0018,359.372656521739,175.977177853894,167.934656474068,184.01969923372,150.087627504983,201.866728202804,9.81080001770396,26.5056994144519
"3056","Thymine",125.0365,119.5,0.0083,373.981630434783,177.507945218265,169.220300141316,185.795590295215,151.541202487508,203.474687949022,9.81080001770396,26.5056994144519
"3057","Thymine",127.0502,122.1,5e-04,388.590604347826,178.954366132097,170.431155986588,187.477576277605,152.91148268367,204.997249580523,9.81080001770396,26.5056994144519
"3170","Uracil",111.0201,113.5,0.0098,403.19957826087,180.324005829237,171.574485231757,189.073526426717,154.206180923446,206.441830735028,9.81080001770396,26.5056994144519
"3171","Uracil",113.0351,126.2,0.0042,417.808552173913,181.623507760285,172.656564672891,190.590450847679,155.432044734016,207.814970786554,9.81080001770396,26.5056994144519
"3172","Uracil-5-carboxylate",155.0103,119.3,0.0064,432.417526086957,182.858733525385,173.682857411955,192.034609638815,156.595006265667,209.122460785103,9.81080001770396,26.5056994144519
"3173","Uracil-5-carboxylate",179.0064,140.1,0.0033,447.0265,184.034877647873,174.6581477439,193.411607551845,157.700304729067,210.369450566678,9.81080001770396,26.5056994144519
