"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"485","Acetylcholine",146.1186,129.2,0.0036,104.1075,113.958277573874,111.037665494812,116.878889652936,103.184533283183,124.732021864564,4.16117938117648,78.3086929058031
"852","Choline",104.1075,118.7,0.0016,141.029644,127.197723192103,124.471697368176,129.923749016031,116.475092548575,137.920353835632,4.16117938117648,78.3086929058031
"853","Choline",104.1076,117.4,0.0023,177.951788,141.034300232347,138.494305968024,143.57429449667,130.357448543407,151.711151921287,4.16117938117648,78.3086929058031
"1731","L-Carnitine",162.1118,132.9,0.0013,214.873932,155.343236140487,152.972624801998,157.713847478977,144.705407920263,165.981064360711,4.16117938117648,78.3086929058031
"2405","Phosphocholine",184.0732,137.7,0.0044,251.796076,169.980176648953,167.753136930107,172.207216367799,159.373419508614,180.586933789292,4.16117938117648,78.3086929058031
"2412","Phosphorylcholine",184.0735,136.7,8e-04,288.71822,184.786581481767,182.668034059823,186.905128903711,174.202072314883,195.371090648651,4.16117938117648,78.3086929058031
"2413","Phosphorylcholine",206.0553,148,0.0017,325.640364,199.596392277031,197.543554799894,201.649229754169,189.024839277005,210.167945277057,4.16117938117648,78.3086929058031
"2646","Propyltributylaminium",228.2691,162.4,NA,362.562508,214.243398252841,212.209362551319,216.277433954362,203.675480181627,224.811316324054,4.16117938117648,78.3086929058031
"2647","Propyltributylaminium",228.2691,163.9,NA,399.484652,228.568616183807,226.507304996468,230.629927371146,217.995414448482,239.141817919131,4.16117938117648,78.3086929058031
"2989","Tetrabutylammonium",242.2848,167.5,NA,436.406796,242.426998988328,240.297935495454,244.556062481202,231.840379958557,253.013618018099,4.16117938117648,78.3086929058031
"2996","Tetradecylammonium",578.6603,290.5,8e-04,473.32894,255.692892188731,253.464286940667,257.921497436795,245.0858062328,266.299978144663,4.16117938117648,78.3086929058031
"2997","Tetradodecylammonium",690.7855,316.9,0.0012,510.251084,268.263845206575,265.913535520761,270.614154892388,257.630522736902,278.897167676247,4.16117938117648,78.3086929058031
"2998","Tetraheptylammonium",410.4726,233.9,0.0058,547.173228,280.062613262337,277.5773666651,282.547859859574,269.398653314274,290.726573210401,4.16117938117648,78.3086929058031
"2999","Tetrahexadecylammonium",915.0359,353.8,7e-04,584.095372,291.037409424798,288.411404211403,293.663414638193,280.339769754964,301.735049094632,4.16117938117648,78.3086929058031
"3000","Tetrahexylammonium",354.41,213.1,NA,621.017516,301.160646874928,298.393755187953,303.927538561904,290.427554089888,311.893739659968,4.16117938117648,78.3086929058031
"3001","Tetraoctadecylammonium",1027.1611,372.9,0.0013,657.93966,310.426526412138,307.522733613913,313.330319210362,299.657329425368,321.195723398907,4.16117938117648,78.3086929058031
"3002","Tetraoctylammonium",466.5351,254.8,8e-04,694.861804,318.847869133036,315.813954560737,321.881783705336,308.042859704219,329.652878561854,4.16117938117648,78.3086929058031
"3003","Tetrapentylammonium",298.3474,182.7,NA,731.783948,326.452578963489,323.297074368168,329.60808355881,315.612800350625,337.292357576353,4.16117938117648,78.3086929058031
"3004","Tetrapropylammonium",186.2222,145.7,NA,768.706092,333.280062484966,330.012459706611,336.547665263321,322.407122724169,344.153002245764,4.16117938117648,78.3086929058031
"3086","Tridodecyl(undecyl)azanium",676.7699,313.8,NA,805.628236,339.377854377587,336.008020815822,342.747687939352,328.473755636342,350.281953118832,4.16117938117648,78.3086929058031
"3090","Triheptyl(hexyl)azanium",396.4569,227.8,NA,842.55038,344.798613208245,341.336373927461,348.260852489028,333.865603926157,355.731622490333,4.16117938117648,78.3086929058031
"3091","Triheptyl(hexyl)azanium",396.4569,228.5,NA,879.472524,349.597576532595,346.052426722688,353.142726342503,338.638029174264,360.557123890927,4.16117938117648,78.3086929058031
"3092","Trihexadecyl(pentadecyl)azanium",901.0203,341,NA,916.394668,353.830503180172,350.211420606479,357.449585753866,342.846817560125,364.81418880022,4.16117938117648,78.3086929058031
"3093","Trihexyl(pentyl)azanium",340.3905,208.1,NA,953.316812,357.552086384314,353.867419093272,361.236753675356,346.546616645566,368.557556123062,4.16117938117648,78.3086929058031
"3094","Trioctyl(heptyll)azanium",452.5195,249.9,NA,990.238956,360.814793168781,357.07220266647,364.557383671093,349.789795445751,371.839790891811,4.16117938117648,78.3086929058031
"3095","Tripentyl(butyl)azanium",284.3317,183.6,NA,1027.1611,363.668070430524,359.874514749838,367.461626111211,352.625667801237,374.710473059812,4.16117938117648,78.3086929058031
