"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"203","2-Quinolinecarboxylate",174.0567,132.3,0.0046,172.0396,132.449768457087,125.868102051492,139.031434862683,113.952256847031,150.947280067143,6.3599978801739,35.1729900743345
"376","4-Quinolinecarboxylate",172.0396,134.6,0.0041,193.630366666667,138.194579803792,132.21037993698,144.178779670604,119.901131492018,156.488028115567,6.3599978801739,35.1729900743345
"377","4-Quinolinecarboxylate",174.0544,133.5,0.0022,215.221133333333,144.22058866207,138.762887077315,149.678290246825,126.092541065104,162.348636259036,6.3599978801739,35.1729900743345
"1707","Kynurenate",188.0365,135.3,0.0114,236.8119,150.526394851597,145.475459625607,155.577330077587,132.51663222832,168.536157474873,6.3599978801739,35.1729900743345
"1708","Kynurenate",190.0497,136.6,9e-04,258.402666666667,157.108426341514,152.285166983592,161.931685699436,139.1611860544,175.055666628628,6.3599978801739,35.1729900743345
"1709","Kynurenate",212.0312,151.2,0.0013,279.993433333333,163.960784056334,159.131112582138,168.79045553053,146.011819472318,181.90974864035,6.3599978801739,35.1729900743345
"2928","Sparfloxacin",393.1731,190.2,3e-04,301.5842,171.075115664972,165.977763348115,176.172467981829,153.052280046463,189.09795128348,6.3599978801739,35.1729900743345
"2929","Sparfloxacin",393.1735,214.5,9e-04,323.174966666667,178.440525405705,172.826507906556,184.054542904853,160.264805459294,196.616245352116,6.3599978801739,35.1729900743345
"2930","Sparfloxacin",415.1539,217.4,0.0038,344.765733333333,186.043526599058,179.70319721628,192.383855981836,167.630504582786,204.456548615331,6.3599978801739,35.1729900743345
"2931","Sparfloxacin",431.1288,216.1,0.0017,366.3565,193.868042715194,186.637173179293,201.098912251095,175.129710950204,212.606374480184,6.3599978801739,35.1729900743345
"3270","Xanthurenate",204.0317,134.6,0.0045,387.947266666667,201.895461679667,193.648928073572,210.141995285762,182.742265612011,221.048657747323,6.3599978801739,35.1729900743345
"3271","Xanthurenate",206.0446,140.4,4e-04,409.538033333333,210.104746536847,200.747412190562,219.462080883132,190.447704308735,229.761788764959,6.3599978801739,35.1729900743345
"3272","Xanthurenate",228.0265,148,0.0026,431.1288,218.472603690994,207.931647937551,229.013559444438,198.225348289689,238.719859092299,6.3599978801739,35.1729900743345
