"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"886","Pregnenolone Sulfate",395.191,206.2,5e-04,353.1423,194.646800700448,190.854226284514,198.439375116382,182.566609403567,206.726991997329,4.3275754793978,4.40140670154224
"1008","Epi-THMT Sulfate (S3)",385.2049,200.7,0.0046,359.285185714286,195.119447167177,191.677600457973,198.561293876382,183.144735903915,207.09415843044,4.3275754793978,4.40140670154224
"1009","EpiNandrolone Sulfate",353.1423,189.3,0.0026,365.428071428571,195.585199318121,192.409220741242,198.761177894999,183.684180832729,207.486217803512,4.3275754793978,4.40140670154224
"1010","Etiocholanolone Sulfate",369.1736,196.2,0.0026,371.570957142857,196.044271114162,193.032253385849,199.056288842475,184.185955387866,207.902586840458,4.3275754793978,4.40140670154224
"1011","Androsterone Sulfate",369.1736,195.7,0.0025,377.713842857143,196.496866472233,193.535216146122,199.458516798343,184.651243916918,208.342489027548,4.3275754793978,4.40140670154224
"1012","Epiandrosterone Sulfate",369.1736,197.4,0.0025,383.856728571429,196.943179891434,193.917504971884,199.968854810984,185.081387877255,208.804971905613,4.3275754793978,4.40140670154224
"1013","5alpha-androstan-3beta-ol-16-one Sulfate",369.1736,197.3,0.0026,389.999614285714,197.383397030797,194.190542253773,200.576251807821,185.477863750174,209.288930311419,4.3275754793978,4.40140670154224
"1014","11-Ketoetiocholanolone Sulfate",383.1529,188.5,0.0012,396.1425,197.817695243109,194.373318664024,201.262071822193,185.842256583611,209.793133902606,4.3275754793978,4.40140670154224
"1015","16alpha-hydroxy DHEA (dehydroandrosterone) 3-Sulfate",383.1529,199.1,0.0021,402.285385714286,198.246244068778,194.48621569272,202.006272444836,186.176231042372,210.316257095184,4.3275754793978,4.40140670154224
"1016","Epitestosterone Sulfate",367.1579,193,6e-04,408.428271428571,198.669205693283,194.546982453249,202.791428933318,186.481501827931,210.856909558636,4.3275754793978,4.40140670154224
"1017","Prasterone Sulfate (3alpha)",367.1579,194.7,0.001,414.571157142857,199.086735371404,194.569456517904,203.604014224905,186.759805124619,211.41366561819,4.3275754793978,4.40140670154224
"1018","Prasterone Sulfate (3beta)",367.1579,196.4,0.0035,420.714042857143,199.498981821091,194.56384985116,204.434113791022,187.012872393833,211.98509124835,4.3275754793978,4.40140670154224
"1019","7-Keto DHEA-3 Sulfate",381.1372,195,0.003,426.856928571429,199.906087589563,194.53753155835,205.274643620776,187.242407440052,212.569767739074,4.3275754793978,4.40140670154224
"1020","Prednisolone 21-Sulfate",439.1427,196.9,0.0023,432.999814285714,200.308189393956,194.495797167099,206.120581620813,187.450067273379,213.166311514533,4.3275754793978,4.40140670154224
"1083","Epi-THMT Sulfate (S3)",367.1943,200.6,0.0049,439.1427,200.705418438629,194.442473600692,206.968363276566,187.637446939124,213.773389938134,4.3275754793978,4.40140670154224
