"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"248","Isocitrate",213.0063,136.5,0.0028,173.0086,134.526760590065,126.271505446137,142.782015733993,107.609537532816,161.443983647314,9.55616665154482,16.0785571491972
"504","cis-Aconitic acid",173.0086,131.9,0.0042,186.713938461538,138.533638759846,131.057667113183,146.009610406509,111.845105422774,165.222172096919,9.55616665154482,16.0785571491972
"508","Citrate",191.0213,128.1,0.0073,200.419276923077,142.363450216368,135.361941611182,149.364958821555,115.803917419822,168.922983012915,9.55616665154482,16.0785571491972
"670","Isocitrate",191.0192,127.3,0.0049,214.124615384615,146.035374994357,139.188110213422,152.882639775291,119.51608588996,172.554664098753,9.55616665154482,16.0785571491972
"968","trans-Aconitic Acid",173.0086,131.4,0.0016,227.829953846154,149.565439111403,142.5698410859,156.561037136905,123.00746382418,176.123414398626,9.55616665154482,16.0785571491972
"972","Tris(2-carboxyethyl)phosphine Hydrochloride",251.0684,149.1,0.0022,241.535292307692,152.967189412565,145.569467982433,160.364910842696,126.300469667156,179.633909157973,9.55616665154482,16.0785571491972
"1432","cis-Aconitic acid",175.0243,151.2,0.0056,255.240630769231,156.252194318673,148.260702776553,164.243685860794,129.414690770651,183.089697866696,9.55616665154482,16.0785571491972
"2009","trans-Aconitic Acid",175.0243,152,0.0038,268.945969230769,159.430422247339,150.711312169834,168.149532324844,132.367337793308,186.493506701369,9.55616665154482,16.0785571491972
"2409","cis-Aconitic acid",197.0062,145.9,0.0041,282.651307692308,162.510532247291,152.975315077105,172.045749417477,135.173597047731,189.847467446851,9.55616665154482,16.0785571491972
"2412","Citrate",215.0161,143,0.0023,296.356646153846,165.500100443996,155.092833876483,175.907367011509,137.84691153151,193.153289356481,9.55616665154482,16.0785571491972
"2598","Isocitrate",215.0168,142.8,0.0013,310.061984615385,168.405798761141,157.092916368836,179.718681153446,140.39921082822,196.412386694062,9.55616665154482,16.0785571491972
"2921","trans-Aconitic Acid",197.0062,148.2,0.0047,323.767323076923,171.233537623535,158.996598776464,183.470476470607,142.841103209253,199.625972037818,9.55616665154482,16.0785571491972
"3445","Cyclohexane-1,2-dicarboxylic mono carboxyisooctyl ester",351.178,179.9,0.000271,337.472661538462,173.988581105489,160.819328347694,187.157833863284,145.182038830842,202.795123380136,9.55616665154482,16.0785571491972
"3553","Cyclohexane-1,2-dicarboxylic mono carboxyisooctyl ester",327.181,176.7,0.000117,351.178,176.675640739231,162.572679426034,190.778602052428,147.430450067535,205.920831410927,9.55616665154482,16.0785571491972
