"","Compound","m/z","CCS/z","rsd","X curve","Y curve","CI lo","CI hi","PI lo","PI hi","std error","SD"
"387","5-Hydroxy-L-tryptophan",219.077,147,0.0023,161.1079,127.61166063214,118.687959359475,136.535361904805,114.71636266488,140.506958599401,3.42482101186356,7.01978887840909
"388","5-Hydroxy-L-tryptophan",219.078,151.9,0.0032,178.272191666667,147.513545391675,144.931491873227,150.095598910123,137.853148627938,157.173942155411,3.42482101186356,7.01978887840909
"389","5-Hydroxy-L-tryptophan",221.092,155.6,0.008,195.436483333333,149.843377141912,147.088015203395,152.598739080429,140.13522156668,159.551532717144,3.42482101186356,7.01978887840909
"390","5-Hydroxy-L-tryptophan",241.06,149.8,0.0024,212.600775,150.174472907877,147.366537802205,152.982408013549,140.451265370323,159.897680445431,3.42482101186356,7.01978887840909
"391","5-Hydroxy-L-tryptophan",367.0794,153.6,0.0077,229.765066666667,150.229769464688,147.412456563375,153.047082366,140.503849598445,159.955689330931,3.42482101186356,7.01978887840909
"1806","L-Tryptophanamide",202.1,143.5,0.0032,246.929358333333,150.240356020758,147.42122868374,153.059483357777,140.513910410824,159.966801630693,3.42482101186356,7.01978887840909
"1807","L-Tryptophanamide",204.1135,151,0.0055,264.09365,150.242634533749,147.423115883737,153.06215318376,140.51607549787,159.969193569628,3.42482101186356,7.01978887840909
"1808","L-Tryptophanamide",226.0959,148.1,0.0047,281.257941666667,150.243177308589,147.423565400526,153.062789216653,140.516591238813,159.969763378366,3.42482101186356,7.01978887840909
"2042","N-Methyltryptamine",175.1224,142.8,0.0034,298.422233333333,150.243318615761,147.423682426069,153.062954805454,140.516725507026,159.969911724497,3.42482101186356,7.01978887840909
"2849","Serotonin",175.0871,147.1,0.001,315.586525,150.24335840465,147.423715377607,153.063001431694,140.516763313837,159.969953495463,3.42482101186356,7.01978887840909
"2850","Serotonin",177.1028,150.9,0.0046,332.750816666667,150.243370417445,147.423725326097,153.063015508792,140.51677472821,159.96996610668,3.42482101186356,7.01978887840909
"2851","Serotonin",199.0847,149.8,0.0022,349.915108333333,150.243374277892,147.423728523156,153.063020032629,140.516778396347,159.969970159437,3.42482101186356,7.01978887840909
"3099","Tryptamine",161.1079,127.6,0.0023,367.0794,150.243375590228,147.423729609976,153.063021570479,140.516779643308,159.969971537147,3.42482101186356,7.01978887840909
