,names.data.,PF,Sig4,Sig5,V5
1,(5'->5')-dinucleotides,NA,151.7121432,NA,r
2,5'-deoxyribonucleosides,NA,NA,NA,NA
3,Alkali metal salts,422.4331496,NA,NA,p
4,Azoles,101.9521348,NA,NA,p
5,Benzene and substituted derivatives,1393.943352,NA,NA,p
6,Carboxylic acids and derivatives,4310.058187,4280.549061,4282.547465,r
7,Diazines,184.828,NA,NA,p
8,Fatty Acyls,NA,NA,NA,NA
9,Flavonoids,297.5738965,NA,NA,p
10,Glycerolipids,NA,NA,NA,NA
11,Glycerophospholipids,3505.949449,NA,NA,p
12,Imidazopyrimidines,NA,NA,NA,NA
13,Indoles and derivatives,NA,NA,NA,NA
14,Isoflavonoids,NA,NA,NA,NA
15,Keto acids and derivatives,NA,NA,NA,NA
16,Macrolactams,NA,NA,NA,NA
17,Naphthalenes,138.1806239,NA,NA,p
18,Organofluorides,383.2569714,NA,NA,p
19,Organonitrogen compounds,323.7720959,270.1754816,NA,r
20,Organooxygen compounds,2186.949935,2176.797747,NA,r
21,Peptidomimetics,NA,613.1212738,615.1133095,r
22,Phenanthrenes and derivatives,NA,NA,NA,NA
23,Phenols,NA,NA,NA,NA
24,Polypeptides,2244.85555,2246.555456,NA,p
25,Prenol lipids,146.6313168,148.6138369,NA,p
26,Proteins,1216.710052,NA,NA,p
27,Pteridines and derivatives,123.5892602,121.2125105,NA,r
28,Purine nucleosides,NA,NA,NA,NA
29,Purine nucleotides,NA,NA,NA,NA
30,Pyrenes,NA,NA,NA,NA
31,Pyridines and derivatives,213.5147205,NA,NA,p
32,Pyrimidine nucleosides,NA,NA,NA,NA
33,Pyrimidine nucleotides,NA,481.5261433,NA,r
34,Quinolines and derivatives,NA,NA,NA,NA
35,Sphingolipids,NA,NA,NA,NA
36,Steroids and steroid derivatives,NA,NA,NA,NA
