,class,y = ,a, \bullet x^{,k,} + ,y0,,y = a \bullet x^{k} + y0
1,Alkali metal salts,y = ,0.608835648, \bullet x^{,0.738679019,} + ,96.14977362,,y = 0.6088 \bullet x^{0.739} + 96.15
2,Azoles,y = ,5.260249423, \bullet x^{,0.555249044,} + ,45.42259539,,y = 5.2602 \bullet x^{0.555} + 45.42
3,Benzene and substituted derivatives,y = ,14.10266315, \bullet x^{,0.393824093,} + ,30.98107272,,y = 14.1027 \bullet x^{0.394} + 30.98
4,Diazines,y = ,-1217.885279, \bullet x^{,-0.450262548,} + ,262.0646912,,y = -1217.8853 \bullet x^{-0.450} + 262.06
5,Flavonoids,y = ,38.08703473, \bullet x^{,0.322790799,} + ,-66.03092632,,y = 38.0870 \bullet x^{0.323} + -66.03
6,Glycerophospholipids,y = ,107.7899175, \bullet x^{,0.234073231,} + ,-231.5826389,,y = 107.7899 \bullet x^{0.234} + -231.58
7,Naphthalenes,y = ,15.10848811, \bullet x^{,0.415513137,} + ,5.279017621,,y = 15.1085 \bullet x^{0.416} + 5.28
8,Organofluorides,y = ,3.823360756, \bullet x^{,0.588486512,} + ,29.72121523,,y = 3.8234 \bullet x^{0.588} + 29.72
9,Polypeptides,y = ,0.093295684, \bullet x^{,1.085635774,} + ,92.34487542,,y = 0.0933 \bullet x^{1.086} + 92.34
10,Prenol lipids,y = ,0.418754161, \bullet x^{,0.918592444,} + ,93.91052403,,y = 0.4188 \bullet x^{0.919} + 93.91
11,Proteins,y = ,-342649.5833, \bullet x^{,-1.275303892,} + ,285.9395976,,y = -342649.5833 \bullet x^{-1.275} + 285.94
12,Pyridines and derivatives,y = ,1.490215074, \bullet x^{,0.703094503,} + ,79.54866292,,y = 1.4902 \bullet x^{0.703} + 79.55
