,class,y = ,y0, + \frac {,ymax,y0,ymax-y0,}{1+10^{{(,y50, - x)} \bullet ,H,}},y = y0 + \frac {ymax-y0}{1+10^{{(y50 - x)} \bullet H}}
1,Amines,y = ,102.1925662, + \frac {,236.1336228,102.1925662,133.9410566,}{1+10^{{(,260.5573787, - x)} \bullet ,0.0051636,}},y = 102.1926 + \frac {133.9411}{1+10^{{(260.5574 - x)} \bullet 0.0052}}
2,"Amino acids, peptides, and analogues",y = ,-106.5027593, + \frac {,532.0264871,-106.5027593,638.5292464,}{1+10^{{(,546.3487193, - x)} \bullet ,0.000559442,}},y = -106.5028 + \frac {638.5292}{1+10^{{(546.3487 - x)} \bullet 0.0006}}
3,Anilides,y = ,281.3333074, + \frac {,155.3121288,281.3333074,-126.0211786,}{1+10^{{(,308.5052602, - x)} \bullet ,-0.310834167,}},y = 281.3333 + \frac {-126.0212}{1+10^{{(308.5053 - x)} \bullet -0.3108}}
4,Benzenediols,y = ,141.1574286, + \frac {,111.837692,141.1574286,-29.3197366,}{1+10^{{(,136.6443729, - x)} \bullet ,-0.028368533,}},y = 141.1574 + \frac {-29.3197}{1+10^{{(136.6444 - x)} \bullet -0.0284}}
5,Benzenesulfonamides,y = ,173.1013883, + \frac {,148.7335312,173.1013883,-24.36785708,}{1+10^{{(,265.6837016, - x)} \bullet ,-0.060994943,}},y = 173.1014 + \frac {-24.3679}{1+10^{{(265.6837 - x)} \bullet -0.0610}}
6,Biphenyls and derivatives,y = ,126.228341, + \frac {,195.0371419,126.228341,68.8088009,}{1+10^{{(,293.5418985, - x)} \bullet ,0.004297461,}},y = 126.2283 + \frac {68.8088}{1+10^{{(293.5419 - x)} \bullet 0.0043}}
7,Carbohydrates and carbohydrate conjugates,y = ,-35.166561, + \frac {,473.5775821,-35.166561,508.7441431,}{1+10^{{(,555.9617537, - x)} \bullet ,0.000788912,}},y = -35.1666 + \frac {508.7441}{1+10^{{(555.9618 - x)} \bullet 0.0008}}
8,Carbonyl compounds,y = ,120.1888402, + \frac {,152.0934435,120.1888402,31.90460338,}{1+10^{{(,175.9185305, - x)} \bullet ,0.059360968,}},y = 120.1888 + \frac {31.9046}{1+10^{{(175.9185 - x)} \bullet 0.0594}}
9,Depsipeptides,y = ,177.2699803, + \frac {,364.8183639,177.2699803,187.5483837,}{1+10^{{(,929.9981353, - x)} \bullet ,0.005323833,}},y = 177.2700 + \frac {187.5484}{1+10^{{(929.9981 - x)} \bullet 0.0053}}
10,Diphenylethers,y = ,238.4383305, + \frac {,50.17532463,238.4383305,-188.2630058,}{1+10^{{(,172.4962739, - x)} \bullet ,-0.000944306,}},y = 238.4383 + \frac {-188.2630}{1+10^{{(172.4963 - x)} \bullet -0.0009}}
11,Fatty acids and conjugates,y = ,-373.6854809, + \frac {,278.7001678,-373.6854809,652.3856487,}{1+10^{{(,-213.4007396, - x)} \bullet ,0.001453297,}},y = -373.6855 + \frac {652.3856}{1+10^{{(-213.4007 - x)} \bullet 0.0015}}
12,Glycerophosphoethanolamines,y = ,86.92421995, + \frac {,316.8285944,86.92421995,229.9043745,}{1+10^{{(,415.4561072, - x)} \bullet ,0.002047916,}},y = 86.9242 + \frac {229.9044}{1+10^{{(415.4561 - x)} \bullet 0.0020}}
13,Glycosphingolipids,y = ,146.8151384, + \frac {,344.2271335,146.8151384,197.4119951,}{1+10^{{(,588.1836288, - x)} \bullet ,0.002335439,}},y = 146.8151 + \frac {197.4120}{1+10^{{(588.1836 - x)} \bullet 0.0023}}
14,Imidazoles,y = ,249.5206838, + \frac {,68.39506367,249.5206838,-181.1256201,}{1+10^{{(,253.0084853, - x)} \bullet ,-0.002773223,}},y = 249.5207 + \frac {-181.1256}{1+10^{{(253.0085 - x)} \bullet -0.0028}}
15,Indoles,y = ,127.4277322, + \frac {,159.4671851,127.4277322,32.0394529,}{1+10^{{(,195.5916749, - x)} \bullet ,0.020391296,}},y = 127.4277 + \frac {32.0395}{1+10^{{(195.5917 - x)} \bullet 0.0204}}
16,Phosphosphingolipids,y = ,282.3198042, + \frac {,308.280818,282.3198042,25.96101376,}{1+10^{{(,792.4216325, - x)} \bullet ,0.017360286,}},y = 282.3198 + \frac {25.9610}{1+10^{{(792.4216 - x)} \bullet 0.0174}}
17,Purine deoxyribonucleotides,y = ,167.9668729, + \frac {,191.9209543,167.9668729,23.95408139,}{1+10^{{(,415.4971658, - x)} \bullet ,0.012342187,}},y = 167.9669 + \frac {23.9541}{1+10^{{(415.4972 - x)} \bullet 0.0123}}
18,Pyrimidine nucleotide sugars,y = ,203.3775422, + \frac {,251.838056,203.3775422,48.46051378,}{1+10^{{(,646.5172585, - x)} \bullet ,0.0108968,}},y = 203.3775 + \frac {48.4605}{1+10^{{(646.5173 - x)} \bullet 0.0109}}
19,Quaternary ammonium salts,y = ,-12.06858615, + \frac {,382.2455091,-12.06858615,394.3140952,}{1+10^{{(,289.4695009, - x)} \bullet ,0.001770249,}},y = -12.0686 + \frac {394.3141}{1+10^{{(289.4695 - x)} \bullet 0.0018}}
20,Quinoline carboxylic acids,y = ,48.57108411, + \frac {,467.6854883,48.57108411,419.1144042,}{1+10^{{(,530.1478372, - x)} \bullet ,0.001680215,}},y = 48.5711 + \frac {419.1144}{1+10^{{(530.1478 - x)} \bullet 0.0017}}
