"","names.data.","PF","Sig4","Sig5","V5"
"1","Alcohols and polyols",100.698351568709,NA,NA,"p"
"2","Alkali metal iodides",422.433149572968,NA,NA,"p"
"3","Amines",NA,109.309414122044,NA,"r"
"4","Amino acids, peptides, and analogues",4152.71993316101,4122.94130860624,4124.90565786654,"r"
"5","Anilides",108.482951276195,108.037012237591,NA,"r"
"6","Benzenediols",NA,76.0759916448065,NA,"r"
"7","Benzenesulfonamides",NA,91.6497964831478,NA,"r"
"8","Benzoic acids and derivatives",NA,NA,NA,NA
"9","Benzopyrenes",NA,NA,NA,NA
"10","Bile acids, alcohols and derivatives",NA,NA,NA,NA
"11","Biphenyls and derivatives",NA,166.081333639891,167.674450234949,"r"
"12","Carbohydrates and carbohydrate conjugates",1934.09858005809,1924.13823370199,NA,"r"
"13","Carbonyl compounds",NA,73.416123284653,NA,"r"
"14","Ceramides",NA,NA,NA,NA
"15","Cyclic purine nucleotides",NA,NA,NA,NA
"16","Depsipeptides",NA,365.62330533094,NA,"r"
"17","Diphenylethers",NA,116.291817619678,NA,"r"
"18","Eicosanoids",NA,NA,NA,NA
"19","Fatty acid esters",NA,NA,NA,NA
"20","Fatty acids and conjugates",766.487497844794,764.280857028468,NA,"r"
"21","Glycerophosphates",NA,NA,NA,NA
"22","Glycerophosphocholines",NA,NA,NA,NA
"23","Glycerophosphoethanolamines",NA,894.687933882121,NA,"r"
"24","Glycerophosphoserines",NA,NA,NA,NA
"25","Glycosphingolipids",NA,627.7094926748,NA,"r"
"26","Hybrid peptides",NA,NA,NA,NA
"27","Hydroxysteroids",NA,NA,NA,NA
"28","Imidazoles",NA,84.1146754157322,NA,"r"
"29","Indoles",NA,38.5383492054459,NA,"r"
"30","Indolyl carboxylic acids and derivatives",NA,NA,NA,NA
"31","Lineolic acids and derivatives",NA,NA,NA,NA
"32","O-methylated flavonoids",NA,NA,NA,NA
"33","Phosphazene and phosphazene derivatives",383.256971408906,NA,NA,"p"
"34","Phosphosphingolipids",NA,394.671131371698,396.665391852754,"r"
"35","Pregnane steroids",NA,NA,NA,NA
"36","Pterins and derivatives",NA,NA,NA,NA
"37","Purine deoxyribonucleotides",NA,124.619057592816,NA,"r"
"38","Purine nucleotide sugars",NA,NA,NA,NA
"39","Purine ribonucleotides",NA,NA,NA,NA
"40","Purines and purine derivatives",NA,NA,NA,NA
"41","Pyridine carboxaldehydes",NA,NA,NA,NA
"42","Pyridinecarboxylic acids and derivatives",101.602216372586,NA,NA,"p"
"43","Pyrimidine deoxyribonucleotides",NA,NA,NA,NA
"44","Pyrimidine nucleotide sugars",NA,152.391081967167,NA,"r"
"45","Pyrimidine ribonucleotides",NA,NA,NA,NA
"46","Pyrimidines and pyrimidine derivatives",184.82799997789,NA,NA,"p"
"47","Quaternary ammonium salts",187.995303672335,156.936126455592,NA,"r"
"48","Quinoline carboxylic acids",NA,95.4880945745626,NA,"r"
"49","Tricarboxylic acids and derivatives",NA,NA,NA,NA
"50","Tryptamines and derivatives",77.3946449163736,NA,NA,"p"
