"","names.data.","PF2","PF3","Sig4","Sig5","V6","stderr"
"1","(5'->5')-dinucleotides",143.280122814209,NA,146.389816717919,148.389812308973,"p2",6.46280932579096
"2","5'-deoxyribonucleosides",70.8693612679549,NA,NA,NA,"p2",3.49073493808712
"3","Alkali metal salts",427.710043267341,422.512558972768,NA,NA,"p3",14.2949523675054
"4","Alkyl halides",402.985657984408,387.199574020987,380.153754831489,NA,"r",5.09533592404571
"5","Azoles",100.262224098927,101.952134812361,101.273485120695,NA,"p2",5.59547789358488
"6","Benzene and substituted derivatives",2192.88945319872,2190.8456264072,NA,NA,"p3",17.2561293965128
"7","Carboxylic acids and derivatives",4723.78387324562,4493.81186041481,4461.6669059442,NA,"r",14.396096359093
"8","Diazines",185.049122815478,184.827999977875,NA,NA,"p3",9.81080001770098
"9","Fatty acyls",2087.15510406706,NA,NA,NA,"p2",14.3752401429803
"10","Flavonoids",295.867580307068,297.573896484693,NA,NA,"p2",7.15830424485812
"11","Glycerolipids",95.0694178387583,NA,NA,NA,"p2",5.7746240694691
"12","Glycerophospholipids",2835.46208496586,2833.81096513744,NA,NA,"p3",5.26674681726446
"13","Imidazopyrimidines",247.997635915289,NA,251.737190986195,NA,"p2",5.07002236885784
"14","Indoles and derivatives",283.975627056686,NA,NA,NA,"p2",4.19100946981103
"15","Isoflavonoids",87.6471972265848,NA,NA,NA,"p2",3.67464987778271
"16","Keto acids and derivatives",91.2815687798944,NA,NA,NA,"p2",15.7479733601649
"17","Macrolactams",102.113418445702,NA,NA,NA,"p2",5.95163058995596
"18","Naphthalenes",136.187666844036,138.180623940768,NA,NA,"p2",3.71288875775793
"19","Organic phosphoric acids and derivatives",921.294436048668,923.266714145098,NA,NA,"p2",15.0607222639521
"20","Organic sulfonic acids and derivatives",188.461142893006,167.645183487915,166.696725939251,NA,"r",8.66856056565767
"21","Organofluorides",382.844530897335,383.256971408905,NA,NA,"p2",5.12017252416215
"22","Organonitrogen compounds",293.407810552014,294.712899490161,245.011700277699,NA,"r",4.03778424991688
"23","Organooxygen compounds",2274.77080374758,2191.56465898894,2181.85852544888,NA,"r",11.4190169607749
"24","Peptidomimetics",652.943959339681,NA,613.121145679936,NA,"r",20.6547414227142
"25","Phenanthrenes and derivatives",86.4105168868241,NA,NA,NA,"p2",2.99863089396183
"26","Phenols",201.713912478741,NA,NA,NA,"p2",6.437059448519
"27","Polypeptides",2234.81762111084,2231.76184321487,NA,NA,"p3",23.5854206527608
"28","Prenol lipids",159.64840682721,146.631316816163,NA,NA,"p3",6.67410684389722
"29","Proteins",1238.56807947473,1216.71005239492,NA,NA,"p3",22.153681224164
"30","Pteridines and derivatives",112.377058725727,NA,NA,NA,"p2",4.6985419394697
"31","Purine nucleosides",180.600248245903,NA,NA,NA,"p2",4.12144270303753
"32","Purine nucleotides",635.301875012074,NA,614.136484945956,NA,"r",7.00806278317096
"33","Pyrenes",96.2858649868016,NA,NA,NA,"p2",4.08270779671063
"34","Pyridines and derivatives",222.615392639092,223.321421139837,NA,NA,"p2",4.99167301458631
"35","Pyrimidine nucleosides",81.9700361299011,NA,NA,NA,"p2",2.6101058920206
"36","Pyrimidine nucleotides",493.182936204626,NA,NA,NA,"p2",6.03365826338602
"37","Quinolines and derivatives",103.368483531591,NA,NA,NA,"p2",6.20590174479113
"38","Sphingolipids",1558.75839360028,NA,NA,NA,"p2",9.46588921440722
"39","Steroids and steroid derivatives",756.877018567654,NA,NA,NA,"p2",12.1952591356991
